Thursday, October 3, 2019	11:49:14 AM	Game1.txt	1932390757
cued	now	1932407366
5	BlinkStart	1932407446
5	BlinkEnd	1932560341
5	NoFeedLowProb	1932560421
8	BlinkStart	1932560651
8	BlinkEnd	1932569268
8	Feed	1932569348
5	BlinkStart	1932569578
5	BlinkEnd	1932595795
5	NoFeedLowProb	1932595875
2	BlinkStart	1932596105
2	BlinkEnd	1932611172
2	Feed	1932611252
5	BlinkStart	1932611482
5	BlinkEnd	1932623403
5	NoFeedLowProb	1932623483
2	BlinkStart	1932623714
2	BlinkEnd	1932630086
2	Feed	1932630167
5	BlinkStart	1932630398
5	BlinkEnd	1932645385
5	NoFeedLowProb	1932645465
8	BlinkStart	1932645696
8	BlinkEnd	1932663968
8	Feed	1932664048
5	BlinkStart	1932664278
5	BlinkEnd	1932700607
5	NoFeedLowProb	1932700687
2	BlinkStart	1932700918
2	BlinkEnd	1932706222
2	Feed	1932706302
5	BlinkStart	1932706533
5	BlinkEnd	1932774534
5	NoFeedLowProb	1932774614
8	BlinkStart	1932774845
8	BlinkEnd	1932781284
8	Feed	1932781364
5	BlinkStart	1932781594
5	BlinkEnd	1932791581
5	NoFeedLowProb	1932791662
82	BlinkStart	1932791893
82	BlinkEnd	1932796588
2	Feed	1932796668
5	BlinkStart	1932796899
5	BlinkEnd	1932819112
5	NoFeedLowProb	1932819192
82	BlinkStart	1932819422
82	BlinkEnd	1932824866
8	Feed	1932824946
5	BlinkStart	1932825176
5	BlinkEnd	1932838768
5	NoFeedLowProb	1932838848
82	BlinkStart	1932839079
82	BlinkEnd	1932855279
8	Feed	1932855359
5	BlinkStart	1932855590
5	BlinkEnd	1932867507
5	NoFeedLowProb	1932867587
82	BlinkStart	1932867817
82	BlinkEnd	1932871311
8	Feed	1932871391
5	BlinkStart	1932871621
5	BlinkEnd	1932882346
5	NoFeedLowProb	1932882426
82	BlinkStart	1932882656
82	BlinkEnd	1932886559
8	Feed	1932886640
5	BlinkStart	1932886870
5	BlinkEnd	1932897523
5	NoFeedLowProb	1932897603
82	BlinkStart	1932897833
82	BlinkEnd	1932901665
8	Feed	1932901745
5	BlinkStart	1932901975
5	BlinkEnd	1932913968
5	NoFeedLowProb	1932914049
82	BlinkStart	1932914280
82	BlinkEnd	1932918435
8	Feed	1932918515
5	BlinkStart	1932918745
5	BlinkEnd	1932931811
5	NoFeedLowProb	1932931891
82	BlinkStart	1932932122
82	BlinkEnd	1932936088
8	Feed	1932936168
5	BlinkStart	1932936398
5	BlinkEnd	1932947991
5	NoFeedLowProb	1932948072
82	BlinkStart	1932948303
82	BlinkEnd	1932953194
8	Feed	1932953274
5	BlinkStart	1932953504
5	BlinkEnd	1932965159
5	NoFeedLowProb	1932965239
82	BlinkStart	1932965469
82	BlinkEnd	1932969440
8	Feed	1932969520
5	BlinkStart	1932969750
5	BlinkEnd	1932980466
5	NoFeedLowProb	1932980546
82	BlinkStart	1932980777
82	BlinkEnd	1932985345
8	Feed	1932985425
5	BlinkStart	1932985655
5	BlinkEnd	1932996783
5	NoFeedLowProb	1932996863
82	BlinkStart	1932997093
82	BlinkEnd	1933014364
8	Feed	1933014445
5	BlinkStart	1933014676
5	BlinkEnd	1933026718
5	NoFeedLowProb	1933026798
82	BlinkStart	1933027028
82	BlinkEnd	1933030801
8	Feed	1933030882
5	BlinkStart	1933031112
5	BlinkEnd	1933046907
5	NoFeedLowProb	1933046988
82	BlinkStart	1933047219
82	BlinkEnd	1933051581
8	Feed	1933051661
5	BlinkStart	1933051891
5	BlinkEnd	1933064961
5	NoFeedLowProb	1933065041
82	BlinkStart	1933065271
82	BlinkEnd	1933068970
8	Feed	1933069050
5	BlinkStart	1933069281
5	BlinkEnd	1933079785
5	NoFeedLowProb	1933079865
82	BlinkStart	1933080095
82	BlinkEnd	1933083205
8	Feed	1933083286
5	BlinkStart	1933083517
5	BlinkEnd	1933095169
5	NoFeedLowProb	1933095249
82	BlinkStart	1933095480
82	BlinkEnd	1933099382
8	Feed	1933099463
5	BlinkStart	1933099694
5	BlinkEnd	1933110613
5	NoFeedLowProb	1933110694
82	BlinkStart	1933110926
82	BlinkEnd	1933114824
2	Feed	1933114905
1	BlinkStart	1933115136
1	BlinkEnd	1933130329
1	NoFeedLowProb	1933130409
4	BlinkStart	1933130640
4	BlinkEnd	1933137347
4	Feed	1933137427
1	BlinkStart	1933137658
1	BlinkEnd	1933147298
1	NoFeedLowProb	1933147378
4	BlinkStart	1933147609
4	BlinkEnd	1933151854
4	Feed	1933151934
1	BlinkStart	1933152165
1	BlinkEnd	1933194232
1	NoFeedLowProb	1933194312
6	BlinkStart	1933194542
6	BlinkEnd	1933199910
6	Feed	1933199991
1	BlinkStart	1933200222
1	BlinkEnd	1933229047
1	NoFeedLowProb	1933229127
6	BlinkStart	1933229357
6	BlinkEnd	1933233734
6	Feed	1933233814
1	BlinkStart	1933234045
1	BlinkEnd	1933248837
1	NoFeedLowProb	1933248917
6	BlinkStart	1933249148
