Monday, October 14, 2019	7:03:05 PM	Game1.txt	523082886
cued	now	523093226
5	BlinkStart	523093307
5	BlinkEnd	523160671
5	NoFeedLowProb	523160751
2	BlinkStart	523160981
2	BlinkEnd	523222316
2	Feed	523222397
5	BlinkStart	523222627
5	BlinkEnd	523233950
5	NoFeedLowProb	523234030
8	BlinkStart	523234260
8	BlinkEnd	523253744
8	Feed	523253824
5	BlinkStart	523254055
5	BlinkEnd	523287486
5	NoFeedLowProb	523287566
2	BlinkStart	523287797
2	BlinkEnd	523302058
2	Feed	523302138
5	BlinkStart	523302368
5	BlinkEnd	523313625
5	NoFeedLowProb	523313705
8	BlinkStart	523313935
8	BlinkEnd	523318515
8	Feed	523318595
5	BlinkStart	523318825
5	BlinkEnd	523334353
5	NoFeedLowProb	523334433
28	BlinkStart	523334663
28	BlinkEnd	523339300
8	Feed	523339380
5	BlinkStart	523339610
5	BlinkEnd	523352268
5	NoFeedLowProb	523352348
28	BlinkStart	523352578
28	BlinkEnd	523357941
8	Feed	523358021
5	BlinkStart	523358251
5	BlinkEnd	523369577
5	NoFeedLowProb	523369657
28	BlinkStart	523369887
28	BlinkEnd	523373914
8	Feed	523373994
5	BlinkStart	523374225
5	BlinkEnd	523385880
5	NoFeedLowProb	523385960
28	BlinkStart	523386190
28	BlinkEnd	523389828
8	Feed	523389908
5	BlinkStart	523390138
5	BlinkEnd	523401992
5	NoFeedLowProb	523402072
28	BlinkStart	523402302
28	BlinkEnd	523406478
8	Feed	523406558
5	BlinkStart	523406788
5	BlinkEnd	523418907
5	NoFeedLowProb	523418988
28	BlinkStart	523419218
28	BlinkEnd	523423307
8	Feed	523423387
5	BlinkStart	523423617
5	BlinkEnd	523437009
5	NoFeedLowProb	523437090
28	BlinkStart	523437320
28	BlinkEnd	523441889
8	Feed	523441969
5	BlinkStart	523442199
5	BlinkEnd	523452791
5	NoFeedLowProb	523452871
28	BlinkStart	523453101
28	BlinkEnd	523457002
8	Feed	523457082
1	BlinkStart	523457312
1	BlinkEnd	523475245
1	NoFeedLowProb	523475325
4	BlinkStart	523475555
4	BlinkEnd	523479858
4	Feed	523479938
1	BlinkStart	523480168
1	BlinkEnd	523491764
1	NoFeedLowProb	523491844
6	BlinkStart	523492074
6	BlinkEnd	523496100
6	Feed	523496180
1	BlinkStart	523496410
1	BlinkEnd	523512816
1	NoFeedLowProb	523512896
4	BlinkStart	523513126
4	BlinkEnd	523519762
4	Feed	523519842
1	BlinkStart	523520072
1	BlinkEnd	523532729
1	NoFeedLowProb	523532809
6	BlinkStart	523533039
6	BlinkEnd	523536268
6	Feed	523536348
1	BlinkStart	523536578
1	BlinkEnd	523545830
1	NoFeedLowProb	523545910
64	BlinkStart	523546140
64	BlinkEnd	523550175
6	Feed	523550255
1	BlinkStart	523550485
1	BlinkEnd	523558872
1	NoFeedLowProb	523558953
64	BlinkStart	523559184
64	BlinkEnd	523564476
6	Feed	523564556
1	BlinkStart	523564787
1	BlinkEnd	523578651
1	NoFeedLowProb	523578731
64	BlinkStart	523578961
64	BlinkEnd	523582727
6	Feed	523582807
1	BlinkStart	523583038
1	BlinkEnd	523620755
1	NoFeedLowProb	523620835
64	BlinkStart	523621065
64	BlinkEnd	523635732
6	Feed	523635812
1	BlinkStart	523636042
1	BlinkEnd	523645693
1	NoFeedLowProb	523645773
64	BlinkStart	523646003
64	BlinkEnd	523650572
6	Feed	523650652
1	BlinkStart	523650882
1	BlinkEnd	523659924
1	NoFeedLowProb	523660004
64	BlinkStart	523660234
64	BlinkEnd	523664481
6	Feed	523664561
1	BlinkStart	523664791
1	BlinkEnd	523679178
1	NoFeedLowProb	523679258
64	BlinkStart	523679488
64	BlinkEnd	523684590
6	Feed	523684670
1	BlinkStart	523684900
1	BlinkEnd	523693359
1	NoFeedLowProb	523693439
64	BlinkStart	523693671
64	BlinkEnd	523697164
6	Feed	523697244
5	BlinkStart	523697474
5	BlinkEnd	523704720
5	NoFeedLowProb	523704800
2	BlinkStart	523705030
2	BlinkEnd	523709395
2	Feed	523709475
5	BlinkStart	523709705
5	BlinkEnd	523722895
5	NoFeedLowProb	523722975
8	BlinkStart	523723206
8	BlinkEnd	523726773
8	Feed	523726853
5	BlinkStart	523727083
5	BlinkEnd	523746018
5	NoFeedLowProb	523746098
2	BlinkStart	523746329
2	BlinkEnd	523750426
2	Feed	523750506
5	BlinkStart	523750737
5	BlinkEnd	523763531
5	NoFeedLowProb	523763611
8	BlinkStart	523763841
8	BlinkEnd	523768420
8	Feed	523768500
5	BlinkStart	523768730
5	BlinkEnd	523784661
5	NoFeedLowProb	523784742
82	BlinkStart	523784972
82	BlinkEnd	523790061
2	Feed	523790141
5	BlinkStart	523790371
5	BlinkEnd	523803039
5	NoFeedLowProb	523803120
82	BlinkStart	523803350
82	BlinkEnd	523808579
2	Feed	523808659
5	BlinkStart	523808889
5	BlinkEnd	523821221
5	NoFeedLowProb	523821301
82	BlinkStart	523821531
82	BlinkEnd	523825764
2	Feed	523825844
5	BlinkStart	523826074
5	BlinkEnd	523845613
5	NoFeedLowProb	523845694
82	BlinkStart	523845926
82	BlinkEnd	523849619
2	Feed	523849700
5	BlinkStart	523849930
5	BlinkEnd	523858790
5	NoFeedLowProb	523858870
82	BlinkStart	523859101
82	BlinkEnd	523863666
2	Feed	523863746
5	BlinkStart	523863977
5	BlinkEnd	523874552
5	NoFeedLowProb	523874632
82	BlinkStart	523874863
82	BlinkEnd	523879903
8	Feed	523879983
5	BlinkStart	523880215
5	BlinkEnd	523892267
5	NoFeedLowProb	523892347
82	BlinkStart	523892577
82	BlinkEnd	523896816
8	Feed	523896896
5	BlinkStart	523897126
5	BlinkEnd	523910456
5	NoFeedLowProb	523910536
82	BlinkStart	523910766
82	BlinkEnd	523914592
8	Feed	523914672
1	BlinkStart	523914903
1	BlinkEnd	523926358
1	NoFeedLowProb	523926439
6	BlinkStart	523926669
6	BlinkEnd	523931100
6	Feed	523931180
1	BlinkStart	523931411
1	BlinkEnd	523950751
1	NoFeedLowProb	523950831
4	BlinkStart	523951061
4	BlinkEnd	523955091
4	Feed	523955171
1	BlinkStart	523955401
1	BlinkEnd	523973677
1	NoFeedLowProb	523973757
4	BlinkStart	523973989
4	BlinkEnd	523979089
4	Feed	523979169
1	BlinkStart	523979399
1	BlinkEnd	523994863
1	NoFeedLowProb	523994943
6	BlinkStart	523995173
6	BlinkEnd	523998616
6	Feed	523998696
1	BlinkStart	523998926
1	BlinkEnd	524023614
1	NoFeedLowProb	524023695
46	BlinkStart	524023925
46	BlinkEnd	524030026
6	Feed	524030106
1	BlinkStart	524030336
1	BlinkEnd	524069595
1	NoFeedLowProb	524069675
46	BlinkStart	524069905
46	BlinkEnd	524074137
6	Feed	524074217
1	BlinkStart	524074448
1	BlinkEnd	524084498
1	NoFeedLowProb	524084578
46	BlinkStart	524084808
46	BlinkEnd	524089047
6	Feed	524089127
1	BlinkStart	524089357
1	BlinkEnd	524098071
1	NoFeedLowProb	524098151
46	BlinkStart	524098381
46	BlinkEnd	524102012
6	Feed	524102092
1	BlinkStart	524102322
1	BlinkEnd	524111243
1	NoFeedLowProb	524111323
46	BlinkStart	524111553
46	BlinkEnd	524114848
6	Feed	524114928
1	BlinkStart	524115158
1	BlinkEnd	524124137
1	NoFeedLowProb	524124217
46	BlinkStart	524124447
46	BlinkEnd	524129617
6	Feed	524129697
1	BlinkStart	524129927
1	BlinkEnd	524138849
1	NoFeedLowProb	524138929
46	BlinkStart	524139159
46	BlinkEnd	524142789
6	Feed	524142869
1	BlinkStart	524143100
1	BlinkEnd	524155221
1	NoFeedLowProb	524155301
46	BlinkStart	524155531
46	BlinkEnd	524158897
6	Feed	524158977
5	BlinkStart	524159207
5	BlinkEnd	524166577
5	NoFeedLowProb	524166658
8	BlinkStart	524166888
8	BlinkEnd	524170324
8	Feed	524170404
5	BlinkStart	524170634
5	BlinkEnd	524181620
5	NoFeedLowProb	524181700
8	BlinkStart	524181930
8	BlinkEnd	524185901
8	Feed	524185981
5	BlinkStart	524186211
5	BlinkEnd	524194326
5	NoFeedLowProb	524194406
2	BlinkStart	524194636
2	BlinkEnd	524198536
2	Feed	524198616
5	BlinkStart	524198846
5	BlinkEnd	524207893
5	NoFeedLowProb	524207973
2	BlinkStart	524208203
2	BlinkEnd	524211829
2	Feed	524211909
5	BlinkStart	524212139
5	BlinkEnd	524222602
5	NoFeedLowProb	524222682
82	BlinkStart	524222913
82	BlinkEnd	524226614
8	Feed	524226694
5	BlinkStart	524226925
5	BlinkEnd	524236294
5	NoFeedLowProb	524236374
82	BlinkStart	524236604
82	BlinkEnd	524240047
8	Feed	524240127
5	BlinkStart	524240358
5	BlinkEnd	524249338
5	NoFeedLowProb	524249418
82	BlinkStart	524249649
82	BlinkEnd	524253009
8	Feed	524253089
5	BlinkStart	524253319
5	BlinkEnd	524262907
5	NoFeedLowProb	524262988
82	BlinkStart	524263218
82	BlinkEnd	524266718
8	Feed	524266798
5	BlinkStart	524267028
5	BlinkEnd	524276064
5	NoFeedLowProb	524276144
82	BlinkStart	524276374
82	BlinkEnd	524280006
8	Feed	524280086
5	BlinkStart	524280317
5	BlinkEnd	524289501
5	NoFeedLowProb	524289581
82	BlinkStart	524289811
82	BlinkEnd	524295254
8	Feed	524295334
5	BlinkStart	524295564
5	BlinkEnd	524304072
5	NoFeedLowProb	524304152
82	BlinkStart	524304382
82	BlinkEnd	524308148
8	Feed	524308228
5	BlinkStart	524308459
5	BlinkEnd	524316443
5	NoFeedLowProb	524316523
82	BlinkStart	524316753
82	BlinkEnd	524320179
8	Feed	524320259
1	BlinkStart	524320490
