Monday, November 11, 2019	3:53:13 PM	Game1.txt	2930890790
cued	now	2930896991
1	BlinkStart	2930897071
1	BlinkEnd	2930950390
1	NoFeedLowProb	2930950470
6	BlinkStart	2930950700
6	BlinkEnd	2931005279
6	Feed	2931005359
1	BlinkStart	2931005590
1	BlinkEnd	2931027542
1	NoFeedLowProb	2931027622
4	BlinkStart	2931027853
4	BlinkEnd	2931036169
4	Feed	2931036249
1	BlinkStart	2931036479
1	BlinkEnd	2931048061
1	NoFeedLowProb	2931048141
6	BlinkStart	2931048371
6	BlinkEnd	2931052942
6	Feed	2931053022
1	BlinkStart	2931053252
1	BlinkEnd	2931070854
1	NoFeedLowProb	2931070934
4	BlinkStart	2931071165
4	BlinkEnd	2931076000
4	Feed	2931076080
1	BlinkStart	2931076310
1	BlinkEnd	2931085621
1	NoFeedLowProb	2931085701
6	BlinkStart	2931085931
6	BlinkEnd	2931089774
6	Feed	2931089854
1	BlinkStart	2931090084
1	BlinkEnd	2931108686
1	NoFeedLowProb	2931108766
4	BlinkStart	2931108996
4	BlinkEnd	2931113425
4	Feed	2931113505
1	BlinkStart	2931113736
1	BlinkEnd	2931122386
1	NoFeedLowProb	2931122466
46	BlinkStart	2931122696
46	BlinkEnd	2931127130
6	Feed	2931127210
1	BlinkStart	2931127440
1	BlinkEnd	2931141037
1	NoFeedLowProb	2931141117
46	BlinkStart	2931141349
46	BlinkEnd	2931145913
6	Feed	2931145993
1	BlinkStart	2931146223
1	BlinkEnd	2931170381
1	NoFeedLowProb	2931170462
46	BlinkStart	2931170692
46	BlinkEnd	2931174728
6	Feed	2931174808
1	BlinkStart	2931175038
1	BlinkEnd	2931186825
1	NoFeedLowProb	2931186906
46	BlinkStart	2931187136
46	BlinkEnd	2931190774
6	Feed	2931190854
1	BlinkStart	2931191084
1	BlinkEnd	2931202204
1	NoFeedLowProb	2931202284
46	BlinkStart	2931202515
46	BlinkEnd	2931206274
6	Feed	2931206354
1	BlinkStart	2931206584
1	BlinkEnd	2931217373
1	NoFeedLowProb	2931217453
46	BlinkStart	2931217683
46	BlinkEnd	2931221445
6	Feed	2931221525
5	BlinkStart	2931221755
5	BlinkEnd	2931239691
5	NoFeedLowProb	2931239771
8	BlinkStart	2931240002
8	BlinkEnd	2931244911
8	Feed	2931244991
5	BlinkStart	2931245221
5	BlinkEnd	2931256270
5	NoFeedLowProb	2931256350
2	BlinkStart	2931256581
2	BlinkEnd	2931261486
2	Feed	2931261566
5	BlinkStart	2931261796
5	BlinkEnd	2931282871
5	NoFeedLowProb	2931282951
8	BlinkStart	2931283182
8	BlinkEnd	2931287011
8	Feed	2931287091
5	BlinkStart	2931287321
5	BlinkEnd	2931295233
5	NoFeedLowProb	2931295313
2	BlinkStart	2931295543
2	BlinkEnd	2931298855
2	Feed	2931298935
5	BlinkStart	2931299165
5	BlinkEnd	2931314755
5	NoFeedLowProb	2931314835
8	BlinkStart	2931315065
8	BlinkEnd	2931318233
8	Feed	2931318313
5	BlinkStart	2931318543
5	BlinkEnd	2931325119
5	NoFeedLowProb	2931325200
2	BlinkStart	2931325430
2	BlinkEnd	2931328923
2	Feed	2931329003
5	BlinkStart	2931329233
5	BlinkEnd	2931343625
5	NoFeedLowProb	2931343705
82	BlinkStart	2931343935
82	BlinkEnd	2931347180
2	Feed	2931347260
5	BlinkStart	2931347492
5	BlinkEnd	2931362948
5	NoFeedLowProb	2931363028
82	BlinkStart	2931363259
82	BlinkEnd	2931366293
2	Feed	2931366373
5	BlinkStart	2931366603
5	BlinkEnd	2931378390
5	NoFeedLowProb	2931378470
82	BlinkStart	2931378700
82	BlinkEnd	2931381667
2	Feed	2931381747
5	BlinkStart	2931381978
5	BlinkEnd	2931393637
5	NoFeedLowProb	2931393717
82	BlinkStart	2931393948
82	BlinkEnd	2931397241
8	Feed	2931397321
5	BlinkStart	2931397551
5	BlinkEnd	2931405188
5	NoFeedLowProb	2931405268
82	BlinkStart	2931405498
82	BlinkEnd	2931409346
2	Feed	2931409426
5	BlinkStart	2931409657
5	BlinkEnd	2931423773
5	NoFeedLowProb	2931423853
82	BlinkStart	2931424083
82	BlinkEnd	2931430726
2	Feed	2931430806
1	BlinkStart	2931431036
1	BlinkEnd	2931446306
1	NoFeedLowProb	2931446386
4	BlinkStart	2931446616
4	BlinkEnd	2931451852
4	Feed	2931451932
1	BlinkStart	2931452162
1	BlinkEnd	2931473030
1	NoFeedLowProb	2931473110
6	BlinkStart	2931473340
6	BlinkEnd	2931476310
6	Feed	2931476390
1	BlinkStart	2931476621
1	BlinkEnd	2931485742
1	NoFeedLowProb	2931485822
6	BlinkStart	2931486052
6	BlinkEnd	2931489417
6	Feed	2931489497
1	BlinkStart	2931489727
1	BlinkEnd	2931511200
1	NoFeedLowProb	2931511280
6	BlinkStart	2931511511
6	BlinkEnd	2931514685
6	Feed	2931514765
1	BlinkStart	2931514995
1	BlinkEnd	2931522770
1	NoFeedLowProb	2931522850
4	BlinkStart	2931523080
4	BlinkEnd	2931533796
4	Feed	2931533876
1	BlinkStart	2931534106
1	BlinkEnd	2931546294
1	NoFeedLowProb	2931546374
4	BlinkStart	2931546604
4	BlinkEnd	2931550239
4	Feed	2931550319
1	BlinkStart	2931550549
1	BlinkEnd	2931562404
1	NoFeedLowProb	2931562484
64	BlinkStart	2931562714
64	BlinkEnd	2931565685
6	Feed	2931565766
1	BlinkStart	2931565997
1	BlinkEnd	2931572971
1	NoFeedLowProb	2931573051
64	BlinkStart	2931573281
64	BlinkEnd	2931576969
6	Feed	2931577049
1	BlinkStart	2931577279
1	BlinkEnd	2931584935
1	NoFeedLowProb	2931585015
64	BlinkStart	2931585246
64	BlinkEnd	2931588665
6	Feed	2931588745
1	BlinkStart	2931588975
1	BlinkEnd	2931595288
1	NoFeedLowProb	2931595368
64	BlinkStart	2931595598
64	BlinkEnd	2931598638
6	Feed	2931598718
1	BlinkStart	2931598948
1	BlinkEnd	2931605242
1	NoFeedLowProb	2931605322
64	BlinkStart	2931605552
64	BlinkEnd	2931609794
6	Feed	2931609875
1	BlinkStart	2931610106
1	BlinkEnd	2931616353
1	NoFeedLowProb	2931616433
64	BlinkStart	2931616664
64	BlinkEnd	2931619951
6	Feed	2931620031
5	BlinkStart	2931620262
5	BlinkEnd	2931626766
5	NoFeedLowProb	2931626846
8	BlinkStart	2931627076
8	BlinkEnd	2931630655
8	Feed	2931630735
5	BlinkStart	2931630965
5	BlinkEnd	2931647018
5	NoFeedLowProb	2931647099
2	BlinkStart	2931647329
2	BlinkEnd	2931650432
2	Feed	2931650512
5	BlinkStart	2931650742
5	BlinkEnd	2931658993
5	NoFeedLowProb	2931659073
8	BlinkStart	2931659303
8	BlinkEnd	2931662526
8	Feed	2931662606
5	BlinkStart	2931662836
5	BlinkEnd	2931672282
5	NoFeedLowProb	2931672362
8	BlinkStart	2931672592
8	BlinkEnd	2931676228
8	Feed	2931676308
5	BlinkStart	2931676538
5	BlinkEnd	2931686058
5	NoFeedLowProb	2931686138
2	BlinkStart	2931686368
2	BlinkEnd	2931689327
2	Feed	2931689407
5	BlinkStart	2931689637
5	BlinkEnd	2931702302
5	NoFeedLowProb	2931702382
2	BlinkStart	2931702612
2	BlinkEnd	2931705835
2	Feed	2931705915
5	BlinkStart	2931706146
5	BlinkEnd	2931713937
5	NoFeedLowProb	2931714017
28	BlinkStart	2931714247
28	BlinkEnd	2931717403
2	Feed	2931717483
5	BlinkStart	2931717714
5	BlinkEnd	2931725903
5	NoFeedLowProb	2931725983
28	BlinkStart	2931726214
28	BlinkEnd	2931729300
8	Feed	2931729381
5	BlinkStart	2931729612
5	BlinkEnd	2931738600
5	NoFeedLowProb	2931738680
28	BlinkStart	2931738911
28	BlinkEnd	2931742075
2	Feed	2931742155
5	BlinkStart	2931742386
5	BlinkEnd	2931754373
5	NoFeedLowProb	2931754453
28	BlinkStart	2931754683
28	BlinkEnd	2931757652
8	Feed	2931757732
5	BlinkStart	2931757962
5	BlinkEnd	2931768466
5	NoFeedLowProb	2931768546
28	BlinkStart	2931768776
28	BlinkEnd	2931772151
2	Feed	2931772231
5	BlinkStart	2931772462
5	BlinkEnd	2931785514
5	NoFeedLowProb	2931785594
28	BlinkStart	2931785825
28	BlinkEnd	2931788930
8	Feed	2931789010
1	BlinkStart	2931789241
1	BlinkEnd	2931800156
1	NoFeedLowProb	2931800236
6	BlinkStart	2931800466
6	BlinkEnd	2931803636
6	Feed	2931803716
1	BlinkStart	2931803946
1	BlinkEnd	2931812380
1	NoFeedLowProb	2931812460
6	BlinkStart	2931812690
6	BlinkEnd	2931815862
6	Feed	2931815942
1	BlinkStart	2931816172
1	BlinkEnd	2931824818
1	NoFeedLowProb	2931824898
6	BlinkStart	2931825129
6	BlinkEnd	2931828558
6	Feed	2931828638
1	BlinkStart	2931828868
1	BlinkEnd	2931838998
1	NoFeedLowProb	2931839078
4	BlinkStart	2931839309
4	BlinkEnd	2931842593
4	Feed	2931842673
1	BlinkStart	2931842903
1	BlinkEnd	2931852027
1	NoFeedLowProb	2931852107
4	BlinkStart	2931852337
4	BlinkEnd	2931855564
4	Feed	2931855644
1	BlinkStart	2931855875
1	BlinkEnd	2931862252
1	NoFeedLowProb	2931862332
4	BlinkStart	2931862562
4	BlinkEnd	2931865991
4	Feed	2931866071
1	BlinkStart	2931866301
1	BlinkEnd	2931885173
1	NoFeedLowProb	2931885253
46	BlinkStart	2931885483
46	BlinkEnd	2931889722
6	Feed	2931889802
1	BlinkStart	2931890032
1	BlinkEnd	2931900146
1	NoFeedLowProb	2931900226
46	BlinkStart	2931900456
46	BlinkEnd	2931904294
6	Feed	2931904375
1	BlinkStart	2931904605
1	BlinkEnd	2931915064
1	NoFeedLowProb	2931915144
46	BlinkStart	2931915374
46	BlinkEnd	2931918929
6	Feed	2931919009
1	BlinkStart	2931919240
1	BlinkEnd	2931928751
1	NoFeedLowProb	2931928831
46	BlinkStart	2931929062
46	BlinkEnd	2931932563
6	Feed	2931932644
1	BlinkStart	2931932875
1	BlinkEnd	2931941993
1	NoFeedLowProb	2931942073
46	BlinkStart	2931942304
46	BlinkEnd	2931945738
6	Feed	2931945818
1	BlinkStart	2931946049
1	BlinkEnd	2931992194
1	NoFeedLowProb	2931992274
46	BlinkStart	2931992504
46	BlinkEnd	2931995596
6	Feed	2931995676
5	BlinkStart	2931995906
5	BlinkEnd	2932003548
5	NoFeedLowProb	2932003628
2	BlinkStart	2932003858
2	BlinkEnd	2932007236
2	Feed	2932007316
5	BlinkStart	2932007546
5	BlinkEnd	2932031894
5	NoFeedLowProb	2932031974
8	BlinkStart	2932032204
8	BlinkEnd	2932035436
8	Feed	2932035516
5	BlinkStart	2932035747
5	BlinkEnd	2932049605
5	NoFeedLowProb	2932049685
8	BlinkStart	2932049915
8	BlinkEnd	2932053018
8	Feed	2932053098
5	BlinkStart	2932053328
5	BlinkEnd	2932066512
5	NoFeedLowProb	2932066592
2	BlinkStart	2932066822
2	BlinkEnd	2932069930
2	Feed	2932070010
5	BlinkStart	2932070242
5	BlinkEnd	2932098208
5	NoFeedLowProb	2932098288
2	BlinkStart	2932098518
2	BlinkEnd	2932101811
2	Feed	2932101891
5	BlinkStart	2932102121
5	BlinkEnd	2932112444
5	NoFeedLowProb	2932112524
8	BlinkStart	2932112754
8	BlinkEnd	2932116055
8	Feed	2932116135
5	BlinkStart	2932116366
5	BlinkEnd	2932128746
5	NoFeedLowProb	2932128826
28	BlinkStart	2932129056
28	BlinkEnd	2932132483
8	Feed	2932132564
5	BlinkStart	2932132795
5	BlinkEnd	2932149325
5	NoFeedLowProb	2932149405
28	BlinkStart	2932149635
28	BlinkEnd	2932153074
8	Feed	2932153154
5	BlinkStart	2932153385
5	BlinkEnd	2932166308
5	NoFeedLowProb	2932166388
28	BlinkStart	2932166618
28	BlinkEnd	2932170384
8	Feed	2932170464
5	BlinkStart	2932170695
5	BlinkEnd	2932183293
5	NoFeedLowProb	2932183373
28	BlinkStart	2932183603
28	BlinkEnd	2932187561
8	Feed	2932187641
5	BlinkStart	2932187871
5	BlinkEnd	2932200260
5	NoFeedLowProb	2932200340
28	BlinkStart	2932200571
28	BlinkEnd	2932204269
8	Feed	2932204349
5	BlinkStart	2932204580
5	BlinkEnd	2932219844
5	NoFeedLowProb	2932219925
28	BlinkStart	2932220156
