Friday, November 22, 2019	3:56:45 PM	Game1.txt	855698177
cued	now	855712219
5	BlinkStart	855712300
5	BlinkEnd	855752637
5	NoFeedLowProb	855752717
2	BlinkStart	855752947
2	BlinkEnd	855781152
2	Feed	855781232
5	BlinkStart	855781462
5	BlinkEnd	855819595
5	NoFeedLowProb	855819675
2	BlinkStart	855819906
2	BlinkEnd	855824605
2	Feed	855824686
5	BlinkStart	855824917
5	BlinkEnd	855840040
5	NoFeedLowProb	855840120
2	BlinkStart	855840350
2	BlinkEnd	855845330
2	Feed	855845410
5	BlinkStart	855845641
5	BlinkEnd	855875799
5	NoFeedLowProb	855875879
2	BlinkStart	855876109
2	BlinkEnd	855880145
2	Feed	855880225
5	BlinkStart	855880455
5	BlinkEnd	855892581
5	NoFeedLowProb	855892661
28	BlinkStart	855892891
28	BlinkEnd	855897454
2	Feed	855897534
5	BlinkStart	855897764
5	BlinkEnd	855911896
5	NoFeedLowProb	855911976
28	BlinkStart	855912206
28	BlinkEnd	855916381
2	Feed	855916462
5	BlinkStart	855916692
5	BlinkEnd	855929007
5	NoFeedLowProb	855929087
28	BlinkStart	855929317
28	BlinkEnd	855932882
2	Feed	855932962
5	BlinkStart	855933192
5	BlinkEnd	855944309
5	NoFeedLowProb	855944389
28	BlinkStart	855944619
28	BlinkEnd	855948525
2	Feed	855948605
5	BlinkStart	855948835
5	BlinkEnd	855969447
5	NoFeedLowProb	855969527
8	BlinkStart	855969757
8	BlinkEnd	855974524
8	Feed	855974604
5	BlinkStart	855974834
5	BlinkEnd	856016301
5	NoFeedLowProb	856016381
2	BlinkStart	856016611
2	BlinkEnd	856020712
2	Feed	856020792
5	BlinkStart	856021022
5	BlinkEnd	856031608
5	NoFeedLowProb	856031688
8	BlinkStart	856031918
8	BlinkEnd	856039762
8	Feed	856039842
5	BlinkStart	856040072
5	BlinkEnd	856062891
5	NoFeedLowProb	856062971
2	BlinkStart	856063201
2	BlinkEnd	856068838
2	Feed	856068918
5	BlinkStart	856069148
5	BlinkEnd	856079943
5	NoFeedLowProb	856080023
8	BlinkStart	856080253
8	BlinkEnd	856085153
8	Feed	856085233
5	BlinkStart	856085464
5	BlinkEnd	856106546
5	NoFeedLowProb	856106627
2	BlinkStart	856106857
2	BlinkEnd	856111412
2	Feed	856111492
5	BlinkStart	856111722
5	BlinkEnd	856121841
5	NoFeedLowProb	856121921
2	BlinkStart	856122151
2	BlinkEnd	856126591
