Wednesday, November 27, 2019	1:11:48 PM	Game1.txt	1277800571
cued	now	1277807420
1	BlinkStart	1277807500
1	BlinkEnd	1277856970
1	NoFeedLowProb	1277857050
4	BlinkStart	1277857282
4	BlinkEnd	1277877353
4	Feed	1277877433
1	BlinkStart	1277877663
1	BlinkEnd	1277898266
1	NoFeedLowProb	1277898347
4	BlinkStart	1277898577
4	BlinkEnd	1277903080
4	Feed	1277903160
1	BlinkStart	1277903390
1	BlinkEnd	1277915191
1	NoFeedLowProb	1277915272
4	BlinkStart	1277915502
4	BlinkEnd	1277919734
4	Feed	1277919814
1	BlinkStart	1277920044
1	BlinkEnd	1277930758
1	NoFeedLowProb	1277930838
4	BlinkStart	1277931068
4	BlinkEnd	1277935243
4	Feed	1277935323
1	BlinkStart	1277935554
1	BlinkEnd	1277946475
1	NoFeedLowProb	1277946555
46	BlinkStart	1277946785
46	BlinkEnd	1277951076
6	Feed	1277951156
1	BlinkStart	1277951387
1	BlinkEnd	1277967848
1	NoFeedLowProb	1277967928
46	BlinkStart	1277968158
46	BlinkEnd	1277971927
6	Feed	1277972007
1	BlinkStart	1277972238
1	BlinkEnd	1277988841
1	NoFeedLowProb	1277988921
46	BlinkStart	1277989152
46	BlinkEnd	1277993123
6	Feed	1277993203
1	BlinkStart	1277993433
1	BlinkEnd	1278008765
1	NoFeedLowProb	1278008845
46	BlinkStart	1278009076
46	BlinkEnd	1278012641
6	Feed	1278012722
1	BlinkStart	1278012952
1	BlinkEnd	1278038773
1	NoFeedLowProb	1278038853
4	BlinkStart	1278039083
4	BlinkEnd	1278042854
4	Feed	1278042934
1	BlinkStart	1278043164
1	BlinkEnd	1278052143
1	NoFeedLowProb	1278052223
6	BlinkStart	1278052453
6	BlinkEnd	1278055751
6	Feed	1278055832
1	BlinkStart	1278056067
1	BlinkEnd	1278068848
1	NoFeedLowProb	1278068928
4	BlinkStart	1278069158
4	BlinkEnd	1278072721
4	Feed	1278072801
1	BlinkStart	1278073031
1	BlinkEnd	1278081614
1	NoFeedLowProb	1278081694
4	BlinkStart	1278081925
4	BlinkEnd	1278085567
4	Feed	1278085647
1	BlinkStart	1278085877
1	BlinkEnd	1278094057
1	NoFeedLowProb	1278094137
6	BlinkStart	1278094367
6	BlinkEnd	1278097857
6	Feed	1278097937
1	BlinkStart	1278098167
1	BlinkEnd	1278120916
1	NoFeedLowProb	1278120996
6	BlinkStart	1278121226
6	BlinkEnd	1278124733
6	Feed	1278124813
1	BlinkStart	1278125043
1	BlinkEnd	1278137297
1	NoFeedLowProb	1278137377
6	BlinkStart	1278137607
6	BlinkEnd	1278140765
6	Feed	1278140845
1	BlinkStart	1278141075
1	BlinkEnd	1278155083
1	NoFeedLowProb	1278155163
4	BlinkStart	1278155393
4	BlinkEnd	1278159419
4	Feed	1278159499
1	BlinkStart	1278159729
1	BlinkEnd	1278167037
1	NoFeedLowProb	1278167117
46	BlinkStart	1278167347
46	BlinkEnd	1278170847
6	Feed	1278170927
1	BlinkStart	1278171158
1	BlinkEnd	1278182880
1	NoFeedLowProb	1278182960
46	BlinkStart	1278183191
46	BlinkEnd	1278186483
6	Feed	1278186563
1	BlinkStart	1278186793
1	BlinkEnd	1278197993
1	NoFeedLowProb	1278198073
46	BlinkStart	1278198303
46	BlinkEnd	1278201465
6	Feed	1278201545
1	BlinkStart	1278201779
1	BlinkEnd	1278214912
1	NoFeedLowProb	1278214992
46	BlinkStart	1278215222
46	BlinkEnd	1278218235
6	Feed	1278218315
5	BlinkStart	1278218545
5	BlinkEnd	1278241432
5	NoFeedLowProb	1278241512
2	BlinkStart	1278241742
2	BlinkEnd	1278245107
2	Feed	1278245187
5	BlinkStart	1278245417
5	BlinkEnd	1278254195
5	NoFeedLowProb	1278254275
2	BlinkStart	1278254505
2	BlinkEnd	1278257472
2	Feed	1278257552
5	BlinkStart	1278257782
5	BlinkEnd	1278265229
5	NoFeedLowProb	1278265309
2	BlinkStart	1278265539
2	BlinkEnd	1278268573
2	Feed	1278268653
5	BlinkStart	1278268883
5	BlinkEnd	1278279534
5	NoFeedLowProb	1278279614
2	BlinkStart	1278279845
2	BlinkEnd	1278282877
2	Feed	1278282957
5	BlinkStart	1278283187
5	BlinkEnd	1278293102
5	NoFeedLowProb	1278293182
28	BlinkStart	1278293412
28	BlinkEnd	1278296506
8	Feed	1278296586
5	BlinkStart	1278296816
5	BlinkEnd	1278311082
5	NoFeedLowProb	1278311162
28	BlinkStart	1278311392
28	BlinkEnd	1278315427
8	Feed	1278315507
5	BlinkStart	1278315737
5	BlinkEnd	1278346707
5	NoFeedLowProb	1278346787
28	BlinkStart	1278347018
28	BlinkEnd	1278350714
2	Feed	1278350794
5	BlinkStart	1278351025
5	BlinkEnd	1278394826
5	NoFeedLowProb	1278394906
28	BlinkStart	1278395136
28	BlinkEnd	1278399110
8	Feed	1278399191
5	BlinkStart	1278399421
5	BlinkEnd	1278419032
5	NoFeedLowProb	1278419112
8	BlinkStart	1278419346
8	BlinkEnd	1278422714
8	Feed	1278422794
5	BlinkStart	1278423025
5	BlinkEnd	1278439811
5	NoFeedLowProb	1278439891
8	BlinkStart	1278440121
8	BlinkEnd	1278443298
8	Feed	1278443378
5	BlinkStart	1278443608
5	BlinkEnd	1278462483
5	NoFeedLowProb	1278462563
2	BlinkStart	1278462793
2	BlinkEnd	1278465825
2	Feed	1278465906
5	BlinkStart	1278466136
5	BlinkEnd	1278473916
5	NoFeedLowProb	1278473996
8	BlinkStart	1278474226
8	BlinkEnd	1278478111
8	Feed	1278478191
5	BlinkStart	1278478421
5	BlinkEnd	1278494690
5	NoFeedLowProb	1278494770
2	BlinkStart	1278495000
2	BlinkEnd	1278498244
2	Feed	1278498324
5	BlinkStart	1278498554
5	BlinkEnd	1278506601
5	NoFeedLowProb	1278506681
2	BlinkStart	1278506911
