Monday, December 16, 2019	4:28:15 PM	Game1.txt	2931187380
cued	now	2931195113
5	BlinkStart	2931195193
5	BlinkEnd	2931212008
5	NoFeedLowProb	2931212088
2	BlinkStart	2931212318
2	BlinkEnd	2931219684
2	Feed	2931219764
5	BlinkStart	2931219995
5	BlinkEnd	2931266949
5	NoFeedLowProb	2931267029
2	BlinkStart	2931267260
2	BlinkEnd	2931271695
2	Feed	2931271775
5	BlinkStart	2931272005
5	BlinkEnd	2931289538
5	NoFeedLowProb	2931289618
2	BlinkStart	2931289848
2	BlinkEnd	2931293684
2	Feed	2931293764
5	BlinkStart	2931293994
5	BlinkEnd	2931310062
5	NoFeedLowProb	2931310142
2	BlinkStart	2931310372
2	BlinkEnd	2931314338
2	Feed	2931314418
5	BlinkStart	2931314649
5	BlinkEnd	2931329640
5	NoFeedLowProb	2931329720
28	BlinkStart	2931329950
28	BlinkEnd	2931334855
8	Feed	2931334935
5	BlinkStart	2931335165
5	BlinkEnd	2931346959
5	NoFeedLowProb	2931347039
28	BlinkStart	2931347269
28	BlinkEnd	2931375627
2	Feed	2931375707
5	BlinkStart	2931375937
5	BlinkEnd	2931408713
5	NoFeedLowProb	2931408793
28	BlinkStart	2931409023
28	BlinkEnd	2931413463
8	Feed	2931413543
5	BlinkStart	2931413773
5	BlinkEnd	2931433050
5	NoFeedLowProb	2931433130
28	BlinkStart	2931433360
28	BlinkEnd	2931437249
8	Feed	2931437329
5	BlinkStart	2931437559
5	BlinkEnd	2931447747
5	NoFeedLowProb	2931447827
28	BlinkStart	2931448057
28	BlinkEnd	2931451488
8	Feed	2931451568
5	BlinkStart	2931451798
5	BlinkEnd	2931461059
5	NoFeedLowProb	2931461139
28	BlinkStart	2931461370
28	BlinkEnd	2931465533
8	Feed	2931465613
5	BlinkStart	2931465843
5	BlinkEnd	2931475693
5	NoFeedLowProb	2931475773
1	BlinkStart	2931476003
1	BlinkEnd	2931485049
1	NoFeedLowProb	2931485129
6	BlinkStart	2931485359
6	BlinkEnd	2931490188
6	Feed	2931490268
1	BlinkStart	2931490498
1	BlinkEnd	2931500353
1	NoFeedLowProb	2931500433
6	BlinkStart	2931500663
6	BlinkEnd	2931505163
6	Feed	2931505243
1	BlinkStart	2931505475
1	BlinkEnd	2931515789
1	NoFeedLowProb	2931515869
6	BlinkStart	2931516099
6	BlinkEnd	2931519739
6	Feed	2931519820
1	BlinkStart	2931520050
1	BlinkEnd	2931530300
