Tuesday, December 31, 2019	12:37:34 PM	Game1.txt	741544294
cued	now	741552365
5	BlinkStart	741552445
5	BlinkEnd	741570512
5	NoFeedLowProb	741570592
2	BlinkStart	741570823
2	BlinkEnd	741571094
2	Feed	741571174
5	BlinkStart	741571404
5	BlinkEnd	741603735
5	NoFeedLowProb	741603815
2	BlinkStart	741604045
2	BlinkEnd	741607676
2	Feed	741607756
5	BlinkStart	741607986
5	BlinkEnd	741636349
5	NoFeedLowProb	741636429
2	BlinkStart	741636659
2	BlinkEnd	741640425
2	Feed	741640506
5	BlinkStart	741640736
5	BlinkEnd	741657941
5	NoFeedLowProb	741658021
2	BlinkStart	741658251
2	BlinkEnd	741662152
2	Feed	741662232
5	BlinkStart	741662463
5	BlinkEnd	741677123
5	NoFeedLowProb	741677203
28	BlinkStart	741677433
28	BlinkEnd	741681136
2	Feed	741681216
5	BlinkStart	741681446
5	BlinkEnd	741694567
5	NoFeedLowProb	741694647
28	BlinkStart	741694877
28	BlinkEnd	741698858
8	Feed	741698938
5	BlinkStart	741699168
5	BlinkEnd	741717429
5	NoFeedLowProb	741717509
28	BlinkStart	741717739
28	BlinkEnd	741721303
8	Feed	741721383
5	BlinkStart	741721613
3	KBWrong3	741742588
5	BlinkEnd	741743171
5	NoFeedLowProb	741743251
28	BlinkStart	741743481
28	BlinkEnd	741747441
2	Feed	741747521
5	BlinkStart	741747752
5	BlinkEnd	741760141
5	NoFeedLowProb	741760221
28	BlinkStart	741760451
28	BlinkEnd	741764227
2	Feed	741764307
5	BlinkStart	741764537
2	KBWrong2	741771533
5	BlinkEnd	741779723
5	NoFeedLowProb	741779803
28	BlinkStart	741780033
28	BlinkEnd	741784401
2	Feed	741784481
5	BlinkStart	741784711
5	BlinkEnd	741794905
5	NoFeedLowProb	741794985
1	BlinkStart	741795215
1	BlinkEnd	741799911
1	NoFeedLowProb	741799991
6	BlinkStart	741800222
6	BlinkEnd	741803391
6	Feed	741803472
1	BlinkStart	741803702
1	BlinkEnd	741815421
1	NoFeedLowProb	741815502
6	BlinkStart	741815732
