Thursday, January 23, 2020	11:29:53 AM	Game1.txt	658949202
cued	now	658989604
6	BlinkStart	658989684
6	BlinkEnd	658998825
0	NoFeed	658998906
8	BlinkStart	658999137
8	BlinkEnd	659237401
8	Feed	659237481
4	BlinkStart	659237712
4	BlinkEnd	659313526
4	Feed	659313606
8	BlinkStart	659313837
8	BlinkEnd	659342061
8	Feed	659342141
6	BlinkStart	659342372
6	BlinkEnd	659358778
6	Feed	659358858
4	BlinkStart	659359088
4	BlinkEnd	659369668
4	Feed	659369748
6	BlinkStart	659369978
6	BlinkEnd	659383976
6	Feed	659384056
4	BlinkStart	659384286
4	BlinkEnd	659399754
4	Feed	659399834
8	BlinkStart	659400064
8	BlinkEnd	659417333
8	Feed	659417413
4	BlinkStart	659417643
4	BlinkEnd	659431160
4	Feed	659431240
2	BlinkStart	659431470
2	BlinkEnd	659441527
2	Feed	659441607
6	BlinkStart	659441837
6	BlinkEnd	659477280
6	Feed	659477360
4	BlinkStart	659477590
4	BlinkEnd	659485703
4	Feed	659485784
8	BlinkStart	659486015
8	BlinkEnd	659504285
8	Feed	659504365
6	BlinkStart	659504596
6	BlinkEnd	659514662
6	Feed	659514742
8	BlinkStart	659514972
8	BlinkEnd	659520993
8	Feed	659521073
4	BlinkStart	659521303
4	BlinkEnd	659542259
4	Feed	659542339
2	BlinkStart	659542569
2	BlinkEnd	659548802
2	Feed	659548882
6	BlinkStart	659549112
6	BlinkEnd	659565580
6	Feed	659565660
2	BlinkStart	659565891
2	BlinkEnd	659573733
2	Feed	659573813
4	BlinkStart	659574044
4	BlinkEnd	659580684
4	Feed	659580764
6	BlinkStart	659580994
6	BlinkEnd	659591116
6	Feed	659591196
2	BlinkStart	659591426
2	BlinkEnd	659614043
2	Feed	659614123
8	BlinkStart	659614353
8	BlinkEnd	659622267
8	Feed	659622347
6	BlinkStart	659622577
6	BlinkEnd	659628216
6	Feed	659628296
8	BlinkStart	659628526
8	BlinkEnd	659634623
8	Feed	659634703
6	BlinkStart	659634933
6	BlinkEnd	659644048
