Friday, January 24, 2020	12:37:55 PM	Game1.txt	5255821
cued	now	5263867
7	BlinkStart	5263947
7	BlinkEnd	5323242
0	NoFeedLowProb	5323322
1	BlinkStart	5323552
1	BlinkEnd	5325717
1	NoFeedLowProb	5325797
6	BlinkStart	5326027
6	BlinkEnd	5363886
6	Feed	5363966
1	BlinkStart	5364196
1	BlinkEnd	5419893
1	NoFeedLowProb	5419973
4	BlinkStart	5420203
4	BlinkEnd	5452711
4	Feed	5452791
1	BlinkStart	5453021
1	BlinkEnd	5486801
1	NoFeedLowProb	5486881
6	BlinkStart	5487111
6	BlinkEnd	5497297
6	Feed	5497377
1	BlinkStart	5497607
1	BlinkEnd	5515476
1	NoFeedLowProb	5515556
4	BlinkStart	5515786
4	BlinkEnd	5521425
4	Feed	5521505
1	BlinkStart	5521736
1	BlinkEnd	5638670
1	NoFeedLowProb	5638750
6	BlinkStart	5638981
6	BlinkEnd	5686331
6	Feed	5686412
1	BlinkStart	5686643
1	BlinkEnd	5698022
1	NoFeedLowProb	5698102
4	BlinkStart	5698332
4	BlinkEnd	5708716
4	Feed	5708796
1	BlinkStart	5709026
1	BlinkEnd	6045526
1	NoFeedLowProb	6045606
64	BlinkStart	6045836
64	BlinkEnd	6128472
4	Feed	6128552
1	BlinkStart	6128782
1	BlinkEnd	6301668
1	NoFeedLowProb	6301748
64	BlinkStart	6301978
64	BlinkEnd	6345238
6	Feed	6345318
1	BlinkStart	6345548
1	BlinkEnd	6458334
1	NoFeedLowProb	6458415
64	BlinkStart	6458646
64	BlinkEnd	6470105
4	Feed	6470185
1	BlinkStart	6470415
1	BlinkEnd	6567955
1	NoFeedLowProb	6568035
64	BlinkStart	6568266
64	BlinkEnd	6586535
4	Feed	6586615
1	BlinkStart	6586845
1	BlinkEnd	6621901
1	NoFeedLowProb	6621981
64	BlinkStart	6622211
64	BlinkEnd	6636598
4	Feed	6636678
1	BlinkStart	6636909
1	BlinkEnd	6789397
1	NoFeedLowProb	6789477
64	BlinkStart	6789707
64	BlinkEnd	6795749
4	Feed	6795829
1	BlinkStart	6796060
1	BlinkEnd	6812479
0	NoFeedLowProb	6812559
5	BlinkStart	6812789
5	BlinkEnd	6934580
5	NoFeedLowProb	6934661
2	BlinkStart	6934891
2	BlinkEnd	6939991
2	Feed	6940071
5	BlinkStart	6940301
5	BlinkEnd	7004157
5	NoFeedLowProb	7004237
8	BlinkStart	7004468
8	BlinkEnd	7018334
8	Feed	7018414
5	BlinkStart	7018644
5	BlinkEnd	7129159
5	NoFeedLowProb	7129239
2	BlinkStart	7129469
2	BlinkEnd	7134564
2	Feed	7134644
5	BlinkStart	7134874
5	BlinkEnd	7277875
5	NoFeedLowProb	7277955
8	BlinkStart	7278186
8	BlinkEnd	7423657
8	Feed	7423737
5	BlinkStart	7423967
5	BlinkEnd	7535411
5	NoFeedLowProb	7535491
2	BlinkStart	7535721
2	BlinkEnd	7544772
2	Feed	7544852
5	BlinkStart	7545082
5	BlinkEnd	7844624
5	NoFeedLowProb	7844705
8	BlinkStart	7844935
8	BlinkEnd	7877900
8	Feed	7877980
5	BlinkStart	7878210
5	BlinkEnd	7920080
5	NoFeedLowProb	7920160
28	BlinkStart	7920391
28	BlinkEnd	7942402
8	Feed	7942482
5	BlinkStart	7942712
5	BlinkEnd	7973816
5	NoFeedLowProb	7973896
28	BlinkStart	7974126
28	BlinkEnd	7984647
8	Feed	7984727
5	BlinkStart	7984957
5	BlinkEnd	8016469
5	NoFeedLowProb	8016549
28	BlinkStart	8016780
28	BlinkEnd	8053364
8	Feed	8053444
5	BlinkStart	8053674
5	BlinkEnd	8270592
5	NoFeedLowProb	8270672
28	BlinkStart	8270902
28	BlinkEnd	8361175
8	Feed	8361255
5	BlinkStart	8361486
5	BlinkEnd	8402401
5	NoFeedLowProb	8402481
28	BlinkStart	8402711
28	BlinkEnd	8415779
8	Feed	8415860
5	BlinkStart	8416091
5	BlinkEnd	8450260
5	NoFeedLowProb	8450340
28	BlinkStart	8450570
28	BlinkEnd	8462834
8	Feed	8462914
5	BlinkStart	8463144
5	BlinkEnd	8530612
5	NoFeedLowProb	8530692
1	BlinkStart	8530922
1	BlinkEnd	8559281
1	NoFeedLowProb	8559361
6	BlinkStart	8559591
6	BlinkEnd	8577468
6	Feed	8577548
1	BlinkStart	8577778
1	BlinkEnd	8604674
1	NoFeedLowProb	8604755
4	BlinkStart	8604985
4	BlinkEnd	8623444
4	Feed	8623524
1	BlinkStart	8623754
1	BlinkEnd	8642972
1	NoFeedLowProb	8643052
6	BlinkStart	8643282
6	BlinkEnd	8667965
6	Feed	8668045
1	BlinkStart	8668275
1	BlinkEnd	8696317
1	NoFeedLowProb	8696397
4	BlinkStart	8696628
4	BlinkEnd	8720096
4	Feed	8720176
1	BlinkStart	8720406
1	BlinkEnd	8817692
1	NoFeedLowProb	8817772
6	BlinkStart	8818002
6	BlinkEnd	8858927
6	Feed	8859007
1	BlinkStart	8859238
1	BlinkEnd	8888736
1	NoFeedLowProb	8888816
4	BlinkStart	8889046
4	BlinkEnd	8915352
4	Feed	8915432
1	BlinkStart	8915663
1	BlinkEnd	8942282
1	NoFeedLowProb	8942362
64	BlinkStart	8942593
64	BlinkEnd	8960332
4	Feed	8960412
1	BlinkStart	8960642
1	BlinkEnd	8978240
1	NoFeedLowProb	8978320
64	BlinkStart	8978551
64	BlinkEnd	9031722
4	Feed	9031802
1	BlinkStart	9032032
1	BlinkEnd	9047220
1	NoFeedLowProb	9047300
64	BlinkStart	9047530
64	BlinkEnd	9073887
4	Feed	9073968
1	BlinkStart	9074198
1	BlinkEnd	9098150
1	NoFeedLowProb	9098230
64	BlinkStart	9098460
64	BlinkEnd	9490920
0	StopTraining	9491000
