Tuesday, February 4, 2020	10:14:30 AM	Game1R.txt	859855596
cued	now	860173443
7	BlinkStart	860173523
7	BlinkEnd	860254593
0	NoFeedLowProb	860254673
2	BlinkStart	860254904
2	BlinkEnd	860296732
2	ManualFeed	860296812
8	BlinkStart	860297042
8	BlinkEnd	860310495
8	Feed	860310575
6	BlinkStart	860310805
6	BlinkEnd	860321518
6	Feed	860321598
8	BlinkStart	860321829
8	BlinkEnd	860328878
8	Feed	860328958
6	BlinkStart	860329188
6	BlinkEnd	860376668
6	Feed	860376748
8	BlinkStart	860376978
8	BlinkEnd	860387288
8	Feed	860387368
2	BlinkStart	860387598
2	BlinkEnd	860396848
2	Feed	860396928
6	BlinkStart	860397158
6	BlinkEnd	860405203
6	Feed	860405283
8	BlinkStart	860405514
8	BlinkEnd	860413304
8	Feed	860413384
6	BlinkStart	860413614
6	BlinkEnd	860418912
6	Feed	860418992
8	BlinkStart	860419222
8	BlinkEnd	860425192
8	Feed	860425272
6	BlinkStart	860425502
6	BlinkEnd	860431808
6	Feed	860431888
2	BlinkStart	860432118
2	BlinkEnd	860440362
2	Feed	860440442
4	BlinkStart	860440672
4	BlinkEnd	860449524
4	Feed	860449604
2	BlinkStart	860449834
2	BlinkEnd	860461685
2	Feed	860461765
8	BlinkStart	860461995
8	BlinkEnd	860470046
8	Feed	860470126
4	BlinkStart	860470356
4	BlinkEnd	860477593
4	Feed	860477673
2	BlinkStart	860477903
2	BlinkEnd	860482878
2	Feed	860482958
8	BlinkStart	860483188
8	BlinkEnd	860492629
8	Feed	860492709
6	BlinkStart	860492940
6	BlinkEnd	860499459
6	Feed	860499539
2	BlinkStart	860499770
2	BlinkEnd	860507809
2	Feed	860507889
4	BlinkStart	860508119
4	BlinkEnd	860513217
4	Feed	860513297
8	BlinkStart	860513528
8	BlinkEnd	860519504
8	Feed	860519584
4	BlinkStart	860519814
4	BlinkEnd	860526658
4	Feed	860526738
6	BlinkStart	860526968
6	BlinkEnd	860533402
6	Feed	860533482
2	BlinkStart	860533712
2	BlinkEnd	860543232
2	Feed	860543312
4	BlinkStart	860543542
4	BlinkEnd	860548910
4	Feed	860548990
6	BlinkStart	860549220
6	BlinkEnd	860556663
6	Feed	860556743
8	BlinkStart	860556973
8	BlinkEnd	860565288
8	Feed	860565368
6	BlinkStart	860565599
6	BlinkEnd	860570580
6	Feed	860570660
4	BlinkStart	860570891
4	BlinkEnd	860584474
4	Feed	860584554
6	BlinkStart	860584784
6	BlinkEnd	860597970
6	Feed	860598050
4	BlinkStart	860598281
4	BlinkEnd	860605657
4	Feed	860605737
8	BlinkStart	860605967
8	BlinkEnd	860611341
8	Feed	860611421
6	BlinkStart	860611651
6	BlinkEnd	860616957
6	Feed	860617037
2	BlinkStart	860617267
2	BlinkEnd	860623104
2	Feed	860623184
6	BlinkStart	860623414
6	BlinkEnd	860655463
6	Feed	860655543
4	BlinkStart	860655774
4	BlinkEnd	860670764
4	Feed	860670844
8	BlinkStart	860671074
8	BlinkEnd	860679925
8	Feed	860680005
6	BlinkStart	860680236
6	BlinkEnd	860686549
6	Feed	860686629
2	BlinkStart	860686859
2	BlinkEnd	860695629
2	Feed	860695709
4	BlinkStart	860695939
4	BlinkEnd	860701984
4	Feed	860702064
8	BlinkStart	860702294
8	BlinkEnd	860708398
8	Feed	860708478
6	BlinkStart	860708709
6	BlinkEnd	860714808
6	Feed	860714888
2	BlinkStart	860715118
2	BlinkEnd	860721228
2	Feed	860721308
8	BlinkStart	860721538
8	BlinkEnd	860728988
8	Feed	860729068
2	BlinkStart	860729298
2	BlinkEnd	860736941
2	Feed	860737021
6	BlinkStart	860737251
6	BlinkEnd	860746366
6	Feed	860746446
8	BlinkStart	860746676
8	BlinkEnd	860751913
8	Feed	860751993
2	BlinkStart	860752223
2	BlinkEnd	860758727
2	Feed	860758807
8	BlinkStart	860759037
8	BlinkEnd	860766414
8	Feed	860766495
6	BlinkStart	860766725
6	BlinkEnd	860773231
6	Feed	860773311
8	BlinkStart	860773541
8	BlinkEnd	860778243
8	Feed	860778323
2	BlinkStart	860778553
2	BlinkEnd	860784860
2	Feed	860784940
8	BlinkStart	860785170
8	BlinkEnd	860791947
8	Feed	860792027
4	BlinkStart	860792257
4	BlinkEnd	860799161
4	Feed	860799241
2	BlinkStart	860799471
2	BlinkEnd	860804912
2	Feed	860804992
4	BlinkStart	860805223
4	BlinkEnd	860810194
4	Feed	860810274
8	BlinkStart	860810504
8	BlinkEnd	860818748
8	Feed	860818828
6	BlinkStart	860819059
6	BlinkEnd	860824640
6	Feed	860824720
2	BlinkStart	860824950
2	BlinkEnd	860831917
2	Feed	860831997
4	BlinkStart	860832228
4	BlinkEnd	860836330
4	Feed	860836410
2	BlinkStart	860836640
2	BlinkEnd	860840942
2	Feed	860841022
8	BlinkStart	860841253
8	BlinkEnd	860846685
8	Feed	860846765
6	BlinkStart	860846995
6	BlinkEnd	860852842
6	Feed	860852922
2	BlinkStart	860853152
2	BlinkEnd	860862062
2	Feed	860862142
8	BlinkStart	860862372
8	BlinkEnd	860869885
8	Feed	860869965
4	BlinkStart	860870195
4	BlinkEnd	860877769
4	Feed	860877849
2	BlinkStart	860878079
2	BlinkEnd	860882384
2	Feed	860882464
4	BlinkStart	860882695
4	BlinkEnd	860888737
4	Feed	860888817
2	BlinkStart	860889047
2	BlinkEnd	860894876
2	Feed	860894956
8	BlinkStart	860895186
8	BlinkEnd	860901365
8	Feed	860901445
4	BlinkStart	860901675
4	BlinkEnd	860907719
4	Feed	860907799
6	BlinkStart	860908030
6	BlinkEnd	860913798
6	Feed	860913879
2	BlinkStart	860914109
2	BlinkEnd	860920554
2	Feed	860920634
8	BlinkStart	860920864
8	BlinkEnd	860926765
8	Feed	860926845
6	BlinkStart	860927076
6	BlinkEnd	860931508
6	Feed	860931588
4	BlinkStart	860931818
4	BlinkEnd	860943876
4	Feed	860943956
2	BlinkStart	860944186
2	BlinkEnd	860948018
2	Feed	860948098
4	BlinkStart	860948328
4	BlinkEnd	860958121
4	Feed	860958201
6	BlinkStart	860958432
6	BlinkEnd	860990930
6	Feed	860991010
2	BlinkStart	860991240
2	BlinkEnd	860998487
2	Feed	860998567
4	BlinkStart	860998797
4	BlinkEnd	861003702
4	Feed	861003782
8	BlinkStart	861004013
8	BlinkEnd	861010378
8	Feed	861010458
4	BlinkStart	861010688
4	BlinkEnd	861016805
4	Feed	861016886
2	BlinkStart	861017116
2	BlinkEnd	861021341
2	Feed	861021421
8	BlinkStart	861021651
8	BlinkEnd	861027964
8	Feed	861028044
6	BlinkStart	861028274
6	BlinkEnd	861032575
6	Feed	861032655
2	BlinkStart	861032885
