Friday, February 14, 2020	4:04:37 PM	Ratzo_alter17c_20200214.txt	157010792
cued	now	157021417
7	BlinkStart	157021497
7	BlinkEnd	157052443
0	NoFeedLowProb	157052523
1	BlinkStart	157052753
1	BlinkEnd	157056245
1	NoFeedLowProb	157056325
4	BlinkStart	157056555
4	BlinkEnd	157091205
4	Feed	157091285
1	BlinkStart	157091515
1	BlinkEnd	157230171
1	NoFeedLowProb	157230252
6	BlinkStart	157230483
6	BlinkEnd	157261445
6	Feed	157261525
1	BlinkStart	157261755
1	BlinkEnd	157272277
1	NoFeedLowProb	157272357
4	BlinkStart	157272589
4	BlinkEnd	157278100
4	Feed	157278180
1	BlinkStart	157278410
1	BlinkEnd	157334104
1	NoFeedLowProb	157334185
6	BlinkStart	157334416
6	BlinkEnd	157337649
6	Feed	157337729
1	BlinkStart	157337959
1	BlinkEnd	157352226
1	NoFeedLowProb	157352306
4	BlinkStart	157352536
4	BlinkEnd	157356762
4	Feed	157356842
1	BlinkStart	157357073
1	BlinkEnd	157372672
1	NoFeedLowProb	157372752
6	BlinkStart	157372982
6	BlinkEnd	157377413
6	Feed	157377493
1	BlinkStart	157377723
1	BlinkEnd	157384098
1	NoFeedLowProb	157384179
46	BlinkStart	157384410
46	BlinkEnd	157391118
4	Feed	157391198
1	BlinkStart	157391429
1	BlinkEnd	157441458
1	NoFeedLowProb	157441539
46	BlinkStart	157441769
46	BlinkEnd	157446869
4	Feed	157446949
1	BlinkStart	157447179
1	BlinkEnd	157467919
1	NoFeedLowProb	157467999
46	BlinkStart	157468230
46	BlinkEnd	157472467
6	Feed	157472548
1	BlinkStart	157472779
1	BlinkEnd	157485629
1	NoFeedLowProb	157485709
46	BlinkStart	157485939
46	BlinkEnd	157492249
4	Feed	157492329
1	BlinkStart	157492560
1	BlinkEnd	157502809
1	NoFeedLowProb	157502889
46	BlinkStart	157503119
46	BlinkEnd	157507232
6	Feed	157507312
1	BlinkStart	157507543
1	BlinkEnd	157513175
1	NoFeedLowProb	157513255
46	BlinkStart	157513486
46	BlinkEnd	157517582
4	Feed	157517662
1	BlinkStart	157517892
1	BlinkEnd	157529084
1	NoFeedLowProb	157529165
5	BlinkStart	157529396
5	BlinkEnd	157580274
5	NoFeedLowProb	157580354
8	BlinkStart	157580585
8	BlinkEnd	157583627
8	Feed	157583707
5	BlinkStart	157583938
5	BlinkEnd	157601331
5	NoFeedLowProb	157601411
8	BlinkStart	157601642
8	BlinkEnd	157605078
8	Feed	157605159
5	BlinkStart	157605389
5	BlinkEnd	157623128
5	NoFeedLowProb	157623208
2	BlinkStart	157623439
2	BlinkEnd	157626669
2	Feed	157626749
5	BlinkStart	157626979
5	BlinkEnd	157643639
5	NoFeedLowProb	157643719
2	BlinkStart	157643949
2	BlinkEnd	157646918
2	Feed	157646998
5	BlinkStart	157647228
5	BlinkEnd	157653264
5	NoFeedLowProb	157653344
8	BlinkStart	157653574
8	BlinkEnd	157656006
8	Feed	157656086
5	BlinkStart	157656317
5	BlinkEnd	157671515
5	NoFeedLowProb	157671595
2	BlinkStart	157671826
2	BlinkEnd	157675197
2	Feed	157675277
5	BlinkStart	157675508
5	BlinkEnd	157681621
5	NoFeedLowProb	157681701
82	BlinkStart	157681931
82	BlinkEnd	157685215
8	Feed	157685296
5	BlinkStart	157685526
5	BlinkEnd	157697850
5	NoFeedLowProb	157697930
82	BlinkStart	157698160
82	BlinkEnd	157702065
8	Feed	157702146
5	BlinkStart	157702377
5	BlinkEnd	157714630
5	NoFeedLowProb	157714710
82	BlinkStart	157714940
82	BlinkEnd	157743842
8	Feed	157743922
5	BlinkStart	157744152
5	BlinkEnd	157754605
5	NoFeedLowProb	157754685
82	BlinkStart	157754916
82	BlinkEnd	157758546
2	Feed	157758626
5	BlinkStart	157758857
5	BlinkEnd	157765022
5	NoFeedLowProb	157765103
82	BlinkStart	157765334
82	BlinkEnd	157768499
8	Feed	157768579
5	BlinkStart	157768809
5	BlinkEnd	157779330
5	NoFeedLowProb	157779411
82	BlinkStart	157779641
82	BlinkEnd	157782870
8	Feed	157782950
5	BlinkStart	157783180
5	BlinkEnd	157798583
5	NoFeedLowProb	157798663
1	BlinkStart	157798895
1	BlinkEnd	157813958
1	NoFeedLowProb	157814039
6	BlinkStart	157814270
6	BlinkEnd	157817232
6	Feed	157817312
1	BlinkStart	157817542
1	BlinkEnd	157827856
1	NoFeedLowProb	157827936
6	BlinkStart	157828166
6	BlinkEnd	157831397
6	Feed	157831477
1	BlinkStart	157831707
1	BlinkEnd	157845170
1	NoFeedLowProb	157845250
4	BlinkStart	157845480
4	BlinkEnd	157848379
4	Feed	157848459
1	BlinkStart	157848689
1	BlinkEnd	157866493
1	NoFeedLowProb	157866573
4	BlinkStart	157866803
4	BlinkEnd	157869701
4	Feed	157869782
1	BlinkStart	157870012
1	BlinkEnd	157883814
1	NoFeedLowProb	157883895
4	BlinkStart	157884127
4	BlinkEnd	157886948
4	Feed	157887028
1	BlinkStart	157887258
1	BlinkEnd	157904193
1	NoFeedLowProb	157904273
6	BlinkStart	157904503
6	BlinkEnd	157907330
6	Feed	157907410
1	BlinkStart	157907641
1	BlinkEnd	157920163
1	NoFeedLowProb	157920243
64	BlinkStart	157920474
64	BlinkEnd	157923377
4	Feed	157923457
1	BlinkStart	157923687
1	BlinkEnd	157931333
1	NoFeedLowProb	157931413
64	BlinkStart	157931644
64	BlinkEnd	157934806
6	Feed	157934886
1	BlinkStart	157935117
1	BlinkEnd	157946909
1	NoFeedLowProb	157946989
64	BlinkStart	157947219
64	BlinkEnd	157950921
4	Feed	157951001
1	BlinkStart	157951232
1	BlinkEnd	157961340
1	NoFeedLowProb	157961420
64	BlinkStart	157961650
64	BlinkEnd	157965280
6	Feed	157965360
1	BlinkStart	157965590
1	BlinkEnd	157987610
1	NoFeedLowProb	157987690
64	BlinkStart	157987920
64	BlinkEnd	157991149
6	Feed	157991229
1	BlinkStart	157991460
1	BlinkEnd	158000515
1	NoFeedLowProb	158000596
64	BlinkStart	158000826
64	BlinkEnd	158004318
4	Feed	158004398
1	BlinkStart	158004628
1	BlinkEnd	158010862
1	NoFeedLowProb	158010942
5	BlinkStart	158011172
5	BlinkEnd	158017749
5	NoFeedLowProb	158017829
2	BlinkStart	158018061
2	BlinkEnd	158020692
2	Feed	158020772
5	BlinkStart	158021003
5	BlinkEnd	158039947
5	NoFeedLowProb	158040027
8	BlinkStart	158040258
8	BlinkEnd	158042882
8	Feed	158042962
5	BlinkStart	158043193
5	BlinkEnd	158054059
5	NoFeedLowProb	158054139
8	BlinkStart	158054369
8	BlinkEnd	158057461
8	Feed	158057541
5	BlinkStart	158057772
5	BlinkEnd	158063472
5	NoFeedLowProb	158063552
2	BlinkStart	158063782
2	BlinkEnd	158066347
2	Feed	158066427
5	BlinkStart	158066657
5	BlinkEnd	158079716
5	NoFeedLowProb	158079796
2	BlinkStart	158080026
2	BlinkEnd	158083859
2	Feed	158083939
5	BlinkStart	158084170
5	BlinkEnd	158097626
5	NoFeedLowProb	158097706
8	BlinkStart	158097936
8	BlinkEnd	158101242
8	Feed	158101322
5	BlinkStart	158101553
5	BlinkEnd	158106588
5	NoFeedLowProb	158106668
28	BlinkStart	158106898
28	BlinkEnd	158109926
2	Feed	158110006
5	BlinkStart	158110236
5	BlinkEnd	158124435
5	NoFeedLowProb	158124515
28	BlinkStart	158124746
28	BlinkEnd	158128375
2	Feed	158128455
5	BlinkStart	158128685
5	BlinkEnd	158139600
5	NoFeedLowProb	158139680
28	BlinkStart	158139911
28	BlinkEnd	158172355
8	Feed	158172435
5	BlinkStart	158172666
5	BlinkEnd	158177103
5	NoFeedLowProb	158177183
28	BlinkStart	158177413
28	BlinkEnd	158180112
2	Feed	158180192
5	BlinkStart	158180422
5	BlinkEnd	158191000
5	NoFeedLowProb	158191080
28	BlinkStart	158191310
28	BlinkEnd	158195080
8	Feed	158195160
5	BlinkStart	158195390
5	BlinkEnd	158199163
5	NoFeedLowProb	158199243
28	BlinkStart	158199473
28	BlinkEnd	158202103
2	Feed	158202183
5	BlinkStart	158202413
5	BlinkEnd	158212663
5	NoFeedLowProb	158212744
1	BlinkStart	158212975
1	BlinkEnd	158217208
1	NoFeedLowProb	158217288
4	BlinkStart	158217519
4	BlinkEnd	158220814
4	Feed	158220894
1	BlinkStart	158221125
1	BlinkEnd	158231644
1	NoFeedLowProb	158231724
4	BlinkStart	158231954
4	BlinkEnd	158236184
4	Feed	158236265
1	BlinkStart	158236496
1	BlinkEnd	158246015
1	NoFeedLowProb	158246096
6	BlinkStart	158246326
6	BlinkEnd	158250022
6	Feed	158250102
1	BlinkStart	158250332
1	BlinkEnd	158256706
1	NoFeedLowProb	158256786
6	BlinkStart	158257016
6	BlinkEnd	158259852
6	Feed	158259933
1	BlinkStart	158260164
1	BlinkEnd	158265465
1	NoFeedLowProb	158265545
6	BlinkStart	158265775
6	BlinkEnd	158269275
6	Feed	158269355
1	BlinkStart	158269586
1	BlinkEnd	158277160
1	NoFeedLowProb	158277241
4	BlinkStart	158277471
4	BlinkEnd	158283310
4	Feed	158283390
1	BlinkStart	158283620
1	BlinkEnd	158292206
1	NoFeedLowProb	158292286
46	BlinkStart	158292517
46	BlinkEnd	158296009
6	Feed	158296089
1	BlinkStart	158296319
1	BlinkEnd	158301088
1	NoFeedLowProb	158301168
46	BlinkStart	158301399
46	BlinkEnd	158306508
4	Feed	158306589
1	BlinkStart	158306819
1	BlinkEnd	158315061
1	NoFeedLowProb	158315141
46	BlinkStart	158315371
46	BlinkEnd	158319673
6	Feed	158319753
1	BlinkStart	158319983
1	BlinkEnd	158324751
1	NoFeedLowProb	158324831
46	BlinkStart	158325062
46	BlinkEnd	158327824
4	Feed	158327904
1	BlinkStart	158328134
1	BlinkEnd	158338850
1	NoFeedLowProb	158338931
46	BlinkStart	158339162
46	BlinkEnd	158343468
4	Feed	158343548
1	BlinkStart	158343779
1	BlinkEnd	158353103
1	NoFeedLowProb	158353183
46	BlinkStart	158353413
46	BlinkEnd	158356965
6	Feed	158357045
1	BlinkStart	158357276
1	BlinkEnd	158362249
1	NoFeedLowProb	158362329
5	BlinkStart	158362559
5	BlinkEnd	158366527
5	NoFeedLowProb	158366607
8	BlinkStart	158366838
8	BlinkEnd	158369467
8	Feed	158369547
5	BlinkStart	158369777
5	BlinkEnd	158388582
5	NoFeedLowProb	158388662
8	BlinkStart	158388892
8	BlinkEnd	158392260
8	Feed	158392340
5	BlinkStart	158392570
5	BlinkEnd	158408771
5	NoFeedLowProb	158408851
2	BlinkStart	158409081
2	BlinkEnd	158412250
2	Feed	158412330
5	BlinkStart	158412560
5	BlinkEnd	158418136
5	NoFeedLowProb	158418216
8	BlinkStart	158418446
