Ver1.2	457775165	StartFile	2/20/2020	9:50:27 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\022020\SoundData.txt	457775165
458352623	Triggered	4	 NoSound	50	2	458352623
458404856	Triggered	1	 Modulated Tone	25	2	458404856
458416219	Triggered	4	 NoSound	50	2	458416219
458424779	Triggered	1	 Modulated Tone	25	2	458424779
458433330	Triggered	6	 NoSound	50	2	458433330
458452379	Triggered	1	 Modulated Tone	25	2	458452379
458462070	Triggered	6	 NoSound	50	2	458462070
458475909	Triggered	1	 Modulated Tone	25	2	458475909
458491016	Triggered	6	 NoSound	50	2	458491016
458503044	Triggered	1	 Modulated Tone	25	2	458503044
458508258	Triggered	4	 NoSound	50	2	458508258
458514408	Triggered	1	 Modulated Tone	25	2	458514408
458519220	Triggered	4	 NoSound	50	2	458519220
458524633	Triggered	1	 Modulated Tone	25	2	458524633
458529914	Triggered	6	 NoSound	50	2	458529914
458542682	Triggered	1	 Modulated Tone	25	2	458542682
458551171	Triggered	6	 NoSound	50	2	458551171
458563133	Triggered	1	 Modulated Tone	25	2	458563133
458612329	Triggered	6	 NoSound	50	2	458612329
458625964	Triggered	1	 Modulated Tone	25	2	458625964
458632917	Triggered	6	 NoSound	50	2	458632917
458644881	Triggered	1	 Modulated Tone	25	2	458644881
458650162	Triggered	6	 NoSound	50	2	458650162
458663863	Triggered	1	 Modulated Tone	25	2	458663863
458668141	Triggered	6	 NoSound	50	2	458668141
458681376	Triggered	1	 Modulated Tone	25	2	458681376
458687592	Triggered	5	 Modulated Tone	25	2	458687592
458690935	Triggered	2	 NoSound	50	2	458690935
458704569	Triggered	5	 Modulated Tone	25	2	458704569
458708379	Triggered	8	 NoSound	50	2	458708379
458719608	Triggered	1	 Modulated Tone	25	2	458719608
458724621	Triggered	5	 Modulated Tone	25	2	458724621
458727764	Triggered	8	 NoSound	50	2	458727764
458732642	Triggered	5	 Modulated Tone	25	2	458732642
458735722	Triggered	2	 NoSound	50	2	458735722
458747013	Triggered	5	 Modulated Tone	25	2	458747013
458750424	Triggered	2	 NoSound	50	2	458750424
458761726	Triggered	5	 Modulated Tone	25	2	458761726
458765194	Triggered	8	 NoSound	50	2	458765194
458770141	Triggered	5	 Modulated Tone	25	2	458770141
458773349	Triggered	2	 NoSound	50	2	458773349
458783843	Triggered	5	 Modulated Tone	25	2	458783843
458789260	Triggered	2	 NoSound	50	2	458789260
458797545	Triggered	5	 Modulated Tone	25	2	458797545
458800825	Triggered	2	 NoSound	50	2	458800825
458810178	Triggered	5	 Modulated Tone	25	2	458810178
458814656	Triggered	2	 NoSound	50	2	458814656
458823750	Triggered	5	 Modulated Tone	25	2	458823750
458827691	Triggered	2	 NoSound	50	2	458827691
458837047	Triggered	5	 Modulated Tone	25	2	458837047
458841194	Triggered	2	 NoSound	50	2	458841194
458852020	Triggered	5	 Modulated Tone	25	2	458852020
458871137	Triggered	1	 Modulated Tone	25	2	458871137
458875615	Triggered	4	 NoSound	50	2	458875615
458887049	Triggered	1	 Modulated Tone	25	2	458887049
458890788	Triggered	6	 NoSound	50	2	458890788
458898214	Triggered	1	 Modulated Tone	25	2	458898214
458902695	Triggered	4	 NoSound	50	2	458902695
