Tuesday, March 17, 2020	9:43:56 AM	Game1.txt	313781053
cued	now	313800295
7	BlinkStart	313800375
7	BlinkEnd	314551264
0	NoFeedLowProb	314551344
5	BlinkStart	314551575
5	BlinkEnd	314601878
5	NoFeedLowProb	314601958
8	BlinkStart	314602189
8	BlinkEnd	314613114
8	Feed	314613195
5	BlinkStart	314613425
5	BlinkEnd	314632290
5	NoFeedLowProb	314632371
8	BlinkStart	314632601
8	BlinkEnd	314638973
8	Feed	314639053
5	BlinkStart	314639283
5	BlinkEnd	314649735
5	NoFeedLowProb	314649815
8	BlinkStart	314650045
8	BlinkEnd	314654756
8	Feed	314654837
5	BlinkStart	314655068
5	BlinkEnd	314665589
5	NoFeedLowProb	314665669
28	BlinkStart	314665899
28	BlinkEnd	314671056
2	Feed	314671136
5	BlinkStart	314671366
5	BlinkEnd	314684094
5	NoFeedLowProb	314684174
28	BlinkStart	314684404
28	BlinkEnd	314689841
2	Feed	314689921
5	BlinkStart	314690152
5	BlinkEnd	314701407
5	NoFeedLowProb	314701488
28	BlinkStart	314701718
28	BlinkEnd	314727543
2	Feed	314727623
5	BlinkStart	314727854
5	BlinkEnd	314740714
5	NoFeedLowProb	314740794
2	BlinkStart	314741024
2	BlinkEnd	314745123
2	Feed	314745203
5	BlinkStart	314745434
5	BlinkEnd	314756422
5	NoFeedLowProb	314756502
2	BlinkStart	314756732
2	BlinkEnd	314760627
2	Feed	314760707
5	BlinkStart	314760937
5	BlinkEnd	314769785
5	NoFeedLowProb	314769865
2	BlinkStart	314770095
2	BlinkEnd	314773399
2	Feed	314773479
5	BlinkStart	314773709
5	BlinkEnd	314782555
5	NoFeedLowProb	314782635
28	BlinkStart	314782865
28	BlinkEnd	314787106
2	Feed	314787186
5	BlinkStart	314787416
5	BlinkEnd	314796052
5	NoFeedLowProb	314796132
28	BlinkStart	314796363
28	BlinkEnd	314800669
2	Feed	314800749
5	BlinkStart	314800980
5	BlinkEnd	314808421
5	NoFeedLowProb	314808502
28	BlinkStart	314808732
28	BlinkEnd	314812693
2	Feed	314812773
5	BlinkStart	314813003
5	BlinkEnd	314823733
5	NoFeedLowProb	314823813
1	BlinkStart	314824043
1	BlinkEnd	314836491
1	NoFeedLowProb	314836571
6	BlinkStart	314836801
6	BlinkEnd	314841369
6	Feed	314841449
1	BlinkStart	314841679
1	BlinkEnd	314852736
1	NoFeedLowProb	314852816
6	BlinkStart	314853046
6	BlinkEnd	314856406
6	Feed	314856486
1	BlinkStart	314856716
1	BlinkEnd	314870442
1	NoFeedLowProb	314870522
6	BlinkStart	314870753
6	BlinkEnd	314873992
6	Feed	314874072
1	BlinkStart	314874302
1	BlinkEnd	314885758
1	NoFeedLowProb	314885839
64	BlinkStart	314886070
64	BlinkEnd	314889104
4	Feed	314889184
1	BlinkStart	314889414
1	BlinkEnd	314906804
1	NoFeedLowProb	314906884
64	BlinkStart	314907114
64	BlinkEnd	314911217
6	Feed	314911297
1	BlinkStart	314911528
1	BlinkEnd	314920240
1	NoFeedLowProb	314920321
64	BlinkStart	314920552
64	BlinkEnd	314924325
4	Feed	314924405
1	BlinkStart	314924635
1	BlinkEnd	314937818
1	NoFeedLowProb	314937898
4	BlinkStart	314938128
4	BlinkEnd	314940697
4	Feed	314940777
1	BlinkStart	314941008
1	BlinkEnd	314953192
1	NoFeedLowProb	314953272
4	BlinkStart	314953502
4	BlinkEnd	314956541
4	Feed	314956621
1	BlinkStart	314956851
1	BlinkEnd	314969708
1	NoFeedLowProb	314969788
4	BlinkStart	314970019
4	BlinkEnd	314972788
4	Feed	314972869
1	BlinkStart	314973099
1	BlinkEnd	314987354
1	NoFeedLowProb	314987434
64	BlinkStart	314987664
64	BlinkEnd	314990901
4	Feed	314990981
1	BlinkStart	314991212
1	BlinkEnd	315004201
1	NoFeedLowProb	315004281
64	BlinkStart	315004511
64	BlinkEnd	315007672
4	Feed	315007752
1	BlinkStart	315007982
1	BlinkEnd	315021109
1	NoFeedLowProb	315021189
64	BlinkStart	315021419
64	BlinkEnd	315024788
4	Feed	315024868
1	BlinkStart	315025098
1	BlinkEnd	315036408
1	NoFeedLowProb	315036488
5	BlinkStart	315036718
5	BlinkEnd	315068356
5	NoFeedLowProb	315068436
8	BlinkStart	315068666
8	BlinkEnd	315071432
8	Feed	315071513
5	BlinkStart	315071743
5	BlinkEnd	315087951
5	NoFeedLowProb	315088032
8	BlinkStart	315088262
8	BlinkEnd	315092759
8	Feed	315092839
5	BlinkStart	315093070
5	BlinkEnd	315111537
5	NoFeedLowProb	315111617
8	BlinkStart	315111849
8	BlinkEnd	315115346
8	Feed	315115427
5	BlinkStart	315115658
5	BlinkEnd	315130120
5	NoFeedLowProb	315130200
82	BlinkStart	315130430
82	BlinkEnd	315135131
8	Feed	315135211
5	BlinkStart	315135441
5	BlinkEnd	315149782
5	NoFeedLowProb	315149862
82	BlinkStart	315150093
82	BlinkEnd	315153792
8	Feed	315153873
5	BlinkStart	315154105
5	BlinkEnd	315169831
5	NoFeedLowProb	315169911
82	BlinkStart	315170141
82	BlinkEnd	315173239
8	Feed	315173320
5	BlinkStart	315173550
5	BlinkEnd	315184805
5	NoFeedLowProb	315184885
2	BlinkStart	315185115
2	BlinkEnd	315189207
2	Feed	315189287
5	BlinkStart	315189517
5	BlinkEnd	315196027
5	NoFeedLowProb	315196107
2	BlinkStart	315196337
2	BlinkEnd	315200912
2	Feed	315200992
5	BlinkStart	315201223
5	BlinkEnd	315208388
5	NoFeedLowProb	315208468
2	BlinkStart	315208698
2	BlinkEnd	315212200
2	Feed	315212280
5	BlinkStart	315212510
5	BlinkEnd	315218356
5	NoFeedLowProb	315218436
82	BlinkStart	315218666
82	BlinkEnd	315221565
8	Feed	315221645
5	BlinkStart	315221875
5	BlinkEnd	315242148
5	NoFeedLowProb	315242228
82	BlinkStart	315242458
82	BlinkEnd	315245220
8	Feed	315245300
5	BlinkStart	315245531
5	BlinkEnd	315259128
5	NoFeedLowProb	315259208
82	BlinkStart	315259438
82	BlinkEnd	315262464
8	Feed	315262544
5	BlinkStart	315262774
5	BlinkEnd	315275908
5	NoFeedLowProb	315275988
1	BlinkStart	315276218
1	BlinkEnd	315280514
1	NoFeedLowProb	315280594
6	BlinkStart	315280824
6	BlinkEnd	315284328
6	Feed	315284408
1	BlinkStart	315284638
1	BlinkEnd	315292352
1	NoFeedLowProb	315292432
6	BlinkStart	315292662
6	BlinkEnd	315329511
6	Feed	315329591
1	BlinkStart	315329821
1	BlinkEnd	315342682
1	NoFeedLowProb	315342762
6	BlinkStart	315342992
6	BlinkEnd	315347226
6	Feed	315347306
1	BlinkStart	315347537
1	BlinkEnd	315355446
1	NoFeedLowProb	315355526
46	BlinkStart	315355757
46	BlinkEnd	315359518
4	Feed	315359598
1	BlinkStart	315359828
1	BlinkEnd	315374961
1	NoFeedLowProb	315375041
46	BlinkStart	315375271
46	BlinkEnd	315378299
4	Feed	315378379
1	BlinkStart	315378610
1	BlinkEnd	315390865
1	NoFeedLowProb	315390945
46	BlinkStart	315391175
46	BlinkEnd	315394282
4	Feed	315394362
1	BlinkStart	315394592
1	BlinkEnd	315408923
1	NoFeedLowProb	315409003
4	BlinkStart	315409233
4	BlinkEnd	315412989
4	Feed	315413069
1	BlinkStart	315413300
1	BlinkEnd	315426691
1	NoFeedLowProb	315426772
4	BlinkStart	315427002
4	BlinkEnd	315430643
4	Feed	315430723
1	BlinkStart	315430954
1	BlinkEnd	315445348
1	NoFeedLowProb	315445429
4	BlinkStart	315445659
4	BlinkEnd	315450689
4	Feed	315450769
1	BlinkStart	315451000
1	BlinkEnd	315463402
1	NoFeedLowProb	315463482
46	BlinkStart	315463713
46	BlinkEnd	315467604
4	Feed	315467684
1	BlinkStart	315467914
1	BlinkEnd	315480908
1	NoFeedLowProb	315480989
46	BlinkStart	315481220
46	BlinkEnd	315493207
4	Feed	315493288
1	BlinkStart	315493518
1	BlinkEnd	315507037
1	NoFeedLowProb	315507117
46	BlinkStart	315507348
46	BlinkEnd	315511178
4	Feed	315511258
1	BlinkStart	315511488
1	BlinkEnd	315524089
1	NoFeedLowProb	315524169
5	BlinkStart	315524399
5	BlinkEnd	315532973
5	NoFeedLowProb	315533053
8	BlinkStart	315533284
8	BlinkEnd	315536109
8	Feed	315536189
5	BlinkStart	315536420
5	BlinkEnd	315555026
5	NoFeedLowProb	315555106
8	BlinkStart	315555336
8	BlinkEnd	315558635
8	Feed	315558715
5	BlinkStart	315558945
5	BlinkEnd	315575950
5	NoFeedLowProb	315576030
8	BlinkStart	315576260
8	BlinkEnd	315580365
8	Feed	315580446
5	BlinkStart	315580676
5	BlinkEnd	315598279
5	NoFeedLowProb	315598359
82	BlinkStart	315598589
82	BlinkEnd	315602694
8	Feed	315602774
5	BlinkStart	315603006
5	BlinkEnd	315621934
5	NoFeedLowProb	315622014
82	BlinkStart	315622244
82	BlinkEnd	315627088
8	Feed	315627168
5	BlinkStart	315627398
5	BlinkEnd	315643457
5	NoFeedLowProb	315643537
82	BlinkStart	315643767
82	BlinkEnd	315649076
8	Feed	315649157
5	BlinkStart	315649388
5	BlinkEnd	315666395
5	NoFeedLowProb	315666475
2	BlinkStart	315666705
2	BlinkEnd	315670399
2	Feed	315670479
5	BlinkStart	315670709
5	BlinkEnd	315679956
5	NoFeedLowProb	315680036
2	BlinkStart	315680267
2	BlinkEnd	315727009
2	Feed	315727089
5	BlinkStart	315727319
5	BlinkEnd	315742055
5	NoFeedLowProb	315742135
2	BlinkStart	315742366
2	BlinkEnd	315746261
2	Feed	315746341
5	BlinkStart	315746572
5	BlinkEnd	315758365
5	NoFeedLowProb	315758446
82	BlinkStart	315758676
82	BlinkEnd	315791244
2	Feed	315791324
5	BlinkStart	315791554
5	BlinkEnd	315818981
5	NoFeedLowProb	315819061
82	BlinkStart	315819292
82	BlinkEnd	315822399
8	Feed	315822479
5	BlinkStart	315822710
5	BlinkEnd	315849267
5	NoFeedLowProb	315849347
82	BlinkStart	315849577
82	BlinkEnd	315853538
8	Feed	315853618
5	BlinkStart	315853849
5	BlinkEnd	315879884
5	NoFeedLowProb	315879965
1	BlinkStart	315880195
1	BlinkEnd	315889571
1	NoFeedLowProb	315889651
4	BlinkStart	315889881
4	BlinkEnd	315892913
4	Feed	315892994
1	BlinkStart	315893224
1	BlinkEnd	315903674
1	NoFeedLowProb	315903755
4	BlinkStart	315903986
4	BlinkEnd	315916902
4	Feed	315916982
1	BlinkStart	315917213
1	BlinkEnd	315933084
1	NoFeedLowProb	315933165
4	BlinkStart	315933395
4	BlinkEnd	316289542
4	Feed	316289622
1	BlinkStart	316289852
1	BlinkEnd	316340889
1	NoFeedLowProb	316340970
46	BlinkStart	316341201
46	BlinkEnd	316355991
4	Feed	316356071
1	BlinkStart	316356301
1	BlinkEnd	316372693
1	NoFeedLowProb	316372773
46	BlinkStart	316373003
46	BlinkEnd	316412260
4	Feed	316412340
1	BlinkStart	316412570
1	BlinkEnd	316423889
1	NoFeedLowProb	316423969
46	BlinkStart	316424199
46	BlinkEnd	316442078
4	Feed	316442158
1	BlinkStart	316442388
1	BlinkEnd	316452378
1	NoFeedLowProb	316452458
6	BlinkStart	316452688
6	BlinkEnd	316471354
6	Feed	316471434
1	BlinkStart	316471665
1	BlinkEnd	316479577
1	NoFeedLowProb	316479657
6	BlinkStart	316479889
6	BlinkEnd	316902037
0	StopTraining	316902117
