Tuesday, March 31, 2020	12:46:46 PM	Game1.txt	1534350899
cued	now	1534371817
7	BlinkStart	1534371897
7	BlinkEnd	1534722681
0	NoFeedLowProb	1534722761
1	BlinkStart	1534722991
1	BlinkEnd	1534792277
1	NoFeedLowProb	1534792357
4	BlinkStart	1534792587
4	BlinkEnd	1534795619
4	Feed	1534795699
1	BlinkStart	1534795930
1	BlinkEnd	1534796201
1	NoFeedLowProb	1534796281
4	BlinkStart	1534796512
4	BlinkEnd	1534803436
4	Feed	1534803516
1	BlinkStart	1534803748
1	BlinkEnd	1534827911
1	NoFeedLowProb	1534827991
4	BlinkStart	1534828221
4	BlinkEnd	1534832645
4	Feed	1534832725
1	BlinkStart	1534832956
1	BlinkEnd	1534851161
1	NoFeedLowProb	1534851241
46	BlinkStart	1534851471
46	BlinkEnd	1534856372
4	Feed	1534856452
1	BlinkStart	1534856682
1	BlinkEnd	1534866600
1	NoFeedLowProb	1534866680
5	BlinkStart	1534866910
5	BlinkEnd	1534933583
5	NoFeedLowProb	1534933663
2	BlinkStart	1534933893
2	BlinkEnd	1534938063
2	Feed	1534938143
5	BlinkStart	1534938373
5	BlinkEnd	1534963722
5	NoFeedLowProb	1534963802
2	BlinkStart	1534964032
2	BlinkEnd	1534969271
2	Feed	1534969351
5	BlinkStart	1534969581
5	BlinkEnd	1534983311
5	NoFeedLowProb	1534983391
2	BlinkStart	1534983621
2	BlinkEnd	1534987120
2	Feed	1534987200
5	BlinkStart	1534987431
5	BlinkEnd	1535000685
5	NoFeedLowProb	1535000765
82	BlinkStart	1535000995
82	BlinkEnd	1535006503
2	Feed	1535006584
5	BlinkStart	1535006814
5	BlinkEnd	1535017943
5	NoFeedLowProb	1535018023
1	BlinkStart	1535018253
1	BlinkEnd	1535033369
1	NoFeedLowProb	1535033449
4	BlinkStart	1535033679
4	BlinkEnd	1535036781
4	Feed	1535036861
1	BlinkStart	1535037091
1	BlinkEnd	1535050279
1	NoFeedLowProb	1535050359
4	BlinkStart	1535050589
4	BlinkEnd	1535053424
4	Feed	1535053504
1	BlinkStart	1535053734
1	BlinkEnd	1535070469
1	NoFeedLowProb	1535070549
4	BlinkStart	1535070779
4	BlinkEnd	1535073741
4	Feed	1535073821
1	BlinkStart	1535074051
1	BlinkEnd	1535093325
1	NoFeedLowProb	1535093405
46	BlinkStart	1535093635
46	BlinkEnd	1535096534
4	Feed	1535096614
1	BlinkStart	1535096844
1	BlinkEnd	1535110569
1	NoFeedLowProb	1535110650
5	BlinkStart	1535110880
5	BlinkEnd	1535123278
5	NoFeedLowProb	1535123358
8	BlinkStart	1535123588
8	BlinkEnd	1535126676
8	Feed	1535126756
5	BlinkStart	1535126986
5	BlinkEnd	1535134302
5	NoFeedLowProb	1535134382
8	BlinkStart	1535134613
8	BlinkEnd	1535141184
8	Feed	1535141264
5	BlinkStart	1535141495
5	BlinkEnd	1535148469
5	NoFeedLowProb	1535148549
8	BlinkStart	1535148780
8	BlinkEnd	1535172403
8	Feed	1535172483
5	BlinkStart	1535172713
5	BlinkEnd	1535193322
5	NoFeedLowProb	1535193402
28	BlinkStart	1535193632
28	BlinkEnd	1535196592
2	Feed	1535196672
5	BlinkStart	1535196902
5	BlinkEnd	1535220922
5	NoFeedLowProb	1535221002
1	BlinkStart	1535221232
1	BlinkEnd	1535228343
1	NoFeedLowProb	1535228423
6	BlinkStart	1535228653
6	BlinkEnd	1535232019
6	Feed	1535232099
1	BlinkStart	1535232329
1	BlinkEnd	1535244660
1	NoFeedLowProb	1535244741
6	BlinkStart	1535244971
6	BlinkEnd	1535248794
6	Feed	1535248874
1	BlinkStart	1535249104
1	BlinkEnd	1535261102
1	NoFeedLowProb	1535261183
6	BlinkStart	1535261413
6	BlinkEnd	1535264974
6	Feed	1535265054
1	BlinkStart	1535265284
1	BlinkEnd	1535273067
1	NoFeedLowProb	1535273147
64	BlinkStart	1535273377
64	BlinkEnd	1535277010
6	Feed	1535277091
1	BlinkStart	1535277321
1	BlinkEnd	1535284891
1	NoFeedLowProb	1535284971
5	BlinkStart	1535285202
5	BlinkEnd	1535312097
5	NoFeedLowProb	1535312177
