Sunday, April 26, 2020	11:01:36 PM	Game1.txt	886137453
cued	now	886143098
9	BlinkStart	886143179
9	BlinkEnd	886387062
0	NoFeedLowProb	886387142
5	BlinkStart	886387372
5	BlinkEnd	886410130
5	NoFeedLowProb	886410210
2	BlinkStart	886410441
2	BlinkEnd	886446095
2	Feed	886446175
5	BlinkStart	886446406
5	BlinkEnd	886523692
5	NoFeedLowProb	886523772
2	BlinkStart	886524003
2	BlinkEnd	886529509
2	Feed	886529589
5	BlinkStart	886529820
5	BlinkEnd	886539536
5	NoFeedLowProb	886539616
2	BlinkStart	886539846
2	BlinkEnd	886544283
2	Feed	886544363
5	BlinkStart	886544593
5	BlinkEnd	886553504
5	NoFeedLowProb	886553584
28	BlinkStart	886553815
28	BlinkEnd	886558921
2	Feed	886559001
5	BlinkStart	886559231
5	BlinkEnd	886568342
5	NoFeedLowProb	886568422
28	BlinkStart	886568653
28	BlinkEnd	886573160
2	Feed	886573240
5	BlinkStart	886573470
5	BlinkEnd	886582184
5	NoFeedLowProb	886582264
28	BlinkStart	886582496
28	BlinkEnd	886587325
2	Feed	886587405
5	BlinkStart	886587636
5	BlinkEnd	886600158
5	NoFeedLowProb	886600238
28	BlinkStart	886600469
28	BlinkEnd	886605312
2	Feed	886605392
5	BlinkStart	886605623
5	BlinkEnd	886613728
5	NoFeedLowProb	886613808
28	BlinkStart	886614038
28	BlinkEnd	886618015
2	Feed	886618096
5	BlinkStart	886618326
5	BlinkEnd	886625826
5	NoFeedLowProb	886625906
28	BlinkStart	886626136
28	BlinkEnd	886630445
2	Feed	886630525
5	BlinkStart	886630755
5	BlinkEnd	886638796
5	NoFeedLowProb	886638876
1	BlinkStart	886639107
1	BlinkEnd	886645820
1	NoFeedLowProb	886645901
6	BlinkStart	886646131
6	BlinkEnd	886651961
6	Feed	886652041
1	BlinkStart	886652271
1	BlinkEnd	886666198
1	NoFeedLowProb	886666278
6	BlinkStart	886666509
6	BlinkEnd	886670144
6	Feed	886670225
1	BlinkStart	886670455
1	BlinkEnd	886682173
1	NoFeedLowProb	886682253
6	BlinkStart	886682483
6	BlinkEnd	886685853
6	Feed	886685933
1	BlinkStart	886686163
1	BlinkEnd	886695941
1	NoFeedLowProb	886696021
64	BlinkStart	886696252
64	BlinkEnd	886699559
4	Feed	886699639
1	BlinkStart	886699869
1	BlinkEnd	886707717
1	NoFeedLowProb	886707797
64	BlinkStart	886708027
64	BlinkEnd	886715802
6	Feed	886715882
1	BlinkStart	886716112
1	BlinkEnd	886730639
1	NoFeedLowProb	886730719
64	BlinkStart	886730949
64	BlinkEnd	886733913
6	Feed	886733993
1	BlinkStart	886734223
1	BlinkEnd	886745742
1	NoFeedLowProb	886745822
64	BlinkStart	886746052
64	BlinkEnd	886749349
6	Feed	886749429
1	BlinkStart	886749660
1	BlinkEnd	886763388
1	NoFeedLowProb	886763468
64	BlinkStart	886763699
64	BlinkEnd	886766397
6	Feed	886766477
1	BlinkStart	886766707
1	BlinkEnd	886776556
1	NoFeedLowProb	886776636
64	BlinkStart	886776866
64	BlinkEnd	886779493
6	Feed	886779573
1	BlinkStart	886779804
1	BlinkEnd	886790530
1	NoFeedLowProb	886790611
5	BlinkStart	886790841
5	BlinkEnd	886794408
5	NoFeedLowProb	886794488
2	BlinkStart	886794718
2	BlinkEnd	886797475
2	Feed	886797555
5	BlinkStart	886797786
5	BlinkEnd	886803492
5	NoFeedLowProb	886803572
2	BlinkStart	886803802
2	BlinkEnd	886815727
2	Feed	886815807
5	BlinkStart	886816037
5	BlinkEnd	886827685
5	NoFeedLowProb	886827765
2	BlinkStart	886827996
2	BlinkEnd	886856427
2	Feed	886856507
5	BlinkStart	886856738
5	BlinkEnd	886866463
5	NoFeedLowProb	886866543
82	BlinkStart	886866774
82	BlinkEnd	886870405
8	Feed	886870485
5	BlinkStart	886870716
5	BlinkEnd	886880770
5	NoFeedLowProb	886880850
82	BlinkStart	886881081
82	BlinkEnd	886883899
8	Feed	886883979
5	BlinkStart	886884209
5	BlinkEnd	886892528
5	NoFeedLowProb	886892608
82	BlinkStart	886892838
82	BlinkEnd	886895734
2	Feed	886895814
5	BlinkStart	886896044
5	BlinkEnd	886901743
5	NoFeedLowProb	886901823
82	BlinkStart	886902053
82	BlinkEnd	886904827
8	Feed	886904907
5	BlinkStart	886905137
5	BlinkEnd	886913376
5	NoFeedLowProb	886913456
82	BlinkStart	886913687
82	BlinkEnd	886916388
8	Feed	886916468
5	BlinkStart	886916699
5	BlinkEnd	886927419
5	NoFeedLowProb	886927499
82	BlinkStart	886927729
82	BlinkEnd	886930217
8	Feed	886930297
5	BlinkStart	886930527
5	BlinkEnd	886940781
5	NoFeedLowProb	886940861
1	BlinkStart	886941092
1	BlinkEnd	886949940
1	NoFeedLowProb	886950021
4	BlinkStart	886950252
4	BlinkEnd	886953753
4	Feed	886953834
1	BlinkStart	886954064
1	BlinkEnd	886966648
1	NoFeedLowProb	886966728
4	BlinkStart	886966958
4	BlinkEnd	886969390
4	Feed	886969470
1	BlinkStart	886969701
1	BlinkEnd	886982637
1	NoFeedLowProb	886982717
4	BlinkStart	886982947
4	BlinkEnd	886985493
4	Feed	886985574
1	BlinkStart	886985805
1	BlinkEnd	886997058
1	NoFeedLowProb	886997138
46	BlinkStart	886997368
46	BlinkEnd	886999940
6	Feed	887000020
1	BlinkStart	887000251
1	BlinkEnd	887007689
1	NoFeedLowProb	887007769
46	BlinkStart	887008000
46	BlinkEnd	887010964
4	Feed	887011044
1	BlinkStart	887011274
1	BlinkEnd	887033155
1	NoFeedLowProb	887033235
46	BlinkStart	887033465
46	BlinkEnd	887036232
