Tuesday, April 28, 2020	12:51:01 PM	Game1.txt	1022302786
cued	now	1022320398
9	BlinkStart	1022320478
9	BlinkEnd	1022655227
0	NoFeedLowProb	1022655307
1	BlinkStart	1022655537
1	BlinkEnd	1022663075
1	NoFeedLowProb	1022663155
4	BlinkStart	1022663385
4	BlinkEnd	1022685277
4	Feed	1022685358
1	BlinkStart	1022685589
1	BlinkEnd	1022751582
1	NoFeedLowProb	1022751662
4	BlinkStart	1022751892
4	BlinkEnd	1022757329
4	Feed	1022757409
1	BlinkStart	1022757639
1	BlinkEnd	1022779386
1	NoFeedLowProb	1022779466
4	BlinkStart	1022779696
4	BlinkEnd	1022821226
4	Feed	1022821307
1	BlinkStart	1022821537
1	BlinkEnd	1022828647
1	NoFeedLowProb	1022828727
64	BlinkStart	1022828958
64	BlinkEnd	1022834590
6	Feed	1022834670
1	BlinkStart	1022834900
1	BlinkEnd	1022855250
1	NoFeedLowProb	1022855331
64	BlinkStart	1022855561
64	BlinkEnd	1022861938
6	Feed	1022862018
1	BlinkStart	1022862248
1	BlinkEnd	1022877909
1	NoFeedLowProb	1022877989
64	BlinkStart	1022878219
64	BlinkEnd	1022884465
6	Feed	1022884545
1	BlinkStart	1022884776
1	BlinkEnd	1022897762
1	NoFeedLowProb	1022897843
64	BlinkStart	1022898073
64	BlinkEnd	1022902703
4	Feed	1022902783
1	BlinkStart	1022903013
1	BlinkEnd	1022910130
1	NoFeedLowProb	1022910210
64	BlinkStart	1022910440
64	BlinkEnd	1022915537
6	Feed	1022915617
1	BlinkStart	1022915847
1	BlinkEnd	1022925768
1	NoFeedLowProb	1022925848
64	BlinkStart	1022926078
64	BlinkEnd	1022932518
6	Feed	1022932599
1	BlinkStart	1022932829
1	BlinkEnd	1022942943
1	NoFeedLowProb	1022943024
5	BlinkStart	1022943254
5	BlinkEnd	1022950567
5	NoFeedLowProb	1022950648
8	BlinkStart	1022950878
8	BlinkEnd	1022955106
8	Feed	1022955186
5	BlinkStart	1022955418
5	BlinkEnd	1022964868
5	NoFeedLowProb	1022964948
8	BlinkStart	1022965178
8	BlinkEnd	1022971084
8	Feed	1022971165
5	BlinkStart	1022971395
5	BlinkEnd	1022981507
5	NoFeedLowProb	1022981587
8	BlinkStart	1022981817
8	BlinkEnd	1022987121
8	Feed	1022987202
5	BlinkStart	1022987432
5	BlinkEnd	1022997357
5	NoFeedLowProb	1022997438
28	BlinkStart	1022997668
28	BlinkEnd	1023002227
2	Feed	1023002307
5	BlinkStart	1023002537
5	BlinkEnd	1023017070
5	NoFeedLowProb	1023017150
28	BlinkStart	1023017380
28	BlinkEnd	1023021013
2	Feed	1023021093
5	BlinkStart	1023021323
5	BlinkEnd	1023037059
5	NoFeedLowProb	1023037139
28	BlinkStart	1023037369
28	BlinkEnd	1023041597
2	Feed	1023041677
5	BlinkStart	1023041909
5	BlinkEnd	1023055372
5	NoFeedLowProb	1023055452
28	BlinkStart	1023055682
28	BlinkEnd	1023059111
2	Feed	1023059192
5	BlinkStart	1023059423
5	BlinkEnd	1023074089
5	NoFeedLowProb	1023074169
28	BlinkStart	1023074399
28	BlinkEnd	1023078159
2	Feed	1023078239
5	BlinkStart	1023078469
5	BlinkEnd	1023092604
5	NoFeedLowProb	1023092684
28	BlinkStart	1023092914
28	BlinkEnd	1023097614
8	Feed	1023097695
5	BlinkStart	1023097925
5	BlinkEnd	1023105630
5	NoFeedLowProb	1023105710
1	BlinkStart	1023105940
1	BlinkEnd	1023127027
1	NoFeedLowProb	1023127108
4	BlinkStart	1023127339
4	BlinkEnd	1023130897
4	Feed	1023130977
1	BlinkStart	1023131207
