Saturday, June 6, 2020	6:55:12 PM	Game1.txt	365240601
Cued	Now	365248338
9	BlinkStart	365248371
9	BlinkEnd	365411198
24,5	BlinkStart	365411299
24,5	BlinkEnd	365471646
5	0DropFeed	365471726
24	NoFeedAbort	365471806
22,1	BlinkStart	365481820
22,1	BlinkEnd	365483408
1	0DropFeed	365483488
22	Feed	365483568
6,4	BlinkStart	365483658
6,4	BlinkEnd	365494705
4	Feed	365494785
21,1	BlinkStart	365494888
21,1	BlinkEnd	365509676
1	0DropFeed	365509756
21	Feed	365509836
6,4	BlinkStart	365509936
6,4	BlinkEnd	365514291
4	Feed	365514371
20,1	BlinkStart	365514470
20,1	BlinkEnd	365523646
1	0DropFeed	365523726
20	Feed	365523806
6,4	BlinkStart	365523907
6,4	BlinkEnd	365528125
6	Feed	365528205
19,1	BlinkStart	365528301
19,1	BlinkEnd	365547242
1	0DropFeed	365547322
19	Feed	365547402
6,4	BlinkStart	365547498
6,4	BlinkEnd	365551252
4	Feed	365551332
18,1	BlinkStart	365551432
18,1	BlinkEnd	365559406
1	0DropFeed	365559486
18	Feed	365559566
6,4	BlinkStart	365559666
6,4	BlinkEnd	365563483
4	Feed	365563563
17,1	BlinkStart	365563663
17,1	BlinkEnd	365577989
1	0DropFeed	365578069
17	Feed	365578149
6,4	BlinkStart	365578249
6,4	BlinkEnd	365581664
6	Feed	365581744
16,1	BlinkStart	365581838
16,1	BlinkEnd	365588949
1	0DropFeed	365589030
16	Feed	365589110
6,4	BlinkStart	365589209
6,4	BlinkEnd	365592500
6	Feed	365592580
14,1	BlinkStart	365592677
14,1	BlinkEnd	365599109
1	0DropFeed	365599189
14	NoFeedAbort	365599270
26,5	BlinkStart	365609285
26,5	BlinkEnd	365618026
5	0DropFeed	365618106
26	Feed	365618187
2,8	BlinkStart	365618276
2,8	BlinkEnd	365623840
8	Feed	365623920
25,5	BlinkStart	365624021
25,5	BlinkEnd	365644295
5	0DropFeed	365644375
25	Feed	365644455
2,8	BlinkStart	365644557
2,8	BlinkEnd	365647970
2	Feed	365648050
24,5	BlinkStart	365648147
24,5	BlinkEnd	365662474
5	0DropFeed	365662554
24	NoFeedAbort	365662634
22,1	BlinkStart	365672648
22,1	BlinkEnd	365674975
1	0DropFeed	365675055
22	Feed	365675135
6,4	BlinkStart	365675227
6,4	BlinkEnd	365678717
6	Feed	365678798
21,1	BlinkStart	365678897
21,1	BlinkEnd	365687072
1	0DropFeed	365687153
21	Feed	365687233
6,4	BlinkStart	365687332
6,4	BlinkEnd	365690486
6	Feed	365690566
20,1	BlinkStart	365690663
20,1	BlinkEnd	365699306
1	0DropFeed	365699386
20	Feed	365699466
6,4	BlinkStart	365699558
6,4	BlinkEnd	365702652
6	Feed	365702732
19,1	BlinkStart	365702831
19,1	BlinkEnd	365711938
1	0DropFeed	365712019
19	Feed	365712099
6,4	BlinkStart	365712246
6,4	BlinkEnd	365715414
6	Feed	365715494
18,1	BlinkStart	365715651
18,1	BlinkEnd	365724570
1	0DropFeed	365724650
18	Feed	365724731
6,4	BlinkStart	365724889
6,4	BlinkEnd	365728112
6	Feed	365728192
17,1	BlinkStart	365728346
17,1	BlinkEnd	365736535
1	0DropFeed	365736615
17	Feed	365736695
6,4	BlinkStart	365736857
6,4	BlinkEnd	365741080
6	Feed	365741160
16,1	BlinkStart	365741331
16,1	BlinkEnd	365750037
1	0DropFeed	365750117
16	Feed	365750198
6,4	BlinkStart	365750351
6,4	BlinkEnd	365753846
6	Feed	365753926
14,1	BlinkStart	365754082
14,1	BlinkEnd	365763404
1	0DropFeed	365763484
14	NoFeedAbort	365763564
26,5	BlinkStart	365773626
26,5	BlinkEnd	365791077
5	0DropFeed	365791157
26	Feed	365791237
2,8	BlinkStart	365791377
2,8	BlinkEnd	365794485
2	Feed	365794566
25,5	BlinkStart	365794716
25,5	BlinkEnd	365803776
5	0DropFeed	365803856
25	Feed	365803936
2,8	BlinkStart	365804088
2,8	BlinkEnd	365807387
2	Feed	365807467
24,5	BlinkStart	365807627
24,5	BlinkEnd	365815674
5	0DropFeed	365815754
24	NoFeedAbort	365815834
22,1	BlinkStart	365825905
22,1	BlinkEnd	365836327
1	0DropFeed	365836407
