Friday, July 10, 2020	12:04:34 PM	Game1.txt	996331092
Cued	Now	996348260
9	BlinkStart	996348288
9	BlinkEnd	996499374
23,5	BlinkStart	996499461
23,5	BlinkEnd	996519323
5	0DropFeed	996519403
23	NoFeedAbort	996519483
1	BlinkStart	996529509
1	BlinkEnd	996538156
1	NoFeedLowProb	996538236
4,44	BlinkStart	996538258
4,44	BlinkEnd	996555063
4	Feed	996555143
44	Feed	996555223
1	BlinkStart	996555311
1	BlinkEnd	996580214
1	NoFeedLowProb	996580294
4,44	BlinkStart	996580325
4,44	BlinkEnd	996583581
4	Feed	996583661
44	Feed	996583741
1	BlinkStart	996583852
1	BlinkEnd	996602235
1	NoFeedLowProb	996602315
4,44	BlinkStart	996602338
4,44	BlinkEnd	996606688
4	Feed	996606768
44	Feed	996606848
16,1	BlinkStart	996606957
16,1	BlinkEnd	996619079
1	0DropFeed	996619159
16	Feed	996619239
4,44,6,47	BlinkStart	996619354
4,44,6,47	BlinkEnd	996621967
4	Feed	996622047
44	Feed	996622127
15,1	BlinkStart	996622214
15,1	BlinkEnd	996635026
1	0DropFeed	996635106
15	NoFeedAbort	996635186
5	BlinkStart	996645201
5	BlinkEnd	996650666
5	NoFeedLowProb	996650746
2,37	BlinkStart	996650776
2,37	BlinkEnd	996654460
2	Feed	996654540
37	Feed	996654620
5	BlinkStart	996654728
5	BlinkEnd	996664564
5	NoFeedLowProb	996664645
2,37	BlinkStart	996664674
2,37	BlinkEnd	996667933
2	Feed	996668013
37	Feed	996668094
5	BlinkStart	996668205
5	BlinkEnd	996678463
5	NoFeedLowProb	996678543
2,37	BlinkStart	996678572
2,37	BlinkEnd	996682134
2	Feed	996682214
37	Feed	996682294
30,5	BlinkStart	996682381
30,5	BlinkEnd	996690255
5	0DropFeed	996690335
30	Feed	996690416
2,37,8,53	BlinkStart	996690530
2,37,8,53	BlinkEnd	996693746
2	Feed	996693826
37	Feed	996693907
29,5	BlinkStart	996694017
29,5	BlinkEnd	996701459
5	0DropFeed	996701540
29	Feed	996701620
2,37,8,53	BlinkStart	996701723
2,37,8,53	BlinkEnd	996704636
2	Feed	996704716
37	Feed	996704796
28,5	BlinkStart	996704908
28,5	BlinkEnd	996711674
5	0DropFeed	996711754
28	Feed	996711834
2,37,8,53	BlinkStart	996711938
2,37,8,53	BlinkEnd	996715825
8	Feed	996715905
53	Feed	996715986
27,5	BlinkStart	996716097
27,5	BlinkEnd	996724188
5	0DropFeed	996724268
27	Feed	996724348
2,37,8,53	BlinkStart	996724460
2,37,8,53	BlinkEnd	996727377
2	Feed	996727457
37	Feed	996727537
26,5	BlinkStart	996727637
26,5	BlinkEnd	996733875
5	0DropFeed	996733955
26	Feed	996734035
2,37,8,53	BlinkStart	996734134
2,37,8,53	BlinkEnd	996737909
2	Feed	996737989
37	Feed	996738069
25,5	BlinkStart	996738169
25,5	BlinkEnd	996743622
5	0DropFeed	996743702
25	Feed	996743782
2,37,8,53	BlinkStart	996743892
2,37,8,53	BlinkEnd	996747292
8	Feed	996747372
53	Feed	996747452
23,5	BlinkStart	996747636
23,5	BlinkEnd	996754874
5	0DropFeed	996754954
23	NoFeedAbort	996755034
1	BlinkStart	996765125
1	BlinkEnd	996767088
1	NoFeedLowProb	996767168
4,43	BlinkStart	996767301
4,43	BlinkEnd	996769915
4	Feed	996769995
43	Feed	996770075
1	BlinkStart	996770212
1	BlinkEnd	996779842
1	NoFeedLowProb	996779922
4,43	BlinkStart	996780016
4,43	BlinkEnd	996782670
4	Feed	996782750
43	Feed	996782830
1	BlinkStart	996782988
1	BlinkEnd	996792356
1	NoFeedLowProb	996792436
4,43	BlinkStart	996792532
4,43	BlinkEnd	996795184
4	Feed	996795264
43	Feed	996795345
16,1	BlinkStart	996795504
16,1	BlinkEnd	996804510
1	0DropFeed	996804590
16	Feed	996804670
4,43,6,50	BlinkStart	996804853
4,43,6,50	BlinkEnd	996807698
4	Feed	996807778
43	Feed	996807858
15,1	BlinkStart	996808012
15,1	BlinkEnd	996817687
1	0DropFeed	996817767
15	NoFeedAbort	996817848
5	BlinkStart	996827909
5	BlinkEnd	996830381
5	NoFeedLowProb	996830461
2,38	BlinkStart	996830564
2,38	BlinkEnd	996833571
2	Feed	996833651
38	Feed	996833732
5	BlinkStart	996833886
5	BlinkEnd	996842475
5	NoFeedLowProb	996842555
2,38	BlinkStart	996842640
2,38	BlinkEnd	996845844
2	Feed	996845924
38	Feed	996846004
5	BlinkStart	996846148
5	BlinkEnd	996852950
5	NoFeedLowProb	996853030
2,38	BlinkStart	996853122
2,38	BlinkEnd	996856553
2	Feed	996856633
38	Feed	996856713
30,5	BlinkStart	996856858
30,5	BlinkEnd	996864315
5	0DropFeed	996864396
30	Feed	996864476
2,38,8,54	BlinkStart	996864641
2,38,8,54	BlinkEnd	996867505
8	Feed	996867585
54	Feed	996867666
29,5	BlinkStart	996867806
29,5	BlinkEnd	996876950
5	0DropFeed	996877030
29	Feed	996877110
2,38,8,54	BlinkStart	996877260
2,38,8,54	BlinkEnd	996880198
2	Feed	996880278
38	Feed	996880358
28,5	BlinkStart	996880511
28,5	BlinkEnd	996886818
5	0DropFeed	996886898
28	Feed	996886978
2,38,8,54	BlinkStart	996887132
2,38,8,54	BlinkEnd	996890007
8	Feed	996890087
54	Feed	996890167
27,5	BlinkStart	996890311
27,5	BlinkEnd	996899031
5	0DropFeed	996899111
27	Feed	996899191
2,38,8,54	BlinkStart	996899372
2,38,8,54	BlinkEnd	996901985
8	Feed	996902065
54	Feed	996902145
26,5	BlinkStart	996902285
26,5	BlinkEnd	996910652
5	0DropFeed	996910733
26	Feed	996910813
2,38,8,54	BlinkStart	996911008
2,38,8,54	BlinkEnd	996913650
8	Feed	996913730
54	Feed	996913810
25,5	BlinkStart	996913969
25,5	BlinkEnd	996922615
