Ver1.3	1606337644	StartFile	7/17/2020	1:31:21 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\071720\SoundData.txt	1606337644
1606632097	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1606632097
1606632298	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1606632298
1606664111	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1606664111
1606670729	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1606670729
1606670931	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1606670931
1606688842	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1606688842
1606692853	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1606692853
1606693054	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1606693054
1606706903	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1606706903
1606709898	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1606709898
1606710099	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1606710099
1606720191	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1606720191
1606720404	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1606720404
1606723667	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1606723667
1606723868	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1606723868
1606733759	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1606733759
1606733974	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1606733974
1606748932	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1606748932
1606752218	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1606752218
1606752420	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1606752420
1606762702	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1606762702
