Friday, July 24, 2020	9:32:54 AM	Game1.txt	174993117
Cued	Now	175006672
9	BlinkStart	175006712
9	BlinkEnd	175190299
24,5	BlinkStart	175190408
24,5	BlinkEnd	175198912
5	0DropFeed	175198992
24	NoFeedAbort	175199072
1	BlinkStart	175209088
1	BlinkEnd	175218765
1	NoFeedLowProb	175218845
4,43	BlinkStart	175218874
4,43	BlinkEnd	175227910
4	Feed	175227990
43	Feed	175228071
21,1	BlinkStart	175228173
21,1	BlinkEnd	175240007
1	0DropFeed	175240088
21	Feed	175240168
4,43,6,49	BlinkStart	175240284
4,43,6,49	BlinkEnd	175244036
4	Feed	175244116
43	Feed	175244196
20,1	BlinkStart	175244310
20,1	BlinkEnd	175253721
1	0DropFeed	175253801
20	Feed	175253881
4,43,6,49	BlinkStart	175254005
4,43,6,49	BlinkEnd	175257754
4	Feed	175257834
43	Feed	175257914
19,1	BlinkStart	175258026
19,1	BlinkEnd	175268583
1	0DropFeed	175268663
19	Feed	175268743
4,43,6,49	BlinkStart	175268853
4,43,6,49	BlinkEnd	175272433
4	Feed	175272513
43	Feed	175272593
18,1	BlinkStart	175272706
18,1	BlinkEnd	175283205
1	0DropFeed	175283285
18	Feed	175283365
4,43,6,49	BlinkStart	175283474
4,43,6,49	BlinkEnd	175287234
4	Feed	175287314
43	Feed	175287395
17,1	BlinkStart	175287511
17,1	BlinkEnd	175297823
1	0DropFeed	175297903
17	Feed	175297983
4,43,6,49	BlinkStart	175298069
4,43,6,49	BlinkEnd	175301674
4	Feed	175301754
43	Feed	175301834
16,1	BlinkStart	175301932
16,1	BlinkEnd	175311902
1	0DropFeed	175311982
16	Feed	175312062
4,43,6,49	BlinkStart	175312178
4,43,6,49	BlinkEnd	175315633
4	Feed	175315713
43	Feed	175315794
14,1	BlinkStart	175315890
14,1	BlinkEnd	175325319
1	0DropFeed	175325400
14	NoFeedAbort	175325480
5	BlinkStart	175335516
5	BlinkEnd	175337354
5	NoFeedLowProb	175337434
8,56	BlinkStart	175337442
8,56	BlinkEnd	175340901
8	Feed	175340981
56	Feed	175341061
25,5	BlinkStart	175341168
25,5	BlinkEnd	175354499
5	0DropFeed	175354579
25	Feed	175354659
8,56,2,37	BlinkStart	175354763
8,56,2,37	BlinkEnd	175358169
8	Feed	175358249
56	Feed	175358329
24,5	BlinkStart	175358428
24,5	BlinkEnd	175369962
5	0DropFeed	175370042
24	NoFeedAbort	175370122
1	BlinkStart	175380130
1	BlinkEnd	175381637
1	NoFeedLowProb	175381717
4,45	BlinkStart	175381739
4,45	BlinkEnd	175384886
4	Feed	175384966
45	Feed	175385046
21,1	BlinkStart	175385132
21,1	BlinkEnd	175397638
1	0DropFeed	175397718
21	Feed	175397798
4,45,6,49	BlinkStart	175397913
4,45,6,49	BlinkEnd	175400706
4	Feed	175400786
45	Feed	175400866
20,1	BlinkStart	175400975
20,1	BlinkEnd	175413461
1	0DropFeed	175413541
20	Feed	175413622
4,45,6,49	BlinkStart	175413708
4,45,6,49	BlinkEnd	175416531
4	Feed	175416611
45	Feed	175416691
19,1	BlinkStart	175416792
19,1	BlinkEnd	175428324
1	0DropFeed	175428404
19	Feed	175428484
4,45,6,49	BlinkStart	175428649
4,45,6,49	BlinkEnd	175431932
4	Feed	175432012
45	Feed	175432092
18,1	BlinkStart	175432265
18,1	BlinkEnd	175442703
1	0DropFeed	175442783
18	Feed	175442863
4,45,6,49	BlinkStart	175443045
4,45,6,49	BlinkEnd	175446141
4	Feed	175446221
45	Feed	175446301
17,1	BlinkStart	175446476
17,1	BlinkEnd	175458767
1	0DropFeed	175458847
17	Feed	175458927
4,45,6,49	BlinkStart	175459082
4,45,6,49	BlinkEnd	175461956
4	Feed	175462036
45	Feed	175462116
16,1	BlinkStart	175462269
16,1	BlinkEnd	175475192
1	0DropFeed	175475272
16	Feed	175475352
4,45,6,49	BlinkStart	175475511
4,45,6,49	BlinkEnd	175478622
4	Feed	175478702
45	Feed	175478782
14,1	BlinkStart	175478972
14,1	BlinkEnd	175489452
1	0DropFeed	175489532
14	NoFeedAbort	175489612
5	BlinkStart	175499676
5	BlinkEnd	175501004
5	NoFeedLowProb	175501084
8,54	BlinkStart	175501219
8,54	BlinkEnd	175504432
8	Feed	175504512
54	Feed	175504593
25,5	BlinkStart	175504752
25,5	BlinkEnd	175513457
5	0DropFeed	175513538
25	Feed	175513618
8,54,2	BlinkStart	175513792
8,54,2	BlinkEnd	175517728
2	0DropFeed	175517808
24,5	BlinkStart	175517997
24,5	BlinkEnd	175526394
5	0DropFeed	175526474
24	NoFeedAbort	175526554
1	BlinkStart	175536636
1	BlinkEnd	175536899
1	NoFeedLowProb	175536979
4	BlinkStart	175537071
