Wednesday, July 29, 2020	4:56:01 PM	Game1.txt	363102666
Cued	Now	363118863
9	BlinkStart	363118887
9	BlinkEnd	363692786
23,5	BlinkStart	363692878
23,5	BlinkEnd	363696085
5	0DropFeed	363696165
23	NoFeedAbort	363696245
1	BlinkStart	363706265
1	BlinkEnd	363706983
1	NoFeedLowProb	363707063
4,45	BlinkStart	363707077
4,45	BlinkEnd	363711059
4	Feed	363711139
45	Feed	363711219
22,1	BlinkStart	363711307
22,1	BlinkEnd	363722823
1	0DropFeed	363722903
22	Feed	363722983
4,45,6	BlinkStart	363723070
4,45,6	BlinkEnd	363726967
6	0DropFeed	363727047
22,1	BlinkStart	363727133
22,1	BlinkEnd	363731923
1	0DropFeed	363732003
22	Feed	363732083
4,45,6	BlinkStart	363732170
4,45,6	BlinkEnd	363736725
4	Feed	363736805
45	Feed	363736885
22,1	BlinkStart	363736973
22,1	BlinkEnd	363749024
1	0DropFeed	363749104
22	Feed	363749184
4,45,6	BlinkStart	363749277
4,45,6	BlinkEnd	363752166
4	Feed	363752246
45	Feed	363752327
22,1	BlinkStart	363752415
22,1	BlinkEnd	363762726
1	0DropFeed	363762806
22	Feed	363762886
4,45,6	BlinkStart	363762979
4,45,6	BlinkEnd	363765607
4	Feed	363765687
45	Feed	363765768
22,1	BlinkStart	363765856
22,1	BlinkEnd	363775291
1	0DropFeed	363775371
22	Feed	363775451
4,45,6	BlinkStart	363775538
4,45,6	BlinkEnd	363778032
4	Feed	363778112
45	Feed	363778192
22,1	BlinkStart	363778280
22,1	BlinkEnd	363786990
1	0DropFeed	363787070
22	Feed	363787150
4,45,6	BlinkStart	363787242
4,45,6	BlinkEnd	363789796
4	Feed	363789876
45	Feed	363789956
22,1	BlinkStart	363790045
22,1	BlinkEnd	363799288
1	0DropFeed	363799368
22	Feed	363799448
4,45,6	BlinkStart	363799536
4,45,6	BlinkEnd	363802029
4	Feed	363802109
45	Feed	363802189
22,1	BlinkStart	363802274
22,1	BlinkEnd	363811655
1	0DropFeed	363811735
22	Feed	363811815
4,45,6	BlinkStart	363811908
4,45,6	BlinkEnd	363814327
4	Feed	363814409
45	Feed	363814489
22,1	BlinkStart	363814577
22,1	BlinkEnd	363824555
1	0DropFeed	363824635
22	Feed	363824715
4,45,6	BlinkStart	363824803
4,45,6	BlinkEnd	363827295
4	Feed	363827375
45	Feed	363827455
22,1	BlinkStart	363827542
22,1	BlinkEnd	363836383
1	0DropFeed	363836463
22	Feed	363836543
4,45,6	BlinkStart	363836635
4,45,6	BlinkEnd	363839192
4	Feed	363839272
45	Feed	363839352
22,1	BlinkStart	363839443
22,1	BlinkEnd	363850354
1	0DropFeed	363850434
22	Feed	363850514
4,45,6	BlinkStart	363850616
4,45,6	BlinkEnd	363853228
4	Feed	363853308
45	Feed	363853388
22,1	BlinkStart	363853487
22,1	BlinkEnd	363862786
1	0DropFeed	363862866
22	Feed	363862946
4,45,6	BlinkStart	363863052
4,45,6	BlinkEnd	363865728
4	Feed	363865808
45	Feed	363865888
22,1	BlinkStart	363865975
22,1	BlinkEnd	363875151
1	0DropFeed	363875231
22	Feed	363875311
4,45,6	BlinkStart	363875464
4,45,6	BlinkEnd	363877892
4	Feed	363877972
45	Feed	363878052
22,1	BlinkStart	363878232
22,1	BlinkEnd	363887584
1	0DropFeed	363887664
22	Feed	363887744
4,45,6	BlinkStart	363887907
4,45,6	BlinkEnd	363890191
4	Feed	363890272
45	Feed	363890353
21,1	BlinkStart	363890523
21,1	BlinkEnd	363899749
1	0DropFeed	363899829
21	Feed	363899909
4,45,6	BlinkStart	363900068
4,45,6	BlinkEnd	363902489
4	Feed	363902569
45	Feed	363902649
20,1	BlinkStart	363902809
20,1	BlinkEnd	363911713
1	0DropFeed	363911793
20	Feed	363911873
4,45,6	BlinkStart	363912027
4,45,6	BlinkEnd	363914320
4	Feed	363914400
45	Feed	363914480
19,1	BlinkStart	363914629
19,1	BlinkEnd	363925349
1	0DropFeed	363925429
19	Feed	363925509
4,45,6	BlinkStart	363925654
4,45,6	BlinkEnd	363928024
4	Feed	363928104
45	Feed	363928184
18,1	BlinkStart	363928332
18,1	BlinkEnd	363937180
1	0DropFeed	363937260
18	Feed	363937340
4,45,6	BlinkStart	363937502
4,45,6	BlinkEnd	363939987
4	Feed	363940067
45	Feed	363940147
17,1	BlinkStart	363940335
17,1	BlinkEnd	363949351
1	0DropFeed	363949431
17	Feed	363949511
4,45,6	BlinkStart	363949663
4,45,6	BlinkEnd	363952085
4	Feed	363952165
45	Feed	363952245
16,1	BlinkStart	363952396
16,1	BlinkEnd	363961043
1	0DropFeed	363961124
16	Feed	363961204
4,45,6	BlinkStart	363961353
4,45,6	BlinkEnd	363964051
4	Feed	363964132
45	Feed	363964212
14,1	BlinkStart	363964368
14,1	BlinkEnd	363974411
1	0DropFeed	363974491
14	NoFeedAbort	363974571
5	BlinkStart	363984646
5	BlinkEnd	364003820
5	NoFeedLowProb	364003900
8,56	BlinkStart	364003992
8,56	BlinkEnd	364006962
8	Feed	364007042
56	Feed	364007122
31,5	BlinkStart	364007274
31,5	BlinkEnd	364018324
5	0DropFeed	364018404
31	Feed	364018484
8,56,2,38	BlinkStart	364018642
8,56,2,38	BlinkEnd	364021334
8	Feed	364021414
