Thursday, July 30, 2020	10:17:00 AM	Game1.txt	425562044
Cued	Now	425574986
9	BlinkStart	425575014
9	BlinkEnd	425845618
23,5	BlinkStart	425845704
23,5	BlinkEnd	425845969
5	0DropFeed	425846049
23	NoFeedAbort	425846129
1	BlinkStart	425856140
1	BlinkEnd	425874200
1	NoFeedLowProb	425874280
4,44	BlinkStart	425874288
4,44	BlinkEnd	425896124
4	Feed	425896204
44	Feed	425896284
22,1	BlinkStart	425896384
22,1	BlinkEnd	425911570
1	0DropFeed	425911651
22	Feed	425911731
4,44,6,49	BlinkStart	425911834
4,44,6,49	BlinkEnd	425915507
6	Feed	425915588
49	Feed	425915668
22,1	BlinkStart	425915756
22,1	BlinkEnd	425925132
1	0DropFeed	425925212
22	Feed	425925292
4,44,6,49	BlinkStart	425925391
4,44,6,49	BlinkEnd	425928340
4	Feed	425928421
44	Feed	425928501
22,1	BlinkStart	425928590
22,1	BlinkEnd	425941441
1	0DropFeed	425941521
22	Feed	425941601
4,44,6,49	BlinkStart	425941697
4,44,6,49	BlinkEnd	425944582
4	Feed	425944662
44	Feed	425944742
22,1	BlinkStart	425944832
22,1	BlinkEnd	425954943
1	0DropFeed	425955023
22	Feed	425955103
4,44,6,49	BlinkStart	425955199
4,44,6,49	BlinkEnd	425958352
4	Feed	425958433
44	Feed	425958513
22,1	BlinkStart	425958599
22,1	BlinkEnd	425972323
1	0DropFeed	425972403
22	Feed	425972483
4,44,6,49	BlinkStart	425972579
4,44,6,49	BlinkEnd	425975730
4	Feed	425975810
44	Feed	425975890
22,1	BlinkStart	425975979
22,1	BlinkEnd	425987829
1	0DropFeed	425987909
22	Feed	425987989
4,44,6,49	BlinkStart	425988092
4,44,6,49	BlinkEnd	425991037
4	Feed	425991117
44	Feed	425991197
22,1	BlinkStart	425991286
22,1	BlinkEnd	426003000
1	0DropFeed	426003080
22	Feed	426003160
4,44,6,49	BlinkStart	426003248
4,44,6,49	BlinkEnd	426005876
4	Feed	426005956
44	Feed	426006037
22,1	BlinkStart	426006126
22,1	BlinkEnd	426016303
1	0DropFeed	426016384
22	Feed	426016465
4,44,6,49	BlinkStart	426016560
4,44,6,49	BlinkEnd	426019377
4	Feed	426019457
44	Feed	426019537
22,1	BlinkStart	426019626
22,1	BlinkEnd	426031413
1	0DropFeed	426031494
22	Feed	426031574
4,44,6,49	BlinkStart	426031660
4,44,6,49	BlinkEnd	426034216
4	Feed	426034296
44	Feed	426034376
22,1	BlinkStart	426034474
22,1	BlinkEnd	426046447
1	0DropFeed	426046527
22	Feed	426046607
4,44,6,49	BlinkStart	426046713
4,44,6,49	BlinkEnd	426049188
4	Feed	426049268
44	Feed	426049348
22,1	BlinkStart	426049455
22,1	BlinkEnd	426059147
1	0DropFeed	426059227
22	Feed	426059307
4,44,6,49	BlinkStart	426059393
4,44,6,49	BlinkEnd	426063090
4	Feed	426063170
44	Feed	426063251
22,1	BlinkStart	426063337
22,1	BlinkEnd	426072115
1	0DropFeed	426072195
22	Feed	426072276
4,44,6,49	BlinkStart	426072400
4,44,6,49	BlinkEnd	426075188
4	Feed	426075268
44	Feed	426075349
22,1	BlinkStart	426075453
22,1	BlinkEnd	426085749
1	0DropFeed	426085829
22	Feed	426085909
4,44,6,49	BlinkStart	426086081
4,44,6,49	BlinkEnd	426088891
4	Feed	426088971
44	Feed	426089051
22,1	BlinkStart	426089251
22,1	BlinkEnd	426098654
1	0DropFeed	426098734
22	Feed	426098814
4,44,6,49	BlinkStart	426098974
4,44,6,49	BlinkEnd	426101725
4	Feed	426101805
44	Feed	426101885
21,1	BlinkStart	426102046
21,1	BlinkEnd	426112353
1	0DropFeed	426112433
21	Feed	426112513
4,44,6,49	BlinkStart	426112666
4,44,6,49	BlinkEnd	426115495
4	Feed	426115575
44	Feed	426115655
20,1	BlinkStart	426115821
20,1	BlinkEnd	426125454
1	0DropFeed	426125534
20	Feed	426125614
4,44,6,49	BlinkStart	426125776
4,44,6,49	BlinkEnd	426128394
4	Feed	426128474
44	Feed	426128554
19,1	BlinkStart	426128702
19,1	BlinkEnd	426138489
1	0DropFeed	426138569
19	Feed	426138649
4,44,6,49	BlinkStart	426138831
4,44,6,49	BlinkEnd	426141628
4	Feed	426141708
44	Feed	426141788
18,1	BlinkStart	426141962
18,1	BlinkEnd	426154328
1	0DropFeed	426154408
18	Feed	426154488
4,44,6,49	BlinkStart	426154673
4,44,6,49	BlinkEnd	426157269
4	Feed	426157349
44	Feed	426157429
17,1	BlinkStart	426157572
17,1	BlinkEnd	426169101
1	0DropFeed	426169181
17	Feed	426169261
4,44,6,49	BlinkStart	426169426
4,44,6,49	BlinkEnd	426171975
4	Feed	426172055
44	Feed	426172135
16,1	BlinkStart	426172294
16,1	BlinkEnd	426182467
1	0DropFeed	426182548
16	Feed	426182628
4,44,6,49	BlinkStart	426182777
4,44,6,49	BlinkEnd	426185677
4	Feed	426185757
44	Feed	426185837
14,1	BlinkStart	426185978
14,1	BlinkEnd	426196972
1	0DropFeed	426197052
14	NoFeedAbort	426197132
5	BlinkStart	426207209
5	BlinkEnd	426216628
5	NoFeedLowProb	426216708
2,41	BlinkStart	426216799
2,41	BlinkEnd	426220166
2	Feed	426220246
41	Feed	426220327
31,5	BlinkStart	426220494
31,5	BlinkEnd	426232197
5	0DropFeed	426232277
31	Feed	426232357
2,41,8,54	BlinkStart	426232512
2,41,8,54	BlinkEnd	426235607
8	Feed	426235687
54	Feed	426235768
31,5	BlinkStart	426235936
31,5	BlinkEnd	426246168
5	0DropFeed	426246248
31	Feed	426246328
2,41,8,54	BlinkStart	426246480
2,41,8,54	BlinkEnd	426249576
8	Feed	426249656
54	Feed	426249736
31,5	BlinkStart	426249887
31,5	BlinkEnd	426258874
5	0DropFeed	426258954
31	Feed	426259034
2,41,8,54	BlinkStart	426259196
2,41,8,54	BlinkEnd	426262211
2	Feed	426262291
41	Feed	426262372
31,5	BlinkStart	426262574
31,5	BlinkEnd	426273906
5	0DropFeed	426273986
31	Feed	426274066
2,41,8,54	BlinkStart	426274223
2,41,8,54	BlinkEnd	426276780
8	Feed	426276860
54	Feed	426276941
31,5	BlinkStart	426277084
31,5	BlinkEnd	426285472
5	0DropFeed	426285552
31	Feed	426285632
2,41,8,54	BlinkStart	426285791
2,41,8,54	BlinkEnd	426288411
8	Feed	426288491
54	Feed	426288571
31,5	BlinkStart	426288726
31,5	BlinkEnd	426297768
5	0DropFeed	426297848
31	Feed	426297928
2,41,8,54	BlinkStart	426298078
2,41,8,54	BlinkEnd	426301110
8	Feed	426301190
54	Feed	426301271
31,5	BlinkStart	426301431
31,5	BlinkEnd	426320701
5	0DropFeed	426320781
31	Feed	426320861
2,41,8,54	BlinkStart	426321014
2,41,8,54	BlinkEnd	426324104
8	Feed	426324184
54	Feed	426324264
31,5	BlinkStart	426324416
31,5	BlinkEnd	426333862
5	0DropFeed	426333942
31	Feed	426334022
2,41,8,54	BlinkStart	426334173
2,41,8,54	BlinkEnd	426337078
8	Feed	426337158
54	Feed	426337238
31,5	BlinkStart	426337386
31,5	BlinkEnd	426349704
5	0DropFeed	426349784
31	Feed	426349864
2,41,8,54	BlinkStart	426350029
2,41,8,54	BlinkEnd	426353047
8	Feed	426353127
54	Feed	426353207
31,5	BlinkStart	426353356
31,5	BlinkEnd	426364743
5	0DropFeed	426364823
31	Feed	426364903
2,41,8,54	BlinkStart	426365057
2,41,8,54	BlinkEnd	426367951
8	Feed	426368031
54	Feed	426368111
31,5	BlinkStart	426368306
31,5	BlinkEnd	426377977
5	0DropFeed	426378057
31	Feed	426378137
2,41,8,54	BlinkStart	426378297
2,41,8,54	BlinkEnd	426380918
8	Feed	426380998
54	Feed	426381078
31,5	BlinkStart	426381264
31,5	BlinkEnd	426406999
5	0DropFeed	426407080
31	Feed	426407160
2,41,8,54	BlinkStart	426407326
2,41,8,54	BlinkEnd	426410128
8	Feed	426410208
54	Feed	426410288
31,5	BlinkStart	426410437
31,5	BlinkEnd	426420957
5	0DropFeed	426421037
31	Feed	426421117
2,41,8,54	BlinkStart	426421275
2,41,8,54	BlinkEnd	426423765
8	Feed	426423845
54	Feed	426423925
31,5	BlinkStart	426424073
31,5	BlinkEnd	426433523
5	0DropFeed	426433603
31	Feed	426433683
2,41,8,54	BlinkStart	426433846
2,41,8,54	BlinkEnd	426436330
8	Feed	426436410
54	Feed	426436490
30,5	BlinkStart	426436639
30,5	BlinkEnd	426446958
5	0DropFeed	426447038
30	Feed	426447118
2,41,8,54	BlinkStart	426447282
2,41,8,54	BlinkEnd	426449764
8	Feed	426449844
54	Feed	426449924
29,5	BlinkStart	426450083
29,5	BlinkEnd	426457986
5	0DropFeed	426458066
29	Feed	426458146
2,41,8,54	BlinkStart	426458329
2,41,8,54	BlinkEnd	426460927
8	Feed	426461007
54	Feed	426461087
28,5	BlinkStart	426461248
28,5	BlinkEnd	426469148
5	0DropFeed	426469228
28	Feed	426469308
2,41,8,54	BlinkStart	426469476
2,41,8,54	BlinkEnd	426472224
8	Feed	426472304
54	Feed	426472384
27,5	BlinkStart	426472547
