Ver1.3	945312147	StartFile	8/5/2020	10:39:30 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\080520A\SoundData.txt	945312147
945771732	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	945771732
945771933	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	945771933
945787076	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945787076
945791709	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945791709
945791923	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	945791923
945802900	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945802900
945806811	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945806811
945807013	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	945807013
945815655	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945815655
945819265	Triggered	6,47,48,49,50,51,	 NoSound	40	2	945819265
945819466	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	945819466
945829493	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945829493
945829695	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945829695
945832923	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945832923
945833124	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945833124
945845818	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945845818
945846021	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945846021
945848866	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945848866
945849069	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945849069
945862043	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945862043
945862245	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945862245
945865230	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945865230
945865432	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945865432
945878407	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945878407
945878610	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945878610
945881477	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945881477
945881679	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945881679
945893930	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945893930
945894133	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945894133
945896758	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945896758
945896960	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945896960
945909281	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945909281
945909484	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945909484
945912341	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945912341
945912544	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945912544
945924735	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945924735
945924938	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945924938
945927683	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945927683
945927899	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945927899
945939416	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945939416
945939619	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945939619
945942303	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945942303
945942505	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945942505
945954037	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945954037
945954239	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945954239
945957046	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945957046
945957247	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945957247
945968957	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945968957
945969172	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945969172
945971920	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945971920
945972121	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945972121
945983772	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945983772
945983974	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945983974
945986826	Triggered	4,42,43,44,45,46,	 NoSound	40	2	945986826
945987027	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	945987027
945998860	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	945998860
945999063	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	945999063
946001929	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946001929
946002130	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946002130
946013178	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946013178
946013381	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946013381
946016187	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946016187
946016390	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946016390
946027686	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946027686
946027889	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946027889
946030987	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946030987
946031189	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946031189
946043321	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946043321
946043525	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	946043525
946047293	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946047293
946047495	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946047495
946058604	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946058604
946058806	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	946058806
946061920	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946061920
946062122	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946062122
946073586	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946073586
946073788	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	946073788
946076653	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946076653
946076855	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946076855
946088215	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946088215
946088417	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	946088417
946091335	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946091335
946091537	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946091537
946103009	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946103009
946103227	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	946103227
946106075	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946106075
946106278	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946106278
946118951	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946118951
946119152	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	946119152
946122320	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946122320
946122522	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	946122522
946135196	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946135196
946135397	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	946135397
946153366	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946153366
946156734	Triggered	2,37,38,39,40,41,	 NoSound	40	2	946156734
946156935	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	946156935
946169135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946169135
946172677	Triggered	2,37,38,39,40,41,	 NoSound	40	2	946172677
946172877	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	946172877
946180620	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946180620
946184892	Triggered	2,37,38,39,40,41,	 NoSound	40	2	946184892
946185094	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	946185094
946193014	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946193014
946193217	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946193217
946196503	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946196503
946196704	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946196704
946207875	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946207875
946208079	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946208079
946211303	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946211303
946211505	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946211505
946220390	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946220390
946220593	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946220593
946223472	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946223472
946223673	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946223673
946232066	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946232066
946232271	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946232271
946235311	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946235311
946235513	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946235513
946245479	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946245479
946245683	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946245683
946248667	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946248667
946248869	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946248869
946259255	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946259255
946259459	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946259459
946262264	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946262264
946262467	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946262467
946270807	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946270807
946271012	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946271012
946273876	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946273876
