Friday, August 7, 2020	3:57:07 PM	Game1.txt	1137168357
Cued	Now	1137180781
9	BlinkStart	1137180800
9	BlinkEnd	1137445438
23,5	BlinkStart	1137445535
23,5	BlinkEnd	1137477282
5	0DropFeed	1137477362
23	NoFeedAbort	1137477442
1	BlinkStart	1137487454
1	BlinkEnd	1137487717
1	NoFeedLowProb	1137487797
6,48	BlinkStart	1137487810
6,48	BlinkEnd	1137493246
6	Feed	1137493326
48	Feed	1137493407
1	BlinkStart	1137493495
1	BlinkEnd	1137501535
1	NoFeedLowProb	1137501615
6,48	BlinkStart	1137501626
6,48	BlinkEnd	1137505947
6	Feed	1137506027
48	Feed	1137506107
1	BlinkStart	1137506193
1	BlinkEnd	1137513766
1	NoFeedLowProb	1137513846
6,48	BlinkStart	1137513860
6,48	BlinkEnd	1137517242
6	Feed	1137517322
48	Feed	1137517402
22,1	BlinkStart	1137517490
22,1	BlinkEnd	1137524194
1	0DropFeed	1137524274
22	Feed	1137524354
6,48,4,42	BlinkStart	1137524451
6,48,4,42	BlinkEnd	1137527135
4	Feed	1137527215
42	Feed	1137527295
22,1	BlinkStart	1137527384
22,1	BlinkEnd	1137535957
1	0DropFeed	1137536037
22	Feed	1137536118
6,48,4,42	BlinkStart	1137536214
6,48,4,42	BlinkEnd	1137539383
4	Feed	1137539463
42	Feed	1137539543
22,1	BlinkStart	1137539633
22,1	BlinkEnd	1137545783
1	0DropFeed	1137545863
22	Feed	1137545944
6,48,4,42	BlinkStart	1137546040
6,48,4,42	BlinkEnd	1137549059
6	Feed	1137549139
48	Feed	1137549219
22,1	BlinkStart	1137549308
22,1	BlinkEnd	1137556545
1	0DropFeed	1137556625
22	Feed	1137556705
6,48,4,42	BlinkStart	1137556792
6,48,4,42	BlinkEnd	1137559953
4	Feed	1137560033
42	Feed	1137560113
22,1	BlinkStart	1137560203
22,1	BlinkEnd	1137567306
1	0DropFeed	1137567386
22	Feed	1137567466
6,48,4,42	BlinkStart	1137567562
6,48,4,42	BlinkEnd	1137570916
4	Feed	1137570996
42	Feed	1137571076
22,1	BlinkStart	1137571164
22,1	BlinkEnd	1137578000
1	0DropFeed	1137578080
22	Feed	1137578160
6,48,4,42	BlinkStart	1137578248
6,48,4,42	BlinkEnd	1137581151
6	Feed	1137581231
48	Feed	1137581311
22,1	BlinkStart	1137581397
22,1	BlinkEnd	1137588768
1	0DropFeed	1137588848
22	Feed	1137588928
6,48,4,42	BlinkStart	1137589014
6,48,4,42	BlinkEnd	1137591703
4	Feed	1137591784
42	Feed	1137591864
22,1	BlinkStart	1137591953
22,1	BlinkEnd	1137597592
1	0DropFeed	1137597672
22	Feed	1137597752
6,48,4,42	BlinkStart	1137597838
6,48,4,42	BlinkEnd	1137600660
4	Feed	1137600740
42	Feed	1137600821
22,1	BlinkStart	1137600913
22,1	BlinkEnd	1137606074
1	0DropFeed	1137606154
22	Feed	1137606234
6,48,4,42	BlinkStart	1137606320
6,48,4,42	BlinkEnd	1137609683
4	Feed	1137609763
42	Feed	1137609843
22,1	BlinkStart	1137609931
22,1	BlinkEnd	1137616501
1	0DropFeed	1137616581
22	Feed	1137616661
6,48,4,42	BlinkStart	1137616747
6,48,4,42	BlinkEnd	1137619776
6	Feed	1137619856
48	Feed	1137619936
22,1	BlinkStart	1137620024
22,1	BlinkEnd	1137626593
1	0DropFeed	1137626673
22	Feed	1137626753
6,48,4,42	BlinkStart	1137626915
6,48,4,42	BlinkEnd	1137629868
6	Feed	1137629948
48	Feed	1137630028
22,1	BlinkStart	1137630176
22,1	BlinkEnd	1137636955
1	0DropFeed	1137637035
22	Feed	1137637115
6,48,4,42	BlinkStart	1137637275
6,48,4,42	BlinkEnd	1137640363
4	Feed	1137640443
42	Feed	1137640523
22,1	BlinkStart	1137640671
22,1	BlinkEnd	1137646111
1	0DropFeed	1137646191
22	Feed	1137646271
6,48,4,42	BlinkStart	1137646432
6,48,4,42	BlinkEnd	1137649187
4	Feed	1137649267
42	Feed	1137649347
22,1	BlinkStart	1137649491
22,1	BlinkEnd	1137654800
1	0DropFeed	1137654880
22	Feed	1137654961
6,48,4,42	BlinkStart	1137655131
6,48,4,42	BlinkEnd	1137658076
4	Feed	1137658156
42	Feed	1137658236
21,1	BlinkStart	1137658382
21,1	BlinkEnd	1137663557
1	0DropFeed	1137663637
21	Feed	1137663717
6,48,4,42	BlinkStart	1137663874
6,48,4,42	BlinkEnd	1137666631
6	Feed	1137666711
48	Feed	1137666791
20,1	BlinkStart	1137666934
20,1	BlinkEnd	1137674252
1	0DropFeed	1137674332
20	Feed	1137674412
6,48,4,42	BlinkStart	1137674569
6,48,4,42	BlinkEnd	1137677726
4	Feed	1137677806
42	Feed	1137677886
19,1	BlinkStart	1137678036
19,1	BlinkEnd	1137682874
1	0DropFeed	1137682955
19	Feed	1137683035
6,48,4,42	BlinkStart	1137683216
6,48,4,42	BlinkEnd	1137686416
6	Feed	1137686497
48	Feed	1137686577
18,1	BlinkStart	1137686731
18,1	BlinkEnd	1137694705
1	0DropFeed	1137694785
18	Feed	1137694865
6,48,4,42	BlinkStart	1137695035
6,48,4,42	BlinkEnd	1137701188
4	Feed	1137701268
42	Feed	1137701348
17,1	BlinkStart	1137701492
17,1	BlinkEnd	1137711147
1	0DropFeed	1137711227
17	Feed	1137711307
6,48,4,42	BlinkStart	1137711477
6,48,4,42	BlinkEnd	1137714356
6	Feed	1137714436
48	Feed	1137714516
16,1	BlinkStart	1137714660
16,1	BlinkEnd	1137721441
1	0DropFeed	1137721521
16	Feed	1137721601
6,48,4,42	BlinkStart	1137721769
6,48,4,42	BlinkEnd	1137724317
4	Feed	1137724397
42	Feed	1137724477
14,1	BlinkStart	1137724625
14,1	BlinkEnd	1137730798
1	0DropFeed	1137730878
14	NoFeedAbort	1137730958
5	BlinkStart	1137741052
5	BlinkEnd	1137741315
5	NoFeedLowProb	1137741395
8,55	BlinkStart	1137741476
8,55	BlinkEnd	1137745171
8	Feed	1137745252
55	Feed	1137745332
5	BlinkStart	1137745498
5	BlinkEnd	1137755731
5	NoFeedLowProb	1137755812
8,55	BlinkStart	1137755896
8,55	BlinkEnd	1137758539
8	Feed	1137758619
55	Feed	1137758699
5	BlinkStart	1137758872
5	BlinkEnd	1137770169
5	NoFeedLowProb	1137770249
8,55	BlinkStart	1137770333
8,55	BlinkEnd	1137772641
8	Feed	1137772721
55	Feed	1137772801
31,5	BlinkStart	1137772958
31,5	BlinkEnd	1137783871
5	0DropFeed	1137783951
31	Feed	1137784031
8,55,2,39	BlinkStart	1137784207
8,55,2,39	BlinkEnd	1137786344
8	Feed	1137786424
55	Feed	1137786504
31,5	BlinkStart	1137786658
31,5	BlinkEnd	1137799254
5	0DropFeed	1137799334
31	Feed	1137799414
8,55,2,39	BlinkStart	1137799590
8,55,2,39	BlinkEnd	1137801719
8	Feed	1137801799
55	Feed	1137801879
31,5	BlinkStart	1137802038
31,5	BlinkEnd	1137810808
5	0DropFeed	1137810888
31	Feed	1137810968
8,55,2,39	BlinkStart	1137811128
8,55,2,39	BlinkEnd	1137813281
8	Feed	1137813361
55	Feed	1137813441
