Monday, August 10, 2020	10:47:55 AM	Game1.txt	1377816876
Cued	Now	1377830341
9	BlinkStart	1377830358
9	BlinkEnd	1378093616
23,5	BlinkStart	1378093708
23,5	BlinkEnd	1378105921
5	0DropFeed	1378106001
23	NoFeedAbort	1378106081
1	BlinkStart	1378116099
1	BlinkEnd	1378116363
1	NoFeedLowProb	1378116443
6,48	BlinkStart	1378116461
6,48	BlinkEnd	1378120481
6	Feed	1378120561
48	Feed	1378120641
16,1	BlinkStart	1378120728
16,1	BlinkEnd	1378135885
1	0DropFeed	1378135965
16	Feed	1378136045
6,48,4,42	BlinkStart	1378136146
6,48,4,42	BlinkEnd	1378139917
4	Feed	1378139997
42	Feed	1378140077
15,1	BlinkStart	1378140174
15,1	BlinkEnd	1378149542
1	0DropFeed	1378149622
15	NoFeedAbort	1378149702
5	BlinkStart	1378159718
5	BlinkEnd	1378164524
5	NoFeedLowProb	1378164604
2,37	BlinkStart	1378164618
2,37	BlinkEnd	1378167953
2	Feed	1378168033
37	Feed	1378168114
30,5	BlinkStart	1378168211
30,5	BlinkEnd	1378178617
5	0DropFeed	1378178697
30	Feed	1378178777
2,37,8	BlinkStart	1378178871
2,37,8	BlinkEnd	1378181971
8	0DropFeed	1378182051
29,5	BlinkStart	1378182141
29,5	BlinkEnd	1378197194
5	0DropFeed	1378197274
29	Feed	1378197354
2,37,8	BlinkStart	1378197452
2,37,8	BlinkEnd	1378200803
2	Feed	1378200883
37	Feed	1378200963
28,5	BlinkStart	1378201055
28,5	BlinkEnd	1378209468
5	0DropFeed	1378209548
28	Feed	1378209628
2,37,8	BlinkStart	1378209724
2,37,8	BlinkEnd	1378213619
8	0DropFeed	1378213699
27,5	BlinkStart	1378213787
27,5	BlinkEnd	1378218373
5	0DropFeed	1378218453
27	Feed	1378218533
2,37,8	BlinkStart	1378218630
2,37,8	BlinkEnd	1378221681
2	Feed	1378221761
37	Feed	1378221841
26,5	BlinkStart	1378221932
26,5	BlinkEnd	1378230466
5	0DropFeed	1378230546
26	Feed	1378230626
2,37,8	BlinkStart	1378230711
2,37,8	BlinkEnd	1378233834
2	Feed	1378233914
37	Feed	1378233994
25,5	BlinkStart	1378234081
25,5	BlinkEnd	1378243521
5	0DropFeed	1378243601
25	Feed	1378243681
2,37,8	BlinkStart	1378243778
2,37,8	BlinkEnd	1378246710
2	Feed	1378246790
37	Feed	1378246870
23,5	BlinkStart	1378246956
23,5	BlinkEnd	1378255675
5	0DropFeed	1378255755
23	NoFeedAbort	1378255835
1	BlinkStart	1378265852
1	BlinkEnd	1378267587
1	NoFeedLowProb	1378267667
4,43	BlinkStart	1378267679
4,43	BlinkEnd	1378270174
4	Feed	1378270254
43	Feed	1378270334
16,1	BlinkStart	1378270426
16,1	BlinkEnd	1378282328
1	0DropFeed	1378282408
16	Feed	1378282488
4,43,6,47	BlinkStart	1378282574
4,43,6,47	BlinkEnd	1378285096
4	Feed	1378285176
43	Feed	1378285256
15,1	BlinkStart	1378285349
15,1	BlinkEnd	1378297670
1	0DropFeed	1378297750
15	NoFeedAbort	1378297830
5	BlinkStart	1378307839
5	BlinkEnd	1378310260
5	NoFeedLowProb	1378310340
8,52	BlinkStart	1378310346
8,52	BlinkEnd	1378313132
8	Feed	1378313212
52	Feed	1378313293
30,5	BlinkStart	1378313435
30,5	BlinkEnd	1378323121
5	0DropFeed	1378323202
30	Feed	1378323282
8,52,2	BlinkStart	1378323448
8,52,2	BlinkEnd	1378326008
8	Feed	1378326088
52	Feed	1378326169
29,5	BlinkStart	1378326323
29,5	BlinkEnd	1378336417
5	0DropFeed	1378336497
29	Feed	1378336577
8,52,2	BlinkStart	1378336737
8,52,2	BlinkEnd	1378339245
8	Feed	1378339325
52	Feed	1378339405
28,5	BlinkStart	1378339552
28,5	BlinkEnd	1378350375
5	0DropFeed	1378350455
28	Feed	1378350535
8,52,2	BlinkStart	1378350699
8,52,2	BlinkEnd	1378353022
8	Feed	1378353102
52	Feed	1378353182
27,5	BlinkStart	1378353329
27,5	BlinkEnd	1378365116
5	0DropFeed	1378365196
27	Feed	1378365276
8,52,2	BlinkStart	1378365443
8,52,2	BlinkEnd	1378367945
8	Feed	1378368025
52	Feed	1378368105
26,5	BlinkStart	1378368256
26,5	BlinkEnd	1378377752
5	0DropFeed	1378377832
26	Feed	1378377912
8,52,2	BlinkStart	1378378073
8,52,2	BlinkEnd	1378380519
8	Feed	1378380599
52	Feed	1378380679
25,5	BlinkStart	1378380823
25,5	BlinkEnd	1378390386
5	0DropFeed	1378390466
25	Feed	1378390546
8,52,2	BlinkStart	1378390709
8,52,2	BlinkEnd	1378393455
8	Feed	1378393536
52	Feed	1378393616
23,5	BlinkStart	1378393765
23,5	BlinkEnd	1378402901
5	0DropFeed	1378402981
23	NoFeedAbort	1378403062
1	BlinkStart	1378413135
1	BlinkEnd	1378414819
1	NoFeedLowProb	1378414899
4,42	BlinkStart	1378414967
4,42	BlinkEnd	1378417281
4	Feed	1378417361
42	Feed	1378417441
