Monday, August 10, 2020	3:47:36 PM	Game1.txt	1395798176
Cued	Now	1395813841
9	BlinkStart	1395813870
9	BlinkEnd	1395991118
23,5	BlinkStart	1395991210
23,5	BlinkEnd	1395998014
5	0DropFeed	1395998094
23	NoFeedAbort	1395998174
1	BlinkStart	1396008184
1	BlinkEnd	1396008447
1	NoFeedLowProb	1396008527
6,48	BlinkStart	1396008535
6,48	BlinkEnd	1396011697
6	Feed	1396011777
48	Feed	1396011857
16,1	BlinkStart	1396011943
16,1	BlinkEnd	1396024338
1	0DropFeed	1396024418
16	Feed	1396024498
6,48,4,42	BlinkStart	1396024585
6,48,4,42	BlinkEnd	1396027882
4	Feed	1396027962
42	Feed	1396028042
15,1	BlinkStart	1396028136
15,1	BlinkEnd	1396036244
1	0DropFeed	1396036325
15	NoFeedAbort	1396036405
5	BlinkStart	1396046423
5	BlinkEnd	1396048097
5	NoFeedLowProb	1396048177
2,37	BlinkStart	1396048185
2,37	BlinkEnd	1396051346
2	Feed	1396051426
37	Feed	1396051506
30,5	BlinkStart	1396051596
30,5	BlinkEnd	1396059769
5	0DropFeed	1396059849
30	Feed	1396059929
2,37,8	BlinkStart	1396060029
2,37,8	BlinkEnd	1396062839
8	0DropFeed	1396062920
29,5	BlinkStart	1396063010
29,5	BlinkEnd	1396067424
5	0DropFeed	1396067504
29	Feed	1396067584
2,37,8	BlinkStart	1396067673
2,37,8	BlinkEnd	1396071743
2	Feed	1396071823
37	Feed	1396071904
28,5	BlinkStart	1396071996
28,5	BlinkEnd	1396079692
5	0DropFeed	1396079772
28	Feed	1396079852
2,37,8	BlinkStart	1396079949
2,37,8	BlinkEnd	1396082880
8	0DropFeed	1396082961
27,5	BlinkStart	1396083047
27,5	BlinkEnd	1396086242
5	0DropFeed	1396086323
27	Feed	1396086403
2,37,8	BlinkStart	1396086499
2,37,8	BlinkEnd	1396089972
2	Feed	1396090053
37	Feed	1396090133
26,5	BlinkStart	1396090224
26,5	BlinkEnd	1396098335
5	0DropFeed	1396098415
26	Feed	1396098495
2,37,8	BlinkStart	1396098590
2,37,8	BlinkEnd	1396102066
2	Feed	1396102146
37	Feed	1396102226
25,5	BlinkStart	1396102319
25,5	BlinkEnd	1396109766
5	0DropFeed	1396109846
25	Feed	1396109926
2,37,8	BlinkStart	1396110013
2,37,8	BlinkEnd	1396113137
2	Feed	1396113217
37	Feed	1396113297
23,5	BlinkStart	1396113388
23,5	BlinkEnd	1396120236
5	0DropFeed	1396120316
23	NoFeedAbort	1396120396
1	BlinkStart	1396130411
1	BlinkEnd	1396135878
1	NoFeedLowProb	1396135958
4,43	BlinkStart	1396135970
4,43	BlinkEnd	1396138948
4	Feed	1396139028
43	Feed	1396139109
16,1	BlinkStart	1396139207
16,1	BlinkEnd	1396151161
1	0DropFeed	1396151242
16	Feed	1396151322
4,43,6,49	BlinkStart	1396151424
4,43,6,49	BlinkEnd	1396153989
4	Feed	1396154069
43	Feed	1396154149
15,1	BlinkStart	1396154246
15,1	BlinkEnd	1396165842
1	0DropFeed	1396165922
15	NoFeedAbort	1396166002
5	BlinkStart	1396176010
5	BlinkEnd	1396177513
5	NoFeedLowProb	1396177593
2,37	BlinkStart	1396177604
2,37	BlinkEnd	1396180281
2	Feed	1396180361
37	Feed	1396180441
30,5	BlinkStart	1396180584
30,5	BlinkEnd	1396187035
5	0DropFeed	1396187115
30	Feed	1396187195
2,37,8,53	BlinkStart	1396187361
2,37,8,53	BlinkEnd	1396189968
8	Feed	1396190048
53	Feed	1396190128
29,5	BlinkStart	1396190280
29,5	BlinkEnd	1396200933
5	0DropFeed	1396201013
29	Feed	1396201093
2,37,8,53	BlinkStart	1396201253
2,37,8,53	BlinkEnd	1396203627
8	Feed	1396203707
53	Feed	1396203788
28,5	BlinkStart	1396203944
28,5	BlinkEnd	1396216391
5	0DropFeed	1396216471
28	Feed	1396216551
2,37,8,53	BlinkStart	1396216705
2,37,8,53	BlinkEnd	1396219389
8	Feed	1396219469
53	Feed	1396219549
