Thursday, August 13, 2020	2:20:38 PM	Game1.txt	1649779401
Cued	Now	1649792081
9	BlinkStart	1649792119
9	BlinkEnd	1650043816
24,5	BlinkStart	1650043902
24,5	BlinkEnd	1650052904
5	0DropFeed	1650052984
24	NoFeedAbort	1650053064
1	BlinkStart	1650063093
1	BlinkEnd	1650063473
1	NoFeedLowProb	1650063553
6,47	BlinkStart	1650063568
6,47	BlinkEnd	1650068008
6	Feed	1650068089
47	Feed	1650068169
21,1	BlinkStart	1650068256
21,1	BlinkEnd	1650076095
1	0DropFeed	1650076175
21	Feed	1650076255
6,47,4,43	BlinkStart	1650076353
6,47,4,43	BlinkEnd	1650079839
4	Feed	1650079919
43	Feed	1650080000
20,1	BlinkStart	1650080086
20,1	BlinkEnd	1650093472
1	0DropFeed	1650093552
20	Feed	1650093632
6,47,4,43	BlinkStart	1650093741
6,47,4,43	BlinkEnd	1650096146
4	Feed	1650096226
43	Feed	1650096307
19,1	BlinkStart	1650096408
19,1	BlinkEnd	1650107911
1	0DropFeed	1650107991
19	Feed	1650108071
6,47,4,43	BlinkStart	1650108168
6,47,4,43	BlinkEnd	1650110385
4	Feed	1650110465
43	Feed	1650110545
18,1	BlinkStart	1650110631
18,1	BlinkEnd	1650125022
1	0DropFeed	1650125102
18	Feed	1650125182
6,47,4,43	BlinkStart	1650125287
6,47,4,43	BlinkEnd	1650127499
4	Feed	1650127579
43	Feed	1650127659
17,1	BlinkStart	1650127763
17,1	BlinkEnd	1650140596
1	0DropFeed	1650140676
17	Feed	1650140756
6,47,4,43	BlinkStart	1650140871
6,47,4,43	BlinkEnd	1650144881
4	Feed	1650144961
43	Feed	1650145041
16,1	BlinkStart	1650145144
16,1	BlinkEnd	1650157307
1	0DropFeed	1650157387
16	Feed	1650157467
6,47,4,43	BlinkStart	1650157566
6,47,4,43	BlinkEnd	1650159981
4	Feed	1650160061
43	Feed	1650160141
14,1	BlinkStart	1650160242
14,1	BlinkEnd	1650174086
1	0DropFeed	1650174166
14	NoFeedAbort	1650174246
5	BlinkStart	1650184253
5	BlinkEnd	1650184845
5	NoFeedLowProb	1650184925
8,52	BlinkStart	1650184951
8,52	BlinkEnd	1650187988
8	Feed	1650188069
52	Feed	1650188149
25,5	BlinkStart	1650188239
25,5	BlinkEnd	1650195673
5	0DropFeed	1650195753
25	Feed	1650195833
8,52,2	BlinkStart	1650195922
8,52,2	BlinkEnd	1650199082
8	Feed	1650199162
52	Feed	1650199242
24,5	BlinkStart	1650199333
24,5	BlinkEnd	1650208372
5	0DropFeed	1650208452
24	NoFeedAbort	1650208533
1	BlinkStart	1650218546
1	BlinkEnd	1650218809
1	NoFeedLowProb	1650218889
6,48	BlinkStart	1650218903
6,48	BlinkEnd	1650222075
6	Feed	1650222155
48	Feed	1650222235
21,1	BlinkStart	1650222335
21,1	BlinkEnd	1650234039
1	0DropFeed	1650234119
21	Feed	1650234200
6,48,4,42	BlinkStart	1650234286
6,48,4,42	BlinkEnd	1650236714
4	Feed	1650236794
42	Feed	1650236874
20,1	BlinkStart	1650236960
