Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
157489338	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157489338
157489540	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	157489540
157506847	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157506847
157507054	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157507054
157510276	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157510276
157510490	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157510490
157521105	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157521105
157521308	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157521308
157524235	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157524235
157524436	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157524436
157533801	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157533801
157534005	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157534005
157537110	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157537110
157537312	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157537312
157547398	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157547398
157547603	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157547603
157550408	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157550408
157550610	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157550610
157560875	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157560875
157561078	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157561078
157563943	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157563943
157564146	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157564146
157574111	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157574111
157574314	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157574314
157577782	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157577782
157577995	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157577995
157586156	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157586156
157586360	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157586360
157590658	Triggered	6,47,48,49,50,51,	 NoSound	40	2	157590658
157590860	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	157590860
157598967	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157598967
157599169	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157599169
157602391	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157602391
157602593	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157602593
157613762	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157613762
157613965	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157613965
157616529	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157616529
157616730	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	157616730
157624651	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157624651
