Tuesday, August 25, 2020	2:53:14 PM	Game1.txt	503226041
Cued	Now	503256349
9	BlinkStart	503256378
9	BlinkEnd	503621839
23,5	BlinkStart	503621925
23,5	BlinkEnd	503641920
5	0DropFeed	503642000
23	NoFeedAbort	503642080
1	BlinkStart	503652089
1	BlinkEnd	503656031
1	NoFeedLowProb	503656111
4,43	BlinkStart	503656140
4,43	BlinkEnd	503660102
4	Feed	503660182
43	Feed	503660263
1	BlinkStart	503660365
1	BlinkEnd	503671340
1	NoFeedLowProb	503671421
4,43	BlinkStart	503671452
4,43	BlinkEnd	503675408
4	Feed	503675488
43	Feed	503675569
1	BlinkStart	503675669
1	BlinkEnd	503685234
1	NoFeedLowProb	503685314
4,43	BlinkStart	503685340
4,43	BlinkEnd	503688977
4	Feed	503689058
43	Feed	503689138
16,1	BlinkStart	503689239
16,1	BlinkEnd	503698268
1	0DropFeed	503698348
16	Feed	503698429
4,43,6,48	BlinkStart	503698534
4,43,6,48	BlinkEnd	503701744
4	Feed	503701824
43	Feed	503701904
14,1	BlinkStart	503701996
14,1	BlinkEnd	503710099
1	0DropFeed	503710179
14	NoFeedAbort	503710259
5	BlinkStart	503720273
5	BlinkEnd	503725204
5	NoFeedLowProb	503725284
2,40	BlinkStart	503725311
2,40	BlinkEnd	503728613
2	Feed	503728693
40	Feed	503728773
5	BlinkStart	503728875
5	BlinkEnd	503738440
5	NoFeedLowProb	503738520
2,40	BlinkStart	503738550
2,40	BlinkEnd	503741783
2	Feed	503741863
40	Feed	503741943
5	BlinkStart	503742037
5	BlinkEnd	503751941
5	NoFeedLowProb	503752021
2,40	BlinkStart	503752042
2,40	BlinkEnd	503755017
2	Feed	503755097
40	Feed	503755177
25,5	BlinkStart	503755269
25,5	BlinkEnd	503764440
5	0DropFeed	503764520
25	Feed	503764600
2,40,8,53	BlinkStart	503764708
2,40,8,53	BlinkEnd	503767582
2	Feed	503767663
40	Feed	503767744
24,5	BlinkStart	503767835
24,5	BlinkEnd	503777741
5	0DropFeed	503777821
24	NoFeedAbort	503777902
1	BlinkStart	503787917
1	BlinkEnd	503796926
1	NoFeedLowProb	503797006
6,50	BlinkStart	503797046
6,50	BlinkEnd	503800474
6	Feed	503800554
50	Feed	503800634
1	BlinkStart	503800737
1	BlinkEnd	503810761
1	NoFeedLowProb	503810841
6,50	BlinkStart	503810871
6,50	BlinkEnd	503814036
6	Feed	503814116
50	Feed	503814196
1	BlinkStart	503814298
1	BlinkEnd	503822805
1	NoFeedLowProb	503822885
6,50	BlinkStart	503822903
6,50	BlinkEnd	503826201
6	Feed	503826282
50	Feed	503826362
21,1	BlinkStart	503826461
21,1	BlinkEnd	503837697
1	0DropFeed	503837777
21	Feed	503837858
6,50,4,45	BlinkStart	503837957
6,50,4,45	BlinkEnd	503840840
6	Feed	503840920
50	Feed	503841000
20,1	BlinkStart	503841101
20,1	BlinkEnd	503853004
1	0DropFeed	503853084
20	Feed	503853165
6,50,4,45	BlinkStart	503853336
6,50,4,45	BlinkEnd	503856085
6	Feed	503856166
50	Feed	503856246
19,1	BlinkStart	503856384
19,1	BlinkEnd	503866907
1	0DropFeed	503866987
19	Feed	503867067
6,50,4,45	BlinkStart	503867222
6,50,4,45	BlinkEnd	503870251
6	Feed	503870331
50	Feed	503870411
18,1	BlinkStart	503870555
18,1	BlinkEnd	503881546
1	0DropFeed	503881626
18	Feed	503881706
6,50,4,45	BlinkStart	503881859
6,50,4,45	BlinkEnd	503884555
6	Feed	503884635
50	Feed	503884715
17,1	BlinkStart	503884862
17,1	BlinkEnd	503895583
1	0DropFeed	503895663
17	Feed	503895743
6,50,4,45	BlinkStart	503895894
6,50,4,45	BlinkEnd	503899727
6	Feed	503899807
50	Feed	503899887
16,1	BlinkStart	503900030
16,1	BlinkEnd	503910287
1	0DropFeed	503910367
16	Feed	503910447
6,50,4,45	BlinkStart	503910614
6,50,4,45	BlinkEnd	503913896
4	Feed	503913976
45	Feed	503914056
14,1	BlinkStart	503914215
14,1	BlinkEnd	503925526
1	0DropFeed	503925607
14	NoFeedAbort	503925688
5	BlinkStart	503935749
5	BlinkEnd	503954471
5	NoFeedLowProb	503954551
2	BlinkStart	503954628
2	BlinkEnd	503957610
2	0DropFeed	503957691
5	BlinkStart	503957855
5	BlinkEnd	503963164
5	NoFeedLowProb	503963245
2	BlinkStart	503963344
2	BlinkEnd	503969307
2	0DropFeed	503969387
5	BlinkStart	503969573
5	BlinkEnd	503987555
5	NoFeedLowProb	503987636
2	BlinkStart	503987734
2	BlinkEnd	503991499
2	0DropFeed	503991580
25,5	BlinkStart	503991782
25,5	BlinkEnd	504016910
5	0DropFeed	504016990
25	Feed	504017070
8,2	BlinkStart	504017231
8,2	BlinkEnd	504024920
8	0DropFeed	504025001
23,5	BlinkStart	504025179
23,5	BlinkEnd	504079795
5	0DropFeed	504079875
23	NoFeedAbort	504079955
1	BlinkStart	504090016
1	BlinkEnd	504091559
1	NoFeedLowProb	504091639
6,49	BlinkStart	504091736
6,49	BlinkEnd	504095036
6	Feed	504095117
49	Feed	504095197
1	BlinkStart	504095362
1	BlinkEnd	504104059
1	NoFeedLowProb	504104139
6,49	BlinkStart	504104235
6,49	BlinkEnd	504108142
6	Feed	504108222
49	Feed	504108302
1	BlinkStart	504108474
1	BlinkEnd	504117695
1	NoFeedLowProb	504117775
6,49	BlinkStart	504117870
6,49	BlinkEnd	504120903
6	Feed	504120983
49	Feed	504121063
16,1	BlinkStart	504121207
16,1	BlinkEnd	504130795
1	0DropFeed	504130875
16	Feed	504130956
6,49,4,42	BlinkStart	504131127
6,49,4,42	BlinkEnd	504133936
6	Feed	504134016
49	Feed	504134096
15,1	BlinkStart	504134268
15,1	BlinkEnd	504143093
1	0DropFeed	504143173
15	NoFeedAbort	504143254
5	BlinkStart	504153314
5	BlinkEnd	504154657
5	NoFeedLowProb	504154737
2,38	BlinkStart	504154814
2,38	BlinkEnd	504157999
2	Feed	504158080
38	Feed	504158160
5	BlinkStart	504158307
5	BlinkEnd	504165685
5	NoFeedLowProb	504165765
2,38	BlinkStart	504165884
2,38	BlinkEnd	504169028
2	Feed	504169109
38	Feed	504169189
5	BlinkStart	504169363
5	BlinkEnd	504177984
5	NoFeedLowProb	504178064
2,38	BlinkStart	504178161
2,38	BlinkEnd	504181327
2	Feed	504181407
38	Feed	504181487
30,5	BlinkStart	504181625
30,5	BlinkEnd	504188745
5	0DropFeed	504188825
30	Feed	504188905
2,38,8,55	BlinkStart	504189059
2,38,8,55	BlinkEnd	504192489
8	Feed	504192569
55	Feed	504192649
29,5	BlinkStart	504192808
29,5	BlinkEnd	504206325
5	0DropFeed	504206406
29	Feed	504206486
2,38,8,55	BlinkStart	504206647
2,38,8,55	BlinkEnd	504209674
8	Feed	504209754
55	Feed	504209835
28,5	BlinkStart	504209997
28,5	BlinkEnd	504224785
5	0DropFeed	504224865
28	Feed	504224945
2,38,8,55	BlinkStart	504225118
2,38,8,55	BlinkEnd	504227914
8	Feed	504227994
55	Feed	504228074
27,5	BlinkStart	504228253
27,5	BlinkEnd	504236938
5	0DropFeed	504237018
27	Feed	504237098
2,38,8,55	BlinkStart	504237263
2,38,8,55	BlinkEnd	504239948
8	Feed	504240028
55	Feed	504240108
26,5	BlinkStart	504240299
26,5	BlinkEnd	504251711
5	0DropFeed	504251791
26	Feed	504251871
2,38,8,55	BlinkStart	504252041
2,38,8,55	BlinkEnd	504254584
8	Feed	504254664
55	Feed	504254744
25,5	BlinkStart	504254886
25,5	BlinkEnd	504264811
5	0DropFeed	504264891
25	Feed	504264971
2,38,8,55	BlinkStart	504265135
2,38,8,55	BlinkEnd	504268353
8	Feed	504268433
55	Feed	504268513
24,5	BlinkStart	504268663
24,5	BlinkEnd	504280787
5	0DropFeed	504280867
24	NoFeedAbort	504280947
1	BlinkStart	504291008
1	BlinkEnd	504295290
1	NoFeedLowProb	504295370
4	BlinkStart	504295448
4	BlinkEnd	504298231
4	0DropFeed	504298311
1	BlinkStart	504298471
1	BlinkEnd	504306318
1	NoFeedLowProb	504306398
4	BlinkStart	504306471
4	BlinkEnd	504318351
4	0DropFeed	504318431
1	BlinkStart	504318590
1	BlinkEnd	504359391
1	NoFeedLowProb	504359471
4	BlinkStart	504359564
4	BlinkEnd	504408191
4	0DropFeed	504408271
21,1	BlinkStart	504408471
21,1	BlinkEnd	504421291
1	0DropFeed	504421371
21	Feed	504421451
6,4	BlinkStart	504421602
6,4	BlinkEnd	504426164
6	0DropFeed	504426244
20,1	BlinkStart	504426401
20,1	BlinkEnd	504432781
1	0DropFeed	504432861
20	Feed	504432941
6,4	BlinkStart	504433083
6,4	BlinkEnd	504480038
4	0DropFeed	504480119
19,1	BlinkStart	504480286
19,1	BlinkEnd	504485724
1	0DropFeed	504485804
19	Feed	504485884
6,4	BlinkStart	504486070
6,4	BlinkEnd	504490198
6	0DropFeed	504490278
18,1	BlinkStart	504490434
18,1	BlinkEnd	504495078
1	0DropFeed	504495158
18	Feed	504495238
6,4	BlinkStart	504495398
6,4	BlinkEnd	504512390
4	0DropFeed	504512470
17,1	BlinkStart	504512620
17,1	BlinkEnd	504533517
1	0DropFeed	504533597
17	Feed	504533677
6,4	BlinkStart	504533835
6,4	BlinkEnd	504538324
6	0DropFeed	504538405
16,1	BlinkStart	504538560
16,1	BlinkEnd	504565929
1	0DropFeed	504566009
16	Feed	504566090
6,4	BlinkStart	504566249
6,4	BlinkEnd	504594270
4	0DropFeed	504594350
14,1	BlinkStart	504594510
14,1	BlinkEnd	504601423
1	0DropFeed	504601503
14	NoFeedAbort	504601583
5	BlinkStart	504611643
5	BlinkEnd	504614991
5	NoFeedLowProb	504615071
2,38	BlinkStart	504615180
2,38	BlinkEnd	504618747
2	Feed	504618827
38	Feed	504618907
5	BlinkStart	504619048
5	BlinkEnd	504630031
5	NoFeedLowProb	504630111
2,38	BlinkStart	504630223
2,38	BlinkEnd	504634240
2	Feed	504634321
38	Feed	504634401
5	BlinkStart	504634551
5	BlinkEnd	504646070
5	NoFeedLowProb	504646150
2,38	BlinkStart	504646231
2,38	BlinkEnd	504649814
2	Feed	504649895
38	Feed	504649975
25,5	BlinkStart	504650111
25,5	BlinkEnd	504661257
5	0DropFeed	504661337
25	Feed	504661417
2,38,8,55	BlinkStart	504661618
2,38,8,55	BlinkEnd	504664986
8	Feed	504665066
55	Feed	504665146
24,5	BlinkStart	504665314
24,5	BlinkEnd	504679292
5	0DropFeed	504679372
24	NoFeedAbort	504679452
1	BlinkStart	504689551
1	BlinkEnd	504693995
1	NoFeedLowProb	504694076
4,43	BlinkStart	504694154
4,43	BlinkEnd	504696804
4	Feed	504696884
43	Feed	504696965
1	BlinkStart	504697138
1	BlinkEnd	504705360
1	NoFeedLowProb	504705440
4,43	BlinkStart	504705552
4,43	BlinkEnd	504708634
4	Feed	504708714
43	Feed	504708794
1	BlinkStart	504708936
1	BlinkEnd	504717324
1	NoFeedLowProb	504717404
4,43	BlinkStart	504717499
4,43	BlinkEnd	504720331
4	Feed	504720411
43	Feed	504720491
21,1	BlinkStart	504720658
21,1	BlinkEnd	504729021
1	0DropFeed	504729101
21	Feed	504729182
4,43,6,50	BlinkStart	504729346
4,43,6,50	BlinkEnd	504732162
4	Feed	504732242
43	Feed	504732323
20,1	BlinkStart	504732496
20,1	BlinkEnd	504740316
1	0DropFeed	504740396
20	Feed	504740476
4,43,6,50	BlinkStart	504740672
4,43,6,50	BlinkEnd	504743525
4	Feed	504743605
43	Feed	504743685
19,1	BlinkStart	504743865
19,1	BlinkEnd	504751619
1	0DropFeed	504751699
19	Feed	504751779
4,43,6,50	BlinkStart	504751961
4,43,6,50	BlinkEnd	504754688
4	Feed	504754768
43	Feed	504754848
18,1	BlinkStart	504755014
18,1	BlinkEnd	504763316
1	0DropFeed	504763397
18	Feed	504763477
4,43,6,50	BlinkStart	504763660
4,43,6,50	BlinkEnd	504766453
4	Feed	504766533
43	Feed	504766613
17,1	BlinkStart	504766772
17,1	BlinkEnd	504775408
1	0DropFeed	504775488
17	Feed	504775568
4,43,6,50	BlinkStart	504775723
4,43,6,50	BlinkEnd	504778483
4	Feed	504778563
43	Feed	504778643
16,1	BlinkStart	504778809
16,1	BlinkEnd	504787045
1	0DropFeed	504787126
16	Feed	504787206
4,43,6,50	BlinkStart	504787370
4,43,6,50	BlinkEnd	504790515
4	Feed	504790595
43	Feed	504790675
14,1	BlinkStart	504790844
14,1	BlinkEnd	504799070
1	0DropFeed	504799150
14	NoFeedAbort	504799230
5	BlinkStart	504809299
5	BlinkEnd	504811704
5	NoFeedLowProb	504811784
8,54	BlinkStart	504811849
8,54	BlinkEnd	504815312
8	Feed	504815393
54	Feed	504815473
5	BlinkStart	504815654
5	BlinkEnd	504830484
5	NoFeedLowProb	504830564
8,54	BlinkStart	504830666
8,54	BlinkEnd	504833492
8	Feed	504833572
54	Feed	504833653
5	BlinkStart	504833793
5	BlinkEnd	504861900
5	NoFeedLowProb	504861980
8,54	BlinkStart	504862099
8,54	BlinkEnd	504864775
8	Feed	504864855
54	Feed	504864936
25,5	BlinkStart	504865072
25,5	BlinkEnd	504874666
5	0DropFeed	504874746
25	Feed	504874826
8,54,2,37	BlinkStart	504874978
8,54,2,37	BlinkEnd	504878209
2	Feed	504878289
37	Feed	504878369
23,5	BlinkStart	504878533
23,5	BlinkEnd	504886697
5	0DropFeed	504886777
23	NoFeedAbort	504886857
1	BlinkStart	504896919
1	BlinkEnd	504904076
1	NoFeedLowProb	504904158
6,47	BlinkStart	504904265
6,47	BlinkEnd	504907218
6	Feed	504907299
47	Feed	504907380
1	BlinkStart	504907554
1	BlinkEnd	504914637
1	NoFeedLowProb	504914717
6,47	BlinkStart	504914829
6,47	BlinkEnd	504918113
6	Feed	504918193
47	Feed	504918273
1	BlinkStart	504918416
1	BlinkEnd	504925799
1	NoFeedLowProb	504925880
6,47	BlinkStart	504925966
6,47	BlinkEnd	504934355
6	Feed	504934435
47	Feed	504934515
16,1	BlinkStart	504934678
16,1	BlinkEnd	504948191
1	0DropFeed	504948271
16	Feed	504948352
6,47,4,46	BlinkStart	504948506
6,47,4,46	BlinkEnd	504951868
4	Feed	504951948
46	Feed	504952028
15,1	BlinkStart	504952178
15,1	BlinkEnd	504968176
1	0DropFeed	504968256
15	NoFeedAbort	504968336
5	BlinkStart	504978406
5	BlinkEnd	504985822
5	NoFeedLowProb	504985902
8,52	BlinkStart	504986016
8,52	BlinkEnd	504988764
8	Feed	504988845
52	Feed	504988925
5	BlinkStart	504989080
5	BlinkEnd	504997653
5	NoFeedLowProb	504997733
8,52	BlinkStart	504997822
8,52	BlinkEnd	505002935
8	Feed	505003015
52	Feed	505003096
5	BlinkStart	505003253
5	BlinkEnd	505011623
5	NoFeedLowProb	505011703
8,52	BlinkStart	505011807
8,52	BlinkEnd	505016236
8	Feed	505016316
52	Feed	505016397
30,5	BlinkStart	505016554
30,5	BlinkEnd	505054668
5	0DropFeed	505054748
30	Feed	505054828
8,52,2	BlinkStart	505055013
8,52,2	BlinkEnd	505058012
2	0DropFeed	505058092
29,5	BlinkStart	505058251
29,5	BlinkEnd	505070710
5	0DropFeed	505070790
29	Feed	505070870
8,52,2	BlinkStart	505071041
8,52,2	BlinkEnd	505075189
8	Feed	505075269
52	Feed	505075349
28,5	BlinkStart	505075487
28,5	BlinkEnd	505084881
5	0DropFeed	505084961
28	Feed	505085041
8,52,2	BlinkStart	505085202
8,52,2	BlinkEnd	505089426
8	Feed	505089506
52	Feed	505089587
27,5	BlinkStart	505089752
27,5	BlinkEnd	505099251
5	0DropFeed	505099332
27	Feed	505099413
8,52,2	BlinkStart	505099558
8,52,2	BlinkEnd	505108275
2	0DropFeed	505108355
26,5	BlinkStart	505108534
26,5	BlinkEnd	505114357
5	0DropFeed	505114437
26	Feed	505114517
8,52,2	BlinkStart	505114685
8,52,2	BlinkEnd	505119036
2	0DropFeed	505119116
25,5	BlinkStart	505119295
25,5	BlinkEnd	505124652
5	0DropFeed	505124733
25	Feed	505124813
8,52,2	BlinkStart	505124974
8,52,2	BlinkEnd	505129932
8	Feed	505130013
52	Feed	505130093
24,5	BlinkStart	505130235
24,5	BlinkEnd	505137217
5	0DropFeed	505137297
24	NoFeedAbort	505137377
1	BlinkStart	505147439
1	BlinkEnd	505148715
1	NoFeedLowProb	505148795
