Tuesday, December 15, 2020	11:42:58 AM	Game1.txt	494299667
Cued	Now	494378556
9	BlinkStart	494378584
9	BlinkEnd	494649101
23,5	BlinkStart	494649189
23,5	BlinkEnd	495079806
5	0DropFeed	495079886
23	NoFeedAbort	495079966
1	BlinkStart	495089996
1	BlinkEnd	495114097
1	NoFeedLowProb	495114177
4,46	BlinkStart	495114214
4,46	BlinkEnd	495150390
4	Feed	495150470
46	Feed	495150550
1	BlinkStart	495150649
1	BlinkEnd	495199116
1	NoFeedLowProb	495199196
4,46	BlinkStart	495199224
4,46	BlinkEnd	495395763
4	Feed	495395843
46	Feed	495395923
1	BlinkStart	495396025
1	BlinkEnd	495798279
1	NoFeedLowProb	495798359
4,46	BlinkStart	495798382
4,46	BlinkEnd	496469360
4	Feed	496469440
46	Feed	496469520
21,1	BlinkStart	496469608
21,1	BlinkEnd	496551640
1	0DropFeed	496551720
21	Feed	496551800
4,46,6	BlinkStart	496551887
4,46,6	BlinkEnd	496846409
4	Feed	496846489
46	Feed	496846569
20,1	BlinkStart	496846657
20,1	BlinkEnd	496933502
1	0DropFeed	496933582
20	Feed	496933662
4,46,6	BlinkStart	496933753
4,46,6	BlinkEnd	496938730
