Sunday, December 20, 2020	12:11:42 PM	Game1.txt	928023473
Cued	Now	928033250
9	BlinkStart	928033277
9	BlinkEnd	928255961
23,5	BlinkStart	928256057
23,5	BlinkEnd	928257838
5	0DropFeed	928257918
23	NoFeedAbort	928257998
1	BlinkStart	928268013
1	BlinkEnd	928288522
1	NoFeedLowProb	928288602
4	BlinkStart	928288633
4	BlinkEnd	928300149
4	0DropFeed	928300230
1	BlinkStart	928300322
1	BlinkEnd	928317932
1	NoFeedLowProb	928318012
4	BlinkStart	928318032
4	BlinkEnd	928327688
4	0DropFeed	928327768
1	BlinkStart	928327869
1	BlinkEnd	928337046
1	NoFeedLowProb	928337126
4	BlinkStart	928337153
4	BlinkEnd	928545187
4	0DropFeed	928545267
21,1	BlinkStart	928545386
21,1	BlinkEnd	928565373
1	0DropFeed	928565453
21	Feed	928565533
6,49,4	BlinkStart	928565621
6,49,4	BlinkEnd	928570119
6	Feed	928570199
49	Feed	928570279
20,1	BlinkStart	928570367
20,1	BlinkEnd	928583956
1	0DropFeed	928584036
20	Feed	928584116
6,49,4	BlinkStart	928584212
6,49,4	BlinkEnd	928588299
6	Feed	928588379
49	Feed	928588459
19,1	BlinkStart	928588548
19,1	BlinkEnd	928601267
1	0DropFeed	928601347
19	Feed	928601427
6,49,4	BlinkStart	928601538
6,49,4	BlinkEnd	928605010
6	Feed	928605090
49	Feed	928605171
18,1	BlinkStart	928605261
18,1	BlinkEnd	928618651
1	0DropFeed	928618731
18	Feed	928618811
6,49,4	BlinkStart	928618898
6,49,4	BlinkEnd	928622188
6	Feed	928622268
49	Feed	928622348
17,1	BlinkStart	928622450
17,1	BlinkEnd	928634687
1	0DropFeed	928634768
17	Feed	928634848
6,49,4	BlinkStart	928634943
6,49,4	BlinkEnd	928638297
6	Feed	928638377
49	Feed	928638457
16,1	BlinkStart	928638560
16,1	BlinkEnd	928651398
1	0DropFeed	928651478
16	Feed	928651559
6,49,4	BlinkStart	928651666
6,49,4	BlinkEnd	928655410
6	Feed	928655490
49	Feed	928655571
14,1	BlinkStart	928655670
14,1	BlinkEnd	928669044
1	0DropFeed	928669124
14	NoFeedAbort	928669205
5	BlinkStart	928679221
5	BlinkEnd	928681275
5	NoFeedLowProb	928681355
8,56	BlinkStart	928681397
8,56	BlinkEnd	928685019
8	Feed	928685099
56	Feed	928685180
5	BlinkStart	928685284
5	BlinkEnd	928695981
5	NoFeedLowProb	928696061
8,56	BlinkStart	928696100
8,56	BlinkEnd	928700191
8	Feed	928700271
56	Feed	928700351
5	BlinkStart	928700440
5	BlinkEnd	928712023
5	NoFeedLowProb	928712103
8,56	BlinkStart	928712127
8,56	BlinkEnd	928715899
8	Feed	928715979
56	Feed	928716059
30,5	BlinkStart	928716145
30,5	BlinkEnd	928728198
5	0DropFeed	928728278
30	Feed	928728359
8,56,2,38	BlinkStart	928728463
8,56,2,38	BlinkEnd	928732409
2	Feed	928732489
38	Feed	928732569
29,5	BlinkStart	928732733
29,5	BlinkEnd	928739694
5	0DropFeed	928739774
29	Feed	928739855
8,56,2,38	BlinkStart	928740026
8,56,2,38	BlinkEnd	928744915
2	Feed	928744995
38	Feed	928745075
28,5	BlinkStart	928745242
28,5	BlinkEnd	928752595
5	0DropFeed	928752675
28	Feed	928752755
8,56,2,38	BlinkStart	928752928
8,56,2,38	BlinkEnd	928756614
8	Feed	928756694
56	Feed	928756774
27,5	BlinkStart	928756925
27,5	BlinkEnd	928768770
5	0DropFeed	928768850
27	Feed	928768930
8,56,2,38	BlinkStart	928769080
8,56,2,38	BlinkEnd	928773315
2	Feed	928773395
38	Feed	928773476
26,5	BlinkStart	928773614
26,5	BlinkEnd	928780808
5	0DropFeed	928780888
26	Feed	928780968
8,56,2,38	BlinkStart	928781134
8,56,2,38	BlinkEnd	928785146
8	Feed	928785226
56	Feed	928785306
25,5	BlinkStart	928785463
25,5	BlinkEnd	928798647
5	0DropFeed	928798727
25	Feed	928798807
8,56,2,38	BlinkStart	928798955
8,56,2,38	BlinkEnd	928803728
8	Feed	928803808
56	Feed	928803888
23,5	BlinkStart	928804075
23,5	BlinkEnd	928816428
5	0DropFeed	928816508
23	NoFeedAbort	928816589
1	BlinkStart	928826654
1	BlinkEnd	928838017
1	NoFeedLowProb	928838097
6,49	BlinkStart	928838185
6,49	BlinkEnd	928841559
6	Feed	928841640
49	Feed	928841720
1	BlinkStart	928841877
1	BlinkEnd	928853056
1	NoFeedLowProb	928853136
6,49	BlinkStart	928853228
6,49	BlinkEnd	928856734
6	Feed	928856815
49	Feed	928856895
1	BlinkStart	928857078
1	BlinkEnd	928868363
1	NoFeedLowProb	928868443
6,49	BlinkStart	928868532
6,49	BlinkEnd	928872107
6	Feed	928872187
49	Feed	928872268
21,1	BlinkStart	928872411
21,1	BlinkEnd	928884538
1	0DropFeed	928884618
21	Feed	928884699
6,49,4,42	BlinkStart	928884872
6,49,4,42	BlinkEnd	928888085
6	Feed	928888165
49	Feed	928888245
20,1	BlinkStart	928888383
20,1	BlinkEnd	928900848
1	0DropFeed	928900928
20	Feed	928901008
6,49,4,42	BlinkStart	928901171
6,49,4,42	BlinkEnd	928904601
6	Feed	928904681
49	Feed	928904761
19,1	BlinkStart	928904900
19,1	BlinkEnd	928916488
1	0DropFeed	928916568
19	Feed	928916648
6,49,4,42	BlinkStart	928916795
6,49,4,42	BlinkEnd	928920164
6	Feed	928920244
49	Feed	928920324
18,1	BlinkStart	928920466
18,1	BlinkEnd	928932128
1	0DropFeed	928932208
18	Feed	928932288
6,49,4,42	BlinkStart	928932466
6,49,4,42	BlinkEnd	928936541
4	Feed	928936621
42	Feed	928936701
17,1	BlinkStart	928936842
17,1	BlinkEnd	928944227
1	0DropFeed	928944307
17	Feed	928944387
6,49,4,42	BlinkStart	928944556
6,49,4,42	BlinkEnd	928950243
6	Feed	928950323
49	Feed	928950403
16,1	BlinkStart	928950562
16,1	BlinkEnd	928963010
1	0DropFeed	928963090
16	Feed	928963171
6,49,4,42	BlinkStart	928963340
6,49,4,42	BlinkEnd	928967154
6	Feed	928967234
49	Feed	928967314
14,1	BlinkStart	928967458
14,1	BlinkEnd	928979265
1	0DropFeed	928979345
14	NoFeedAbort	928979425
5	BlinkStart	928989481
5	BlinkEnd	928999572
5	NoFeedLowProb	928999652
2,38	BlinkStart	928999752
2,38	BlinkEnd	929003515
2	Feed	929003595
38	Feed	929003675
5	BlinkStart	929003813
5	BlinkEnd	929010801
5	NoFeedLowProb	929010881
2,38	BlinkStart	929010978
2,38	BlinkEnd	929015747
2	Feed	929015827
38	Feed	929015907
5	BlinkStart	929016058
5	BlinkEnd	929023568
5	NoFeedLowProb	929023649
2,38	BlinkStart	929023728
2,38	BlinkEnd	929030385
2	Feed	929030466
38	Feed	929030546
30,5	BlinkStart	929030703
30,5	BlinkEnd	929040549
5	0DropFeed	929040630
30	Feed	929040710
2,38,8,56	BlinkStart	929040874
2,38,8,56	BlinkEnd	929046439
8	Feed	929046519
56	Feed	929046599
29,5	BlinkStart	929046771
29,5	BlinkEnd	929062002
5	0DropFeed	929062082
29	Feed	929062162
2,38,8,56	BlinkStart	929062348
2,38,8,56	BlinkEnd	929067088
8	Feed	929067169
56	Feed	929067249
28,5	BlinkStart	929067408
28,5	BlinkEnd	929089004
5	0DropFeed	929089084
28	Feed	929089164
2,38,8,56	BlinkStart	929089316
2,38,8,56	BlinkEnd	929096426
2	Feed	929096506
38	Feed	929096586
27,5	BlinkStart	929096726
27,5	BlinkEnd	929114136
5	0DropFeed	929114216
27	Feed	929114296
2,38,8,56	BlinkStart	929114474
2,38,8,56	BlinkEnd	929131918
2	Feed	929131998
38	Feed	929132078
26,5	BlinkStart	929132253
26,5	BlinkEnd	929157250
5	0DropFeed	929157330
26	Feed	929157411
2,38,8,56	BlinkStart	929157572
2,38,8,56	BlinkEnd	929178036
2	Feed	929178116
38	Feed	929178196
25,5	BlinkStart	929178393
25,5	BlinkEnd	929189332
5	0DropFeed	929189412
25	Feed	929189492
2,38,8,56	BlinkStart	929189673
2,38,8,56	BlinkEnd	929221416
2	Feed	929221496
38	Feed	929221576
23,5	BlinkStart	929221719
23,5	BlinkEnd	929234517
5	0DropFeed	929234597
23	NoFeedAbort	929234677
1	BlinkStart	929244743
1	BlinkEnd	929268538
1	NoFeedLowProb	929268618
6,50	BlinkStart	929268698
6,50	BlinkEnd	929272020
6	Feed	929272100
50	Feed	929272180
1	BlinkStart	929272339
1	BlinkEnd	929288792
1	NoFeedLowProb	929288872
6,50	BlinkStart	929288969
6,50	BlinkEnd	929292869
6	Feed	929292949
50	Feed	929293029
1	BlinkStart	929293185
1	BlinkEnd	929310314
1	NoFeedLowProb	929310394
6,50	BlinkStart	929310482
6,50	BlinkEnd	929314725
6	Feed	929314806
50	Feed	929314886
21,1	BlinkStart	929315062
21,1	BlinkEnd	929333977
1	0DropFeed	929334057
21	Feed	929334137
6,50,4,42	BlinkStart	929334299
6,50,4,42	BlinkEnd	929337852
6	Feed	929337932
50	Feed	929338012
20,1	BlinkStart	929338154
20,1	BlinkEnd	929353695
1	0DropFeed	929353775
20	Feed	929353855
6,50,4,42	BlinkStart	929354020
6,50,4,42	BlinkEnd	929357570
6	Feed	929357650
50	Feed	929357730
19,1	BlinkStart	929357890
19,1	BlinkEnd	929373946
1	0DropFeed	929374026
19	Feed	929374106
6,50,4,42	BlinkStart	929374261
6,50,4,42	BlinkEnd	929377829
6	Feed	929377909
50	Feed	929377989
18,1	BlinkStart	929378136
18,1	BlinkEnd	929394267
1	0DropFeed	929394347
18	Feed	929394427
6,50,4,42	BlinkStart	929394590
6,50,4,42	BlinkEnd	929398010
6	Feed	929398090
50	Feed	929398171
17,1	BlinkStart	929398345
17,1	BlinkEnd	929414519
1	0DropFeed	929414600
17	Feed	929414680
6,50,4,42	BlinkStart	929414847
6,50,4,42	BlinkEnd	929418597
6	Feed	929418677
50	Feed	929418758
16,1	BlinkStart	929418918
16,1	BlinkEnd	929434378
1	0DropFeed	929434458
16	Feed	929434539
6,50,4,42	BlinkStart	929434687
6,50,4,42	BlinkEnd	929439318
6	Feed	929439398
50	Feed	929439478
14,1	BlinkStart	929439619
14,1	BlinkEnd	929455764
1	0DropFeed	929455844
14	NoFeedAbort	929455924
5	BlinkStart	929465998
5	BlinkEnd	929538575
5	NoFeedLowProb	929538655
2,41	BlinkStart	929538757
2,41	BlinkEnd	929543256
2	Feed	929543336
41	Feed	929543416
5	BlinkStart	929543583
5	BlinkEnd	929556555
5	NoFeedLowProb	929556636
2,41	BlinkStart	929556731
2,41	BlinkEnd	929562640
2	Feed	929562720
41	Feed	929562800
5	BlinkStart	929562949
5	BlinkEnd	929576943
5	NoFeedLowProb	929577023
2,41	BlinkStart	929577112
2,41	BlinkEnd	929597739
2	Feed	929597819
41	Feed	929597900
30,5	BlinkStart	929598053
30,5	BlinkEnd	929611966
5	0DropFeed	929612046
30	Feed	929612126
2,41,8	BlinkStart	929612294
2,41,8	BlinkEnd	929617582
8	0DropFeed	929617662
29,5	BlinkStart	929617820
29,5	BlinkEnd	929657819
5	0DropFeed	929657899
29	Feed	929657979
