Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1021306318	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021306318
1021306520	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1021306520
1021321360	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021321360
1021328827	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021328827
1021329028	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021329028
1021345247	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021345247
1021348075	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021348075
1021348277	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021348277
1021360830	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021360830
1021366545	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021366545
1021366748	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021366748
1021376654	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021376654
1021376857	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1021376857
1021381225	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021381225
1021381427	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021381427
1021392057	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021392057
1021392270	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1021392270
1021396391	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021396391
1021396592	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021396592
1021406013	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021406013
1021406217	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1021406217
1021409805	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021409805
1021410007	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021410007
1021419852	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021419852
1021420054	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1021420054
1021425820	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021425820
1021426021	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021426021
1021438864	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021438864
1021439066	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1021439066
1021447228	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021447228
1021447430	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021447430
1021460525	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021460525
1021460727	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1021460727
1021463893	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021463893
1021464096	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1021464096
1021507033	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1021507033
1021507235	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1021507235
1021524299	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021524299
1021529895	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1021529895
1021530096	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1021530096
1021536403	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021536403
1021544756	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1021544756
1021544956	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1021544956
1021551073	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021551073
1021582781	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1021582781
1021582981	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1021582981
1021589098	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021589098
1021589302	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1021589302
1021594395	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1021594395
1021594599	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1021594599
1021607148	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021607148
1021607351	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1021607351
1021610819	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1021610819
1021611021	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1021611021
1021622069	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021622069
1021622272	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1021622272
1021625499	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1021625499
1021625701	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1021625701
1021637712	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021637712
1021637915	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1021637915
1021641023	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1021641023
1021641235	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1021641235
1021652633	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021652633
1021652835	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1021652835
1021655944	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1021655944
1021656146	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1021656146
1021667013	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1021667013
1021667214	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1021667214
