Ver1.3	1091456755	StartFile	12/22/2020	9:35:35 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122220A\SoundData.txt	1091456755
1091490633	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1091490633
1091490834	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1091490834
1091536205	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091536205
1091541801	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091541801
1091565927	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091565927
1091577185	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091577185
1091584579	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091584579
1091591137	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091591137
1091597574	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091597574
1091597776	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1091597776
1091622543	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091622543
1091622745	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1091622745
1091637585	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091637585
1091637786	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1091637786
1091642578	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091642578
1091642780	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1091642780
1091653648	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091653648
1091653850	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1091653850
1091657741	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091657741
1091657942	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1091657942
1091669231	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091669231
1091669434	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1091669434
1091673082	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091673082
1091673284	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1091673284
1091683070	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091683070
1091683273	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1091683273
1091686499	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1091686499
1091686701	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1091686701
1091697750	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091697750
1091697952	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1091697952
1091702276	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1091702276
1091708641	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1091708641
1091708842	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1091708842
1091731924	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1091731924
1091735956	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1091735956
1091736157	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1091736157
1091744024	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1091744024
1091748831	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1091748831
1091749031	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1091749031
1091757194	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1091757194
1091761585	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1091761585
1091761788	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1091761788
1091769347	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1091769347
1091769552	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1091769552
1091774221	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1091774221
1091774422	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	1091774422
