Tuesday, December 22, 2020	1:37:14 PM	Game1.txt	1105955870
Cued	Now	1105967350
9	BlinkStart	1105967373
9	BlinkEnd	1106265314
23,5	BlinkStart	1106265401
23,5	BlinkEnd	1106293131
5	0DropFeed	1106293211
23	NoFeedAbort	1106293291
1	BlinkStart	1106303307
1	BlinkEnd	1106303572
1	NoFeedLowProb	1106303652
6,49	BlinkStart	1106303666
6,49	BlinkEnd	1106318325
6	Feed	1106318405
49	Feed	1106318486
1	BlinkStart	1106318591
1	BlinkEnd	1106329353
1	NoFeedLowProb	1106329434
6,49	BlinkStart	1106329472
6,49	BlinkEnd	1106332361
6	Feed	1106332441
49	Feed	1106332521
1	BlinkStart	1106332609
1	BlinkEnd	1106341786
1	NoFeedLowProb	1106341866
6,49	BlinkStart	1106341893
6,49	BlinkEnd	1106345061
6	Feed	1106345142
49	Feed	1106345222
21,1	BlinkStart	1106345309
21,1	BlinkEnd	1106353618
1	0DropFeed	1106353698
21	Feed	1106353778
6,49,4	BlinkStart	1106353871
6,49,4	BlinkEnd	1106356495
6	Feed	1106356575
49	Feed	1106356655
20,1	BlinkStart	1106356756
20,1	BlinkEnd	1106367050
1	0DropFeed	1106367130
20	Feed	1106367211
6,49,4	BlinkStart	1106367306
6,49,4	BlinkEnd	1106370327
6	Feed	1106370407
49	Feed	1106370487
19,1	BlinkStart	1106370580
19,1	BlinkEnd	1106380628
1	0DropFeed	1106380709
19	Feed	1106380789
6,49,4	BlinkStart	1106380885
6,49,4	BlinkEnd	1106384030
6	Feed	1106384110
49	Feed	1106384190
18,1	BlinkStart	1106384285
18,1	BlinkEnd	1106393454
1	0DropFeed	1106393534
18	Feed	1106393614
6,49,4	BlinkStart	1106393707
6,49,4	BlinkEnd	1106396594
6	Feed	1106396674
49	Feed	1106396754
17,1	BlinkStart	1106396858
17,1	BlinkEnd	1106407624
1	0DropFeed	1106407704
17	Feed	1106407784
6,49,4	BlinkStart	1106407880
6,49,4	BlinkEnd	1106411167
4	0DropFeed	1106411247
16,1	BlinkStart	1106411352
16,1	BlinkEnd	1106417862
1	0DropFeed	1106417942
16	Feed	1106418022
6,49,4	BlinkStart	1106418114
6,49,4	BlinkEnd	1106422462
6	Feed	1106422542
49	Feed	1106422622
14,1	BlinkStart	1106422713
14,1	BlinkEnd	1106432689
1	0DropFeed	1106432769
14	NoFeedAbort	1106432849
5	BlinkStart	1106442866
5	BlinkEnd	1106447862
5	NoFeedLowProb	1106447942
2,41	BlinkStart	1106447959
2,41	BlinkEnd	1106451012
2	Feed	1106451092
41	Feed	1106451172
5	BlinkStart	1106451265
5	BlinkEnd	1106459560
5	NoFeedLowProb	1106459640
2,41	BlinkStart	1106459656
2,41	BlinkEnd	1106462769
2	Feed	1106462849
41	Feed	1106462929
5	BlinkStart	1106463020
5	BlinkEnd	1106472191
5	NoFeedLowProb	1106472271
2,41	BlinkStart	1106472285
