Thursday, December 26, 2019	6:28:29 PM	Game1.txt	330598621
cued	now	330606217
8	BlinkStart	330606297
8	BlinkEnd	330692196
8	ManualFeed	330692276
4	BlinkStart	330692508
4	BlinkEnd	330822820
4	Feed	330822900
8	BlinkStart	330823130
8	BlinkEnd	330877098
8	Feed	330877178
6	BlinkStart	330877408
6	BlinkEnd	331091115
6	Feed	331091195
4	BlinkStart	331091425
4	BlinkEnd	331139851
4	Feed	331139932
2	BlinkStart	331140162
2	BlinkEnd	331166605
0	NoFeed	331166685
8	BlinkStart	331166915
8	BlinkEnd	331169120
0	NoFeed	331169200
2	BlinkStart	331169430
2	BlinkEnd	331241444
2	Feed	331241524
8	BlinkStart	331241755
8	BlinkEnd	331291780
8	Feed	331291860
6	BlinkStart	331292090
6	BlinkEnd	331414164
6	Feed	331414244
8	BlinkStart	331414474
8	BlinkEnd	331455671
8	Feed	331455751
2	BlinkStart	331455981
2	BlinkEnd	331478193
2	Feed	331478273
4	BlinkStart	331478503
4	BlinkEnd	331541224
4	Feed	331541304
8	BlinkStart	331541535
8	BlinkEnd	331575040
8	Feed	331575120
6	BlinkStart	331575350
6	BlinkEnd	331608799
6	Feed	331608879
4	BlinkStart	331609110
4	BlinkEnd	331666551
4	Feed	331666631
8	BlinkStart	331666861
8	BlinkEnd	331703585
8	Feed	331703665
2	BlinkStart	331703895
2	BlinkEnd	331767145
2	Feed	331767226
4	BlinkStart	331767456
4	BlinkEnd	331848640
4	Feed	331848720
8	BlinkStart	331848950
8	BlinkEnd	331850228
8	Feed	331850308
2	BlinkStart	331850539
2	BlinkEnd	331850810
2	Feed	331850890
6	BlinkStart	331851120
6	BlinkEnd	331876147
0	StopTraining	331876227
