Monday, December 28, 2020	1:08:52 PM	Game1.txt	343936320
Cued	Now	343947313
9	BlinkStart	343947330
9	BlinkEnd	344212917
23,5	BlinkStart	344213019
23,5	BlinkEnd	344218197
5	0DropFeed	344218278
23	NoFeedAbort	344218358
1	BlinkStart	344228385
1	BlinkEnd	344228648
1	NoFeedLowProb	344228728
6,47	BlinkStart	344228741
6,47	BlinkEnd	344236852
6	Feed	344236932
47	Feed	344237012
1	BlinkStart	344237099
1	BlinkEnd	344244398
1	NoFeedLowProb	344244479
6	BlinkStart	344244495
6	BlinkEnd	344248277
6	0DropFeed	344248358
1	BlinkStart	344248460
1	BlinkEnd	344261444
1	NoFeedLowProb	344261524
6,47	BlinkStart	344261553
6,47	BlinkEnd	344265788
6	Feed	344265869
47	Feed	344265949
21,1	BlinkStart	344266048
21,1	BlinkEnd	344273942
1	0DropFeed	344274022
21	Feed	344274102
6,50,4	BlinkStart	344274200
6,50,4	BlinkEnd	344277152
6	Feed	344277233
50	Feed	344277313
20,1	BlinkStart	344277400
20,1	BlinkEnd	344288314
1	0DropFeed	344288394
20	Feed	344288474
6,47,4,43	BlinkStart	344288574
6,47,4,43	BlinkEnd	344291788
6	Feed	344291870
47	Feed	344291950
19,1	BlinkStart	344292044
19,1	BlinkEnd	344298540
1	0DropFeed	344298620
19	Feed	344298700
4,45,6	BlinkStart	344298799
4,45,6	BlinkEnd	344301815
6	0DropFeed	344301895
18,1	BlinkStart	344302000
18,1	BlinkEnd	344306963
1	0DropFeed	344307043
18	Feed	344307123
6,51,4,45	BlinkStart	344307211
6,51,4,45	BlinkEnd	344310303
6	Feed	344310383
51	Feed	344310464
17,1	BlinkStart	344310567
17,1	BlinkEnd	344323004
1	0DropFeed	344323085
17	Feed	344323165
6,49,4,42	BlinkStart	344323286
6,49,4,42	BlinkEnd	344325879
6	Feed	344325959
49	Feed	344326039
16,1	BlinkStart	344326139
16,1	BlinkEnd	344336840
1	0DropFeed	344336920
16	Feed	344337000
6,50,4,43	BlinkStart	344337097
6,50,4,43	BlinkEnd	344340048
6	Feed	344340128
50	Feed	344340209
14,1	BlinkStart	344340295
14,1	BlinkEnd	344353215
1	0DropFeed	344353295
14	NoFeedAbort	344353376
5	BlinkStart	344363392
5	BlinkEnd	344364511
5	NoFeedLowProb	344364591
2,38	BlinkStart	344364614
2,38	BlinkEnd	344367853
2	Feed	344367933
38	Feed	344368013
5	BlinkStart	344368116
5	BlinkEnd	344374136
5	NoFeedLowProb	344374217
2,41	BlinkStart	344374243
2,41	BlinkEnd	344378149
2	Feed	344378230
41	Feed	344378310
5	BlinkStart	344378402
5	BlinkEnd	344388107
5	NoFeedLowProb	344388187
2,38	BlinkStart	344388214
2,38	BlinkEnd	344391114
2	Feed	344391195
38	Feed	344391275
30,5	BlinkStart	344391374
30,5	BlinkEnd	344397532
5	0DropFeed	344397612
30	Feed	344397692
2,38,8,52	BlinkStart	344397780
2,38,8,52	BlinkEnd	344400873
8	Feed	344400953
52	Feed	344401034
29,5	BlinkStart	344401202
29,5	BlinkEnd	344410431
5	0DropFeed	344410511
29	Feed	344410591
2,38,8	BlinkStart	344410765
2,38,8	BlinkEnd	344414777
8	0DropFeed	344414857
28,5	BlinkStart	344415024
28,5	BlinkEnd	344422062
5	0DropFeed	344422143
28	Feed	344422223
2,41,8,53	BlinkStart	344422374
2,41,8,53	BlinkEnd	344426874
8	Feed	344426954
53	Feed	344427034
27,5	BlinkStart	344427208
27,5	BlinkEnd	344435763
5	0DropFeed	344435843
27	Feed	344435924
2,40,8,53	BlinkStart	344436107
2,40,8,53	BlinkEnd	344440175
2	Feed	344440255
40	Feed	344440335
26,5	BlinkStart	344440495
