Ver1.3	506188844	StartFile	12/30/2020	10:13:04 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\123020\SoundData.txt	506188844
506325894	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506325894
506326095	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	506326095
506390151	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506390151
506398514	Triggered	4,42,43,44,45,46,	 NoSound	40	2	506398514
506398716	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	506398716
506412895	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506412895
506419151	Triggered	4,42,43,44,45,46,	 NoSound	40	2	506419151
506419351	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	506419351
506435516	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506435516
506443880	Triggered	4,42,43,44,45,46,	 NoSound	40	2	506443880
506444080	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	506444080
506458205	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506458205
506458410	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	506458410
506463615	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506463615
506463828	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	506463828
506479617	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506479617
506479821	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	506479821
506483830	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506483830
506494058	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506494058
506494262	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	506494262
506498811	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506498811
506508918	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506508918
506509121	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	506509121
506513551	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506513551
506513752	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	506513752
506525344	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506525344
506525545	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	506525545
506532444	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506532444
506532646	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	506532646
506549050	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506549050
506549252	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	506549252
506554524	Triggered	6,47,48,49,50,51,	 NoSound	40	2	506554524
506554726	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	506554726
506569265	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	506569265
506569466	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	506569466
506585088	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506585088
506594594	Triggered	2,37,38,39,40,41,	 NoSound	40	2	506594594
506594797	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	506594797
506607349	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506607349
506612525	Triggered	2,37,38,39,40,41,	 NoSound	40	2	506612525
506619923	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506619923
506626242	Triggered	2,37,38,39,40,41,	 NoSound	40	2	506626242
506626443	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	506626443
506701936	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506701936
506702140	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	506702140
506706745	Triggered	8,52,53,54,55,56,	 NoSound	40	2	506706745
506706946	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	506706946
506719198	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	506719198
506719400	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	506719400
506723890	Triggered	8,52,53,54,55,56,	 NoSound	40	2	506723890
506724093	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	506724093
