Thursday, January 9, 2020	7:40:26 PM	Game1.txt	1544516142
cued	now	1544523830
6	BlinkStart	1544523910
6	BlinkEnd	1544559960
6	ManualFeed	1544560040
2	BlinkStart	1544560270
2	BlinkEnd	1544579954
2	Feed	1544580034
8	BlinkStart	1544580264
8	BlinkEnd	1544591372
8	Feed	1544591452
4	BlinkStart	1544591682
4	BlinkEnd	1544603744
4	Feed	1544603824
6	BlinkStart	1544604054
6	BlinkEnd	1544617715
6	Feed	1544617795
8	BlinkStart	1544618026
8	BlinkEnd	1544627208
8	Feed	1544627288
6	BlinkStart	1544627518
6	BlinkEnd	1544634819
6	Feed	1544634899
8	BlinkStart	1544635129
8	BlinkEnd	1544642438
8	Feed	1544642518
2	BlinkStart	1544642748
2	BlinkEnd	1544647851
2	Feed	1544647931
6	BlinkStart	1544648161
6	BlinkEnd	1544683681
6	Feed	1544683761
8	BlinkStart	1544683991
8	BlinkEnd	1544692772
8	Feed	1544692853
6	BlinkStart	1544693083
6	BlinkEnd	1544698323
6	Feed	1544698403
8	BlinkStart	1544698633
8	BlinkEnd	1544704140
8	Feed	1544704220
6	BlinkStart	1544704450
6	BlinkEnd	1544709355
6	Feed	1544709435
2	BlinkStart	1544709665
2	BlinkEnd	1544716708
2	Feed	1544716788
6	BlinkStart	1544717018
6	BlinkEnd	1544728666
6	Feed	1544728746
2	BlinkStart	1544728976
2	BlinkEnd	1544736287
2	Feed	1544736367
8	BlinkStart	1544736597
8	BlinkEnd	1544747586
8	Feed	1544747666
6	BlinkStart	1544747896
6	BlinkEnd	1544756002
6	Feed	1544756082
4	BlinkStart	1544756312
4	BlinkEnd	1544760891
4	Feed	1544760971
6	BlinkStart	1544761201
6	BlinkEnd	1544767173
6	Feed	1544767253
4	BlinkStart	1544767483
4	BlinkEnd	1544772447
4	Feed	1544772527
6	BlinkStart	1544772757
6	BlinkEnd	1544787162
6	Feed	1544787242
4	BlinkStart	1544787472
4	BlinkEnd	1544800922
4	Feed	1544801002
6	BlinkStart	1544801232
6	BlinkEnd	1544807873
6	Feed	1544807953
2	BlinkStart	1544808184
2	BlinkEnd	1544814028
2	Feed	1544814108
8	BlinkStart	1544814338
8	BlinkEnd	1544825524
8	Feed	1544825604
6	BlinkStart	1544825834
6	BlinkEnd	1544833204
6	Feed	1544833284
8	BlinkStart	1544833514
8	BlinkEnd	1544838093
8	Feed	1544838173
2	BlinkStart	1544838403
2	BlinkEnd	1544842837
2	Feed	1544842917
4	BlinkStart	1544843147
4	BlinkEnd	1544847581
4	Feed	1544847661
6	BlinkStart	1544847891
6	BlinkEnd	1544852387
6	Feed	1544852467
2	BlinkStart	1544852697
