Wednesday, January 22, 2020	1:10:49 PM	Game1.txt	578604858
cued	now	578613522
7	BlinkStart	578613602
7	BlinkEnd	578634907
0	NoFeedLowProb	578634987
5	BlinkStart	578635217
5	BlinkEnd	578643773
5	NoFeedLowProb	578643853
8	BlinkStart	578644083
8	BlinkEnd	578661170
8	Feed	578661250
5	BlinkStart	578661481
5	BlinkEnd	578697262
5	NoFeedLowProb	578697342
2	BlinkStart	578697572
2	BlinkEnd	578707496
2	Feed	578707576
5	BlinkStart	578707806
5	BlinkEnd	578787571
5	NoFeedLowProb	578787651
8	BlinkStart	578787882
8	BlinkEnd	578794383
8	Feed	578794463
5	BlinkStart	578794693
5	BlinkEnd	578807218
5	NoFeedLowProb	578807298
2	BlinkStart	578807529
2	BlinkEnd	578813229
2	ManualFeed	578813309
5	BlinkStart	578813540
5	BlinkEnd	578813811
5	NoFeedLowProb	578813891
8	BlinkStart	578814121
8	BlinkEnd	578841307
8	Feed	578841387
5	BlinkStart	578841617
5	BlinkEnd	579095037
5	NoFeedLowProb	579095117
2	BlinkStart	579095347
2	BlinkEnd	579100110
2	Feed	579100190
5	BlinkStart	579100421
5	BlinkEnd	579141351
5	NoFeedLowProb	579141431
82	BlinkStart	579141661
82	BlinkEnd	579144899
2	Feed	579144979
5	BlinkStart	579145209
5	BlinkEnd	579224172
5	NoFeedLowProb	579224252
82	BlinkStart	579224482
82	BlinkEnd	579228053
2	Feed	579228134
5	BlinkStart	579228364
5	BlinkEnd	579285126
5	NoFeedLowProb	579285206
82	BlinkStart	579285437
82	BlinkEnd	579289136
2	Feed	579289216
5	BlinkStart	579289446
5	BlinkEnd	579423696
5	NoFeedLowProb	579423777
82	BlinkStart	579424007
82	BlinkEnd	579427432
2	Feed	579427512
5	BlinkStart	579427743
5	BlinkEnd	579457923
5	NoFeedLowProb	579458003
82	BlinkStart	579458233
82	BlinkEnd	579461527
2	Feed	579461607
5	BlinkStart	579461837
5	BlinkEnd	579488659
5	NoFeedLowProb	579488739
82	BlinkStart	579488970
82	BlinkEnd	579492600
2	Feed	579492680
5	BlinkStart	579492911
5	BlinkEnd	579564587
5	NoFeedLowProb	579564667
1	BlinkStart	579564897
1	BlinkEnd	579576288
1	NoFeedLowProb	579576368
4	BlinkStart	579576598
4	BlinkEnd	579580095
4	Feed	579580175
1	BlinkStart	579580406
1	BlinkEnd	579596747
1	NoFeedLowProb	579596827
6	BlinkStart	579597057
6	BlinkEnd	579600689
6	Feed	579600770
1	BlinkStart	579601001
1	BlinkEnd	579633247
1	NoFeedLowProb	579633327
4	BlinkStart	579633557
4	BlinkEnd	579638187
4	Feed	579638267
1	BlinkStart	579638497
1	BlinkEnd	579654894
1	NoFeedLowProb	579654974
6	BlinkStart	579655205
6	BlinkEnd	579659978
6	Feed	579660058
1	BlinkStart	579660288
1	BlinkEnd	579835229
1	NoFeedLowProb	579835309
4	BlinkStart	579835539
4	BlinkEnd	579842783
4	Feed	579842863
1	BlinkStart	579843094
1	BlinkEnd	579870789
1	NoFeedLowProb	579870870
6	BlinkStart	579871101
6	BlinkEnd	579906152
6	Feed	579906233
1	BlinkStart	579906463
1	BlinkEnd	580117900
1	NoFeedLowProb	580117980
46	BlinkStart	580118211
46	BlinkEnd	580122175
6	Feed	580122255
1	BlinkStart	580122485
1	BlinkEnd	580176647
1	NoFeedLowProb	580176727
46	BlinkStart	580176957
46	BlinkEnd	580181406
6	Feed	580181486
1	BlinkStart	580181717
1	BlinkEnd	580285935
1	NoFeedLowProb	580286015
46	BlinkStart	580286245
46	BlinkEnd	580291214
6	Feed	580291294
1	BlinkStart	580291524
1	BlinkEnd	580345712
1	NoFeedLowProb	580345792
46	BlinkStart	580346023
46	BlinkEnd	580355855
6	Feed	580355935
1	BlinkStart	580356166
1	BlinkEnd	580407048
1	NoFeedLowProb	580407128
46	BlinkStart	580407358
46	BlinkEnd	580419551
6	Feed	580419631
1	BlinkStart	580419862
1	BlinkEnd	580505852
1	NoFeedLowProb	580505933
46	BlinkStart	580506163
46	BlinkEnd	580510125
6	Feed	580510206
1	BlinkStart	580510436
1	BlinkEnd	580540599
1	NoFeedLowProb	580540680
5	BlinkStart	580540910
5	BlinkEnd	580551292
5	NoFeedLowProb	580551372
8	BlinkStart	580551603
8	BlinkEnd	580560381
8	Feed	580560462
5	BlinkStart	580560693
5	BlinkEnd	580596545
5	NoFeedLowProb	580596625
2	BlinkStart	580596855
2	BlinkEnd	580600630
2	Feed	580600710
5	BlinkStart	580600940
5	BlinkEnd	580622812
5	NoFeedLowProb	580622892
8	BlinkStart	580623123
8	BlinkEnd	580629836
8	Feed	580629916
5	BlinkStart	580630146
5	BlinkEnd	580686046
5	NoFeedLowProb	580686126
2	BlinkStart	580686356
2	BlinkEnd	580691798
2	Feed	580691878
5	BlinkStart	580692108
5	BlinkEnd	580711176
5	NoFeedLowProb	580711256
8	BlinkStart	580711487
8	BlinkEnd	580717256
8	Feed	580717336
5	BlinkStart	580717566
5	BlinkEnd	580908623
5	NoFeedLowProb	580908703
2	BlinkStart	580908934
2	BlinkEnd	580914645
2	Feed	580914725
5	BlinkStart	580914955
5	BlinkEnd	580929409
5	NoFeedLowProb	580929489
82	BlinkStart	580929720
82	BlinkEnd	580936161
2	Feed	580936241
5	BlinkStart	580936472
5	BlinkEnd	580953812
5	NoFeedLowProb	580953892
82	BlinkStart	580954122
82	BlinkEnd	580959432
2	Feed	580959512
5	BlinkStart	580959742
5	BlinkEnd	580977136
5	NoFeedLowProb	580977216
82	BlinkStart	580977447
82	BlinkEnd	580982493
2	Feed	580982573
5	BlinkStart	580982803
5	BlinkEnd	581015767
5	NoFeedLowProb	581015847
82	BlinkStart	581016077
82	BlinkEnd	581027675
2	Feed	581027755
5	BlinkStart	581027985
5	BlinkEnd	581042307
5	NoFeedLowProb	581042388
82	BlinkStart	581042618
