Wednesday, February 12, 2020	2:49:21 PM	Game1.txt	1567547246
cued	now	1567555660
7	BlinkStart	1567555740
2	KBWrong2	1567576440
1	KBWrong1	1567578267
2	KBWrong2	1567579083
2	KBWrong2	1567603802
1	KBWrong1	1567606280
2	KBWrong2	1567607031
7	BlinkEnd	1567911054
0	NoFeedLowProb	1567911134
1	BlinkStart	1567911364
1	BlinkEnd	1567912130
1	NoFeedLowProb	1567912210
6	BlinkStart	1567912441
6	BlinkEnd	1567916669
6	Feed	1567916749
1	BlinkStart	1567916980
1	BlinkEnd	1567927102
1	NoFeedLowProb	1567927182
4	BlinkStart	1567927412
4	BlinkEnd	1567930236
4	Feed	1567930316
1	BlinkStart	1567930547
1	BlinkEnd	1567939529
1	NoFeedLowProb	1567939609
4	BlinkStart	1567939839
4	BlinkEnd	1567943074
4	Feed	1567943154
1	BlinkStart	1567943384
1	BlinkEnd	1567949161
1	NoFeedLowProb	1567949241
4	BlinkStart	1567949471
4	BlinkEnd	1567953300
4	Feed	1567953380
1	BlinkStart	1567953610
1	BlinkEnd	1567958381
1	NoFeedLowProb	1567958461
6	BlinkStart	1567958691
6	BlinkEnd	1567961589
6	Feed	1567961669
1	BlinkStart	1567961899
1	BlinkEnd	1567970410
1	NoFeedLowProb	1567970490
6	BlinkStart	1567970721
6	BlinkEnd	1567973827
6	Feed	1567973907
1	BlinkStart	1567974138
1	BlinkEnd	1567984246
1	NoFeedLowProb	1567984326
64	BlinkStart	1567984556
64	BlinkEnd	1567987532
4	Feed	1567987613
1	BlinkStart	1567987843
1	BlinkEnd	1567992273
1	NoFeedLowProb	1567992353
64	BlinkStart	1567992583
64	BlinkEnd	1567995141
6	Feed	1567995221
1	BlinkStart	1567995451
1	BlinkEnd	1568006574
1	NoFeedLowProb	1568006654
64	BlinkStart	1568006884
64	BlinkEnd	1568010384
4	Feed	1568010464
1	BlinkStart	1568010696
1	BlinkEnd	1568018537
1	NoFeedLowProb	1568018617
64	BlinkStart	1568018847
64	BlinkEnd	1568021483
6	Feed	1568021564
1	BlinkStart	1568021795
1	BlinkEnd	1568029299
1	NoFeedLowProb	1568029379
64	BlinkStart	1568029609
64	BlinkEnd	1568052030
4	Feed	1568052110
1	BlinkStart	1568052340
1	BlinkEnd	1568057779
1	NoFeedLowProb	1568057859
64	BlinkStart	1568058091
64	BlinkEnd	1568061185
4	Feed	1568061265
1	BlinkStart	1568061495
1	BlinkEnd	1568066195
1	NoFeedLowProb	1568066275
5	BlinkStart	1568066505
5	BlinkEnd	1568070207
5	NoFeedLowProb	1568070287
8	BlinkStart	1568070517
8	BlinkEnd	1568073345
8	Feed	1568073426
5	BlinkStart	1568073656
5	BlinkEnd	1568081980
5	NoFeedLowProb	1568082060
8	BlinkStart	1568082290
8	BlinkEnd	1568085248
8	Feed	1568085328
5	BlinkStart	1568085558
5	BlinkEnd	1568091059
5	NoFeedLowProb	1568091139
2	BlinkStart	1568091369
2	BlinkEnd	1568094934
2	Feed	1568095014
5	BlinkStart	1568095244
5	BlinkEnd	1568112321
5	NoFeedLowProb	1568112401
2	BlinkStart	1568112632
2	BlinkEnd	1568115995
2	Feed	1568116076
5	BlinkStart	1568116308
5	BlinkEnd	1568150081
5	NoFeedLowProb	1568150161
8	BlinkStart	1568150391
8	BlinkEnd	1568154293
8	Feed	1568154373
5	BlinkStart	1568154604
5	BlinkEnd	1568162579
5	NoFeedLowProb	1568162659
2	BlinkStart	1568162889
2	BlinkEnd	1568166124
2	Feed	1568166205
5	BlinkStart	1568166435
5	BlinkEnd	1568186105
5	NoFeedLowProb	1568186185
28	BlinkStart	1568186415
28	BlinkEnd	1568189186
8	Feed	1568189266
5	BlinkStart	1568189496
5	BlinkEnd	1568194995
5	NoFeedLowProb	1568195075
28	BlinkStart	1568195306
28	BlinkEnd	1568198405
2	Feed	1568198485
5	BlinkStart	1568198715
5	BlinkEnd	1568211907
5	NoFeedLowProb	1568211988
28	BlinkStart	1568212218
28	BlinkEnd	1568215585
2	Feed	1568215665
5	BlinkStart	1568215896
5	BlinkEnd	1568223413
5	NoFeedLowProb	1568223493
28	BlinkStart	1568223724
28	BlinkEnd	1568226083
8	Feed	1568226163
5	BlinkStart	1568226393
5	BlinkEnd	1568230292
5	NoFeedLowProb	1568230372
28	BlinkStart	1568230603
28	BlinkEnd	1568234162
8	Feed	1568234242
5	BlinkStart	1568234472
5	BlinkEnd	1568238578
5	NoFeedLowProb	1568238658
28	BlinkStart	1568238889
28	BlinkEnd	1568241321
8	Feed	1568241401
5	BlinkStart	1568241631
5	BlinkEnd	1568249070
5	NoFeedLowProb	1568249150
1	BlinkStart	1568249380
1	BlinkEnd	1568253553
1	NoFeedLowProb	1568253633
6	BlinkStart	1568253864
6	BlinkEnd	1568256638
6	Feed	1568256718
1	BlinkStart	1568256949
1	BlinkEnd	1568262907
1	NoFeedLowProb	1568262987
4	BlinkStart	1568263218
4	BlinkEnd	1568265983
4	Feed	1568266063
1	BlinkStart	1568266294
1	BlinkEnd	1568275476
1	NoFeedLowProb	1568275556
6	BlinkStart	1568275786
6	BlinkEnd	1568278756
6	Feed	1568278836
1	BlinkStart	1568279066
1	BlinkEnd	1568285569
1	NoFeedLowProb	1568285649
6	BlinkStart	1568285880
6	BlinkEnd	1568289644
6	Feed	1568289724
1	BlinkStart	1568289954
1	BlinkEnd	1568295526
1	NoFeedLowProb	1568295606
4	BlinkStart	1568295836
4	BlinkEnd	1568298204
4	Feed	1568298284
1	BlinkStart	1568298515
1	BlinkEnd	1568316378
1	NoFeedLowProb	1568316459
4	BlinkStart	1568316689
4	BlinkEnd	1568322066
4	Feed	1568322146
1	BlinkStart	1568322377
1	BlinkEnd	1568333355
1	NoFeedLowProb	1568333435
46	BlinkStart	1568333666
46	BlinkEnd	1568336768
6	Feed	1568336848
1	BlinkStart	1568337079
1	BlinkEnd	1568341041
1	NoFeedLowProb	1568341121
46	BlinkStart	1568341351
46	BlinkEnd	1568343853
4	Feed	1568343933
1	BlinkStart	1568344163
1	BlinkEnd	1568352339
1	NoFeedLowProb	1568352419
46	BlinkStart	1568352649
46	BlinkEnd	1568379551
4	Feed	1568379631
1	BlinkStart	1568379862
1	BlinkEnd	1568389306
1	NoFeedLowProb	1568389386
46	BlinkStart	1568389617
46	BlinkEnd	1568392509
6	Feed	1568392589
1	BlinkStart	1568392819
1	BlinkEnd	1568398134
1	NoFeedLowProb	1568398214
46	BlinkStart	1568398445
46	BlinkEnd	1568401074
4	Feed	1568401155
1	BlinkStart	1568401387
1	BlinkEnd	1568416039
1	NoFeedLowProb	1568416119
46	BlinkStart	1568416349
46	BlinkEnd	1568419314
6	Feed	1568419394
1	BlinkStart	1568419625
1	BlinkEnd	1568424994
1	NoFeedLowProb	1568425074
5	BlinkStart	1568425304
5	BlinkEnd	1568429272
5	NoFeedLowProb	1568429352
8	BlinkStart	1568429583
8	BlinkEnd	1568432288
8	Feed	1568432369
5	BlinkStart	1568432599
5	BlinkEnd	1568444926
5	NoFeedLowProb	1568445006
8	BlinkStart	1568445236
8	BlinkEnd	1568447858
8	Feed	1568447939
5	BlinkStart	1568448170
5	BlinkEnd	1568460552
5	NoFeedLowProb	1568460632
2	BlinkStart	1568460862
2	BlinkEnd	1568463560
2	Feed	1568463640
5	BlinkStart	1568463871
5	BlinkEnd	1568468775
5	NoFeedLowProb	1568468855
2	BlinkStart	1568469086
2	BlinkEnd	1568471785
2	Feed	1568471866
5	BlinkStart	1568472096
5	BlinkEnd	1568477198
5	NoFeedLowProb	1568477279
8	BlinkStart	1568477510
8	BlinkEnd	1568480071
8	Feed	1568480151
5	BlinkStart	1568480381
5	BlinkEnd	1568488091
5	NoFeedLowProb	1568488172
2	BlinkStart	1568488403
2	BlinkEnd	1568491176
2	Feed	1568491256
5	BlinkStart	1568491487
5	BlinkEnd	1568496451
5	NoFeedLowProb	1568496531
82	BlinkStart	1568496761
82	BlinkEnd	1568499256
