Ver1.2	638615615	StartFile	2/22/2020	12:04:28 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\022220\SoundData.txt	638615615
638935527	Triggered	1	 Modulated Tone	25	2	638935527
638941675	Triggered	6	 NoSound	50	2	638941675
638956116	Triggered	8	 NoSound	50	2	638956116
638968418	Triggered	5	 Modulated Tone	25	2	638968418
638974695	Triggered	1	 Modulated Tone	25	2	638974695
638978906	Triggered	6	 NoSound	50	2	638978906
638983852	Triggered	1	 Modulated Tone	25	2	638983852
638988537	Triggered	4	 NoSound	50	2	638988537
639002232	Triggered	1	 Modulated Tone	25	2	639002232
639007447	Triggered	6	 NoSound	50	2	639007447
639013395	Triggered	1	 Modulated Tone	25	2	639013395
639018142	Triggered	4	 NoSound	50	2	639018142
639028239	Triggered	1	 Modulated Tone	25	2	639028239
639032445	Triggered	4	 NoSound	50	2	639032445
639069413	Triggered	1	 Modulated Tone	25	2	639069413
639073218	Triggered	6	 NoSound	50	2	639073218
639078900	Triggered	1	 Modulated Tone	25	2	639078900
639083446	Triggered	4	 NoSound	50	2	639083446
639093405	Triggered	1	 Modulated Tone	25	2	639093405
639097616	Triggered	4	 NoSound	50	2	639097616
639107173	Triggered	1	 Modulated Tone	25	2	639107173
639111117	Triggered	4	 NoSound	50	2	639111117
639120609	Triggered	1	 Modulated Tone	25	2	639120609
639124686	Triggered	4	 NoSound	50	2	639124686
639135112	Triggered	1	 Modulated Tone	25	2	639135112
639139056	Triggered	4	 NoSound	50	2	639139056
639148815	Triggered	1	 Modulated Tone	25	2	639148815
639179696	Triggered	4	 NoSound	50	2	639179696
639186982	Triggered	1	 Modulated Tone	25	2	639186982
639198410	Triggered	5	 Modulated Tone	25	2	639198410
639202624	Triggered	8	 NoSound	50	2	639202624
639213584	Triggered	4	 NoSound	50	2	639213584
639215990	Triggered	3	 NoSound	50	2	639215990
639217528	Triggered	2	 NoSound	50	2	639217528
639225682	Triggered	1	 Modulated Tone	25	2	639225682
639234371	Triggered	5	 Modulated Tone	25	2	639234371
639237579	Triggered	8	 NoSound	50	2	639237579
639252686	Triggered	1	 Modulated Tone	25	2	639252686
639259841	Triggered	8	 NoSound	50	2	639259841
639265854	Triggered	7	 NoSound	50	2	639265854
639267524	Triggered	6	 NoSound	50	2	639267524
639274276	Triggered	4	 NoSound	50	2	639274276
639279757	Triggered	8	 NoSound	50	2	639279757
639288513	Triggered	5	 Modulated Tone	25	2	639288513
639291992	Triggered	8	 NoSound	50	2	639291992
639302349	Triggered	5	 Modulated Tone	25	2	639302349
639305557	Triggered	2	 NoSound	50	2	639305557
639312313	Triggered	5	 Modulated Tone	25	2	639312313
639317788	Triggered	8	 NoSound	50	2	639317788
639325208	Triggered	2	 NoSound	50	2	639325208
639331159	Triggered	5	 Modulated Tone	25	2	639331159
639336505	Triggered	8	 NoSound	50	2	639336505
639342319	Triggered	2	 NoSound	50	2	639342319
639347065	Triggered	5	 Modulated Tone	25	2	639347065
639350207	Triggered	8	 NoSound	50	2	639350207
639365183	Triggered	5	 Modulated Tone	25	2	639365183
639368521	Triggered	8	 NoSound	50	2	639368521
639381220	Triggered	5	 Modulated Tone	25	2	639381220
639384362	Triggered	8	 NoSound	50	2	639384362
639395391	Triggered	5	 Modulated Tone	25	2	639395391
639398134	Triggered	8	 NoSound	50	2	639398134
639408491	Triggered	5	 Modulated Tone	25	2	639408491
639411303	Triggered	8	 NoSound	50	2	639411303
639421996	Triggered	5	 Modulated Tone	25	2	639421996
639425071	Triggered	8	 NoSound	50	2	639425071
639434560	Triggered	5	 Modulated Tone	25	2	639434560
639439309	Triggered	1	 Modulated Tone	25	2	639439309
639442782	Triggered	6	 NoSound	50	2	639442782
639454545	Triggered	1	 Modulated Tone	25	2	639454545
639457752	Triggered	6	 NoSound	50	2	639457752
639469854	Triggered	1	 Modulated Tone	25	2	639469854
639473396	Triggered	4	 NoSound	50	2	639473396
639478083	Triggered	1	 Modulated Tone	25	2	639478083
639481282	Triggered	6	 NoSound	50	2	639481282
639491508	Triggered	1	 Modulated Tone	25	2	639491508
639494984	Triggered	4	 NoSound	50	2	639494984
639499804	Triggered	8	 NoSound	50	2	639499804
639503875	Triggered	1	 Modulated Tone	25	2	639503875
639510156	Triggered	4	 NoSound	50	2	639510156
639515443	Triggered	1	 Modulated Tone	25	2	639515443
639518578	Triggered	6	 NoSound	50	2	639518578
639529607	Triggered	1	 Modulated Tone	25	2	639529607
639532883	Triggered	6	 NoSound	50	2	639532883
639543515	Triggered	1	 Modulated Tone	25	2	639543515
639546519	Triggered	6	 NoSound	50	2	639546519
639556545	Triggered	1	 Modulated Tone	25	2	639556545
639559686	Triggered	6	 NoSound	50	2	639559686
639571316	Triggered	1	 Modulated Tone	25	2	639571316
639574324	Triggered	6	 NoSound	50	2	639574324
639583347	Triggered	1	 Modulated Tone	25	2	639583347
639586289	Triggered	6	 NoSound	50	2	639586289
639599861	Triggered	1	 Modulated Tone	25	2	639599861
639604744	Triggered	5	 Modulated Tone	25	2	639604744
639607678	Triggered	8	 NoSound	50	2	639607678
639617771	Triggered	1	 Modulated Tone	25	2	639617771
639623721	Triggered	5	 Modulated Tone	25	2	639623721
639626866	Triggered	2	 NoSound	50	2	639626866
639632476	Triggered	5	 Modulated Tone	25	2	639632476
639637556	Triggered	8	 NoSound	50	2	639637556
639648986	Triggered	2	 NoSound	50	2	639648986
639653530	Triggered	5	 Modulated Tone	25	2	639653530
639657407	Triggered	8	 NoSound	50	2	639657407
639662822	Triggered	2	 NoSound	50	2	639662822
639667172	Triggered	5	 Modulated Tone	25	2	639667172
639670040	Triggered	8	 NoSound	50	2	639670040
639678929	Triggered	5	 Modulated Tone	25	2	639678929
639681871	Triggered	8	 NoSound	50	2	639681871
639691562	Triggered	5	 Modulated Tone	25	2	639691562
639694305	Triggered	8	 NoSound	50	2	639694305
639703527	Triggered	5	 Modulated Tone	25	2	639703527
639706940	Triggered	8	 NoSound	50	2	639706940
639715965	Triggered	5	 Modulated Tone	25	2	639715965
639718701	Triggered	8	 NoSound	50	2	639718701
639728058	Triggered	5	 Modulated Tone	25	2	639728058
639731132	Triggered	8	 NoSound	50	2	639731132
639741228	Triggered	5	 Modulated Tone	25	2	639741228
639743832	Triggered	8	 NoSound	50	2	639743832
639754126	Triggered	5	 Modulated Tone	25	2	639754126
639756738	Triggered	8	 NoSound	50	2	639756738
639771643	Triggered	4	 NoSound	50	2	639771643
639785274	Triggered	5	 Modulated Tone	25	2	639785274
639789619	Triggered	1	 Modulated Tone	25	2	639789619
639792497	Triggered	6	 NoSound	50	2	639792497
639803990	Triggered	1	 Modulated Tone	25	2	639803990
639807465	Triggered	4	 NoSound	50	2	639807465
639812211	Triggered	1	 Modulated Tone	25	2	639812211
639817960	Triggered	8	 NoSound	50	2	639817960
639822839	Triggered	4	 NoSound	50	2	639822839
639826985	Triggered	1	 Modulated Tone	25	2	639826985
639833600	Triggered	4	 NoSound	50	2	639833600
639836941	Triggered	2	 NoSound	50	2	639836941
639840418	Triggered	1	 Modulated Tone	25	2	639840418
639843492	Triggered	6	 NoSound	50	2	639843492
639854856	Triggered	1	 Modulated Tone	25	2	639854856
639857934	Triggered	6	 NoSound	50	2	639857934
639868497	Triggered	1	 Modulated Tone	25	2	639868497
639871834	Triggered	6	 NoSound	50	2	639871834
639883529	Triggered	1	 Modulated Tone	25	2	639883529
639887073	Triggered	6	 NoSound	50	2	639887073
639898569	Triggered	1	 Modulated Tone	25	2	639898569
639901711	Triggered	6	 NoSound	50	2	639901711
639915487	Triggered	1	 Modulated Tone	25	2	639915487
639918956	Triggered	6	 NoSound	50	2	639918956
639932195	Triggered	1	 Modulated Tone	25	2	639932195
639935332	Triggered	6	 NoSound	50	2	639935332
639946831	Triggered	1	 Modulated Tone	25	2	639946831
639949770	Triggered	6	 NoSound	50	2	639949770
639960997	Triggered	1	 Modulated Tone	25	2	639960997
639965209	Triggered	6	 NoSound	50	2	639965209
639974636	Triggered	8	 NoSound	50	2	639974636
639980850	Triggered	5	 Modulated Tone	25	2	639980850
639985261	Triggered	2	 NoSound	50	2	639985261
639992012	Triggered	5	 Modulated Tone	25	2	639992012
639994955	Triggered	8	 NoSound	50	2	639994955
640004779	Triggered	5	 Modulated Tone	25	2	640004779
640008058	Triggered	2	 NoSound	50	2	640008058
640012869	Triggered	1	 Modulated Tone	25	2	640012869
640033059	Triggered	6	 NoSound	50	2	640033059
640039001	Triggered	5	 Modulated Tone	25	2	640039001
640041943	Triggered	8	 NoSound	50	2	640041943
640051167	Triggered	1	 Modulated Tone	25	2	640051167
640054978	Triggered	6	 NoSound	50	2	640054978
640059063	Triggered	5	 Modulated Tone	25	2	640059063
640061996	Triggered	8	 NoSound	50	2	640061996
