Tuesday, March 17, 2020	11:04:21 AM	Game1.txt	318606192
cued	now	318637205
7	BlinkStart	318637285
7	BlinkEnd	318689531
0	NoFeedLowProb	318689611
5	BlinkStart	318689842
5	BlinkEnd	318698686
5	NoFeedLowProb	318698767
8	BlinkStart	318698998
8	BlinkEnd	318703639
8	Feed	318703720
5	BlinkStart	318703951
5	BlinkEnd	318709584
5	NoFeedLowProb	318709664
8	BlinkStart	318709894
8	BlinkEnd	318714258
8	Feed	318714339
5	BlinkStart	318714570
5	BlinkEnd	318736984
5	NoFeedLowProb	318737064
8	BlinkStart	318737294
8	BlinkEnd	318742867
8	Feed	318742947
5	BlinkStart	318743177
5	BlinkEnd	318748493
5	NoFeedLowProb	318748573
28	BlinkStart	318748804
28	BlinkEnd	318751894
2	Feed	318751974
5	BlinkStart	318752205
5	BlinkEnd	318760185
5	NoFeedLowProb	318760266
28	BlinkStart	318760496
28	BlinkEnd	318763587
2	Feed	318763667
5	BlinkStart	318763898
5	BlinkEnd	318770074
5	NoFeedLowProb	318770154
28	BlinkStart	318770384
28	BlinkEnd	318773746
2	Feed	318773826
5	BlinkStart	318774056
5	BlinkEnd	318780500
5	NoFeedLowProb	318780580
2	BlinkStart	318780811
2	BlinkEnd	318783576
2	Feed	318783656
5	BlinkStart	318783886
5	BlinkEnd	318795674
5	NoFeedLowProb	318795754
2	BlinkStart	318795985
2	BlinkEnd	318798951
2	Feed	318799031
5	BlinkStart	318799261
5	BlinkEnd	318806173
5	NoFeedLowProb	318806253
2	BlinkStart	318806483
2	BlinkEnd	318808978
2	Feed	318809059
5	BlinkStart	318809290
5	BlinkEnd	318816332
5	NoFeedLowProb	318816412
28	BlinkStart	318816643
28	BlinkEnd	318819468
8	Feed	318819548
5	BlinkStart	318819778
5	BlinkEnd	318833314
5	NoFeedLowProb	318833394
28	BlinkStart	318833625
28	BlinkEnd	318837119
2	Feed	318837199
5	BlinkStart	318837430
5	BlinkEnd	318843729
5	NoFeedLowProb	318843809
28	BlinkStart	318844039
28	BlinkEnd	318848609
2	Feed	318848689
5	BlinkStart	318848919
5	BlinkEnd	318855497
5	NoFeedLowProb	318855577
1	BlinkStart	318855807
1	BlinkEnd	318859036
1	NoFeedLowProb	318859116
6	BlinkStart	318859346
6	BlinkEnd	318862189
6	Feed	318862269
1	BlinkStart	318862501
1	BlinkEnd	318868394
1	NoFeedLowProb	318868474
6	BlinkStart	318868705
6	BlinkEnd	318871470
6	Feed	318871550
1	BlinkStart	318871780
1	BlinkEnd	318877484
1	NoFeedLowProb	318877564
6	BlinkStart	318877796
6	BlinkEnd	318880961
6	Feed	318881041
1	BlinkStart	318881273
1	BlinkEnd	318887383
1	NoFeedLowProb	318887463
64	BlinkStart	318887693
64	BlinkEnd	318891525
4	Feed	318891605
1	BlinkStart	318891835
1	BlinkEnd	318906898
1	NoFeedLowProb	318906978
64	BlinkStart	318907208
64	BlinkEnd	318910175
4	Feed	318910255
1	BlinkStart	318910485
1	BlinkEnd	318922669
1	NoFeedLowProb	318922749
64	BlinkStart	318922979
64	BlinkEnd	318925887
4	Feed	318925967
1	BlinkStart	318926197
1	BlinkEnd	318937312
1	NoFeedLowProb	318937392
4	BlinkStart	318937622
4	BlinkEnd	318940051
4	Feed	318940131
1	BlinkStart	318940361
1	BlinkEnd	318952557
1	NoFeedLowProb	318952637
4	BlinkStart	318952867
4	BlinkEnd	318955425
4	Feed	318955505
1	BlinkStart	318955735
1	BlinkEnd	318968187
1	NoFeedLowProb	318968267
4	BlinkStart	318968497
4	BlinkEnd	318971001
4	Feed	318971082
1	BlinkStart	318971314
1	BlinkEnd	318983295
1	NoFeedLowProb	318983376
64	BlinkStart	318983606
64	BlinkEnd	318985972
4	Feed	318986052
1	BlinkStart	318986283
1	BlinkEnd	319000010
1	NoFeedLowProb	319000090
