Tuesday, March 24, 2020	2:32:10 PM	Game1.txt	935875116
cued	now	935882605
7	BlinkStart	935882685
7	BlinkEnd	936435821
0	NoFeedLowProb	936435901
1	BlinkStart	936436131
1	BlinkEnd	936481010
1	NoFeedLowProb	936481090
6	BlinkStart	936481320
6	BlinkEnd	936488279
6	Feed	936488359
1	BlinkStart	936488589
1	BlinkEnd	936505193
1	NoFeedLowProb	936505273
6	BlinkStart	936505504
6	BlinkEnd	936509936
6	Feed	936510017
1	BlinkStart	936510247
1	BlinkEnd	936518031
1	NoFeedLowProb	936518111
6	BlinkStart	936518341
6	BlinkEnd	936522634
6	Feed	936522714
1	BlinkStart	936522945
1	BlinkEnd	936529187
1	NoFeedLowProb	936529267
64	BlinkStart	936529498
64	BlinkEnd	936534471
4	Feed	936534551
1	BlinkStart	936534782
1	BlinkEnd	936548905
1	NoFeedLowProb	936548985
64	BlinkStart	936549217
64	BlinkEnd	936553716
4	Feed	936553796
1	BlinkStart	936554026
1	BlinkEnd	936567753
1	NoFeedLowProb	936567833
64	BlinkStart	936568063
64	BlinkEnd	936572701
4	Feed	936572781
1	BlinkStart	936573011
1	BlinkEnd	936585811
1	NoFeedLowProb	936585892
64	BlinkStart	936586123
64	BlinkEnd	936590221
4	Feed	936590301
1	BlinkStart	936590532
1	BlinkEnd	936650170
1	NoFeedLowProb	936650251
64	BlinkStart	936650482
64	BlinkEnd	936653988
4	Feed	936654068
1	BlinkStart	936654298
1	BlinkEnd	936668424
1	NoFeedLowProb	936668504
64	BlinkStart	936668735
64	BlinkEnd	936672229
4	Feed	936672310
1	BlinkStart	936672541
1	BlinkEnd	936685001
1	NoFeedLowProb	936685082
5	BlinkStart	936685313
5	BlinkEnd	936689604
5	NoFeedLowProb	936689684
8	BlinkStart	936689914
8	BlinkEnd	936693212
8	Feed	936693292
5	BlinkStart	936693523
5	BlinkEnd	936700505
5	NoFeedLowProb	936700585
8	BlinkStart	936700816
8	BlinkEnd	936704259
8	Feed	936704339
5	BlinkStart	936704569
5	BlinkEnd	936722828
5	NoFeedLowProb	936722909
8	BlinkStart	936723139
8	BlinkEnd	936726368
8	Feed	936726448
5	BlinkStart	936726678
5	BlinkEnd	936732596
5	NoFeedLowProb	936732676
28	BlinkStart	936732906
28	BlinkEnd	936736328
2	Feed	936736408
5	BlinkStart	936736639
5	BlinkEnd	936748366
5	NoFeedLowProb	936748446
28	BlinkStart	936748677
28	BlinkEnd	936751971
2	Feed	936752051
5	BlinkStart	936752281
5	BlinkEnd	936758058
5	NoFeedLowProb	936758139
28	BlinkStart	936758369
28	BlinkEnd	936761257
8	Feed	936761338
5	BlinkStart	936761568
5	BlinkEnd	936766278
5	NoFeedLowProb	936766358
28	BlinkStart	936766588
28	BlinkEnd	936770424
2	Feed	936770504
5	BlinkStart	936770734
5	BlinkEnd	936776505
5	NoFeedLowProb	936776585
28	BlinkStart	936776816
28	BlinkEnd	936780039
