Wednesday, April 1, 2020	12:25:21 PM	Game1.txt	1619465435
cued	now	1619487789
7	BlinkStart	1619487869
7	BlinkEnd	1619974080
0	NoFeedLowProb	1619974160
5	BlinkStart	1619974390
5	BlinkEnd	1619982509
5	NoFeedLowProb	1619982590
2	BlinkStart	1619982821
2	BlinkEnd	1619989058
2	Feed	1619989138
5	BlinkStart	1619989368
5	BlinkEnd	1620006334
5	NoFeedLowProb	1620006414
2	BlinkStart	1620006645
2	BlinkEnd	1620010305
2	Feed	1620010385
5	BlinkStart	1620010616
5	BlinkEnd	1620026186
5	NoFeedLowProb	1620026266
2	BlinkStart	1620026496
2	BlinkEnd	1620030038
2	Feed	1620030118
5	BlinkStart	1620030349
5	BlinkEnd	1620046701
5	NoFeedLowProb	1620046782
28	BlinkStart	1620047012
28	BlinkEnd	1620051037
2	Feed	1620051118
5	BlinkStart	1620051348
5	BlinkEnd	1620065650
5	NoFeedLowProb	1620065730
1	BlinkStart	1620065960
1	BlinkEnd	1620071677
1	NoFeedLowProb	1620071757
4	BlinkStart	1620071988
4	BlinkEnd	1620076179
4	Feed	1620076259
1	BlinkStart	1620076489
1	BlinkEnd	1620083708
1	NoFeedLowProb	1620083788
4	BlinkStart	1620084018
4	BlinkEnd	1620092728
4	Feed	1620092809
1	BlinkStart	1620093039
1	BlinkEnd	1620098745
1	NoFeedLowProb	1620098826
4	BlinkStart	1620099056
4	BlinkEnd	1620127864
4	Feed	1620127944
1	BlinkStart	1620128175
1	BlinkEnd	1620133096
1	NoFeedLowProb	1620133177
64	BlinkStart	1620133408
64	BlinkEnd	1620137073
6	Feed	1620137154
1	BlinkStart	1620137384
1	BlinkEnd	1620151635
1	NoFeedLowProb	1620151715
5	BlinkStart	1620151945
5	BlinkEnd	1620155541
5	NoFeedLowProb	1620155621
2	BlinkStart	1620155851
2	BlinkEnd	1620158251
2	Feed	1620158332
5	BlinkStart	1620158562
5	BlinkEnd	1620165171
5	NoFeedLowProb	1620165251
2	BlinkStart	1620165481
2	BlinkEnd	1620168543
2	Feed	1620168623
5	BlinkStart	1620168853
5	BlinkEnd	1620182491
5	NoFeedLowProb	1620182571
2	BlinkStart	1620182801
2	BlinkEnd	1620185626
2	Feed	1620185706
5	BlinkStart	1620185937
5	BlinkEnd	1620191826
5	NoFeedLowProb	1620191906
82	BlinkStart	1620192137
82	BlinkEnd	1620195369
8	Feed	1620195449
5	BlinkStart	1620195679
5	BlinkEnd	1620204698
5	NoFeedLowProb	1620204778
1	BlinkStart	1620205008
1	BlinkEnd	1620208304
1	NoFeedLowProb	1620208384
4	BlinkStart	1620208615
4	BlinkEnd	1620211193
4	Feed	1620211273
1	BlinkStart	1620211503
