Tuesday, April 7, 2020	11:22:18 AM	Game1.txt	2134082894
cued	now	2134112831
7	BlinkStart	2134112911
7	BlinkEnd	2134159819
0	NoFeedLowProb	2134159899
5	BlinkStart	2134160129
5	BlinkEnd	2134175052
5	NoFeedLowProb	2134175132
2	BlinkStart	2134175363
2	BlinkEnd	2134179257
2	Feed	2134179337
5	BlinkStart	2134179567
5	BlinkEnd	2134186119
5	NoFeedLowProb	2134186199
2	BlinkStart	2134186429
2	BlinkEnd	2134192550
2	Feed	2134192630
5	BlinkStart	2134192860
5	BlinkEnd	2134208682
5	NoFeedLowProb	2134208762
2	BlinkStart	2134208993
2	BlinkEnd	2134212890
2	Feed	2134212970
5	BlinkStart	2134213200
5	BlinkEnd	2134235571
5	NoFeedLowProb	2134235651
82	BlinkStart	2134235881
82	BlinkEnd	2134239368
8	Feed	2134239448
5	BlinkStart	2134239679
5	BlinkEnd	2134254945
5	NoFeedLowProb	2134255026
1	BlinkStart	2134255256
1	BlinkEnd	2134258917
1	NoFeedLowProb	2134258997
6	BlinkStart	2134259228
6	BlinkEnd	2134262224
6	Feed	2134262304
1	BlinkStart	2134262535
1	BlinkEnd	2134274141
1	NoFeedLowProb	2134274221
6	BlinkStart	2134274452
6	BlinkEnd	2134277447
6	Feed	2134277527
1	BlinkStart	2134277758
1	BlinkEnd	2134289416
1	NoFeedLowProb	2134289496
6	BlinkStart	2134289727
6	BlinkEnd	2134292308
6	Feed	2134292389
1	BlinkStart	2134292619
1	BlinkEnd	2134305056
1	NoFeedLowProb	2134305136
46	BlinkStart	2134305366
46	BlinkEnd	2134308613
6	Feed	2134308693
1	BlinkStart	2134308923
1	BlinkEnd	2134322149
1	NoFeedLowProb	2134322229
5	BlinkStart	2134322459
5	BlinkEnd	2134325877
5	NoFeedLowProb	2134325957
2	BlinkStart	2134326189
2	BlinkEnd	2134328593
2	Feed	2134328673
5	BlinkStart	2134328903
5	BlinkEnd	2134337311
5	NoFeedLowProb	2134337391
2	BlinkStart	2134337622
2	BlinkEnd	2134340742
2	Feed	2134340822
5	BlinkStart	2134341053
5	BlinkEnd	2134349887
5	NoFeedLowProb	2134349967
2	BlinkStart	2134350197
2	BlinkEnd	2134352889
2	Feed	2134352969
5	BlinkStart	2134353199
5	BlinkEnd	2134363725
5	NoFeedLowProb	2134363806
82	BlinkStart	2134364036
82	BlinkEnd	2134366613
8	Feed	2134366693
5	BlinkStart	2134366924
5	BlinkEnd	2134379304
5	NoFeedLowProb	2134379384
1	BlinkStart	2134379614
1	BlinkEnd	2134383097
1	NoFeedLowProb	2134383177
4	BlinkStart	2134383407
4	BlinkEnd	2134386054
4	Feed	2134386134
1	BlinkStart	2134386364
1	BlinkEnd	2134394349
1	NoFeedLowProb	2134394429
4	BlinkStart	2134394659
