Wednesday, April 8, 2020	11:40:59 AM	Game1.txt	2221604140
cued	now	2221621350
7	BlinkStart	2221621430
7	BlinkEnd	2221923997
0	NoFeedLowProb	2221924077
5	BlinkStart	2221924307
5	BlinkEnd	2221927750
5	NoFeedLowProb	2221927830
8	BlinkStart	2221928060
8	BlinkEnd	2221933634
8	Feed	2221933714
5	BlinkStart	2221933944
5	BlinkEnd	2221949407
5	NoFeedLowProb	2221949487
8	BlinkStart	2221949717
8	BlinkEnd	2221954288
8	Feed	2221954368
5	BlinkStart	2221954598
5	BlinkEnd	2221961981
5	NoFeedLowProb	2221962061
8	BlinkStart	2221962291
8	BlinkEnd	2221967997
8	Feed	2221968077
5	BlinkStart	2221968307
5	BlinkEnd	2221984433
5	NoFeedLowProb	2221984513
28	BlinkStart	2221984743
28	BlinkEnd	2221988383
2	Feed	2221988464
5	BlinkStart	2221988694
5	BlinkEnd	2222004619
5	NoFeedLowProb	2222004699
1	BlinkStart	2222004929
1	BlinkEnd	2222008906
1	NoFeedLowProb	2222008987
6	BlinkStart	2222009218
6	BlinkEnd	2222012439
6	Feed	2222012519
1	BlinkStart	2222012750
1	BlinkEnd	2222024602
1	NoFeedLowProb	2222024682
6	BlinkStart	2222024912
6	BlinkEnd	2222027886
6	Feed	2222027967
1	BlinkStart	2222028197
1	BlinkEnd	2222041519
1	NoFeedLowProb	2222041600
6	BlinkStart	2222041830
6	BlinkEnd	2222044523
6	Feed	2222044603
1	BlinkStart	2222044833
1	BlinkEnd	2222059425
1	NoFeedLowProb	2222059505
46	BlinkStart	2222059735
46	BlinkEnd	2222062568
6	Feed	2222062648
1	BlinkStart	2222062878
1	BlinkEnd	2222074139
1	NoFeedLowProb	2222074219
5	BlinkStart	2222074449
5	BlinkEnd	2222077950
5	NoFeedLowProb	2222078030
8	BlinkStart	2222078261
8	BlinkEnd	2222080816
8	Feed	2222080896
5	BlinkStart	2222081128
5	BlinkEnd	2222088645
5	NoFeedLowProb	2222088725
8	BlinkStart	2222088955
8	BlinkEnd	2222093992
8	Feed	2222094073
5	BlinkStart	2222094303
5	BlinkEnd	2222101272
5	NoFeedLowProb	2222101352
8	BlinkStart	2222101582
8	BlinkEnd	2222104486
8	Feed	2222104567
5	BlinkStart	2222104797
5	BlinkEnd	2222112974
5	NoFeedLowProb	2222113054
82	BlinkStart	2222113284
82	BlinkEnd	2222115910
2	Feed	2222115990
5	BlinkStart	2222116220
5	BlinkEnd	2222121665
5	NoFeedLowProb	2222121745
1	BlinkStart	2222121975
1	BlinkEnd	2222125601
1	NoFeedLowProb	2222125682
4	BlinkStart	2222125912
4	BlinkEnd	2222131021
4	Feed	2222131101
1	BlinkStart	2222131331
1	BlinkEnd	2222144655
1	NoFeedLowProb	2222144735
4	BlinkStart	2222144966
4	BlinkEnd	2222147855
4	Feed	2222147935
1	BlinkStart	2222148166
1	BlinkEnd	2222158759
1	NoFeedLowProb	2222158839
4	BlinkStart	2222159069
4	BlinkEnd	2222161892
4	Feed	2222161973
1	BlinkStart	2222162203
1	BlinkEnd	2222173926
1	NoFeedLowProb	2222174007
64	BlinkStart	2222174237
64	BlinkEnd	2222176999
4	Feed	2222177079
1	BlinkStart	2222177309
1	BlinkEnd	2222188507
1	NoFeedLowProb	2222188587
5	BlinkStart	2222188817
5	BlinkEnd	2222192307
5	NoFeedLowProb	2222192387
2	BlinkStart	2222192617
2	BlinkEnd	2222195117
2	Feed	2222195197
5	BlinkStart	2222195428
5	BlinkEnd	2222205543
5	NoFeedLowProb	2222205623
2	BlinkStart	2222205853
2	BlinkEnd	2222208814
2	Feed	2222208894
5	BlinkStart	2222209124
5	BlinkEnd	2222224131
5	NoFeedLowProb	2222224212
2	BlinkStart	2222224442
2	BlinkEnd	2222226870
2	Feed	2222226951
5	BlinkStart	2222227181
5	BlinkEnd	2222243311
5	NoFeedLowProb	2222243391
82	BlinkStart	2222243622
82	BlinkEnd	2222246186
2	Feed	2222246266
5	BlinkStart	2222246496
5	BlinkEnd	2222259549
5	NoFeedLowProb	2222259629
1	BlinkStart	2222259859
1	BlinkEnd	2222263568
1	NoFeedLowProb	2222263648
4	BlinkStart	2222263878
4	BlinkEnd	2222266644
4	Feed	2222266725
