Thursday, May 14, 2020	12:28:12 PM	Game1.txt	124996891
cued	now	125017034
9	BlinkStart	125017114
9	BlinkEnd	125321383
0	NoFeedLowProb	125321464
1	BlinkStart	125321694
1	BlinkEnd	125324273
1	NoFeedLowProb	125324353
6	BlinkStart	125324583
6	BlinkEnd	125328910
6	Feed	125328990
1	BlinkStart	125329221
1	BlinkEnd	125341480
1	NoFeedLowProb	125341560
6	BlinkStart	125341790
6	BlinkEnd	125345997
6	Feed	125346077
1	BlinkStart	125346307
1	BlinkEnd	125353513
1	NoFeedLowProb	125353593
6	BlinkStart	125353823
6	BlinkEnd	125356887
6	Feed	125356968
1	BlinkStart	125357198
1	BlinkEnd	125363025
1	NoFeedLowProb	125363105
4,6	BlinkStart	125363336
4,6	BlinkEnd	125367172
4	Feed	125367252
1	BlinkStart	125367482
1	BlinkEnd	125374570
1	NoFeedLowProb	125374650
5	BlinkStart	125374881
5	BlinkEnd	125378781
5	NoFeedLowProb	125378861
2	BlinkStart	125379092
2	BlinkEnd	125383304
2	Feed	125383384
5	BlinkStart	125383614
5	BlinkEnd	125391180
5	NoFeedLowProb	125391260
2	BlinkStart	125391490
2	BlinkEnd	125394304
2	Feed	125394384
5	BlinkStart	125394614
5	BlinkEnd	125401227
5	NoFeedLowProb	125401307
2	BlinkStart	125401538
2	BlinkEnd	125404598
2	Feed	125404679
5	BlinkStart	125404909
5	BlinkEnd	125411875
5	NoFeedLowProb	125411955
2,8,3	BlinkStart	125412185
2,8,3	BlinkEnd	125415428
8	Feed	125415508
5	BlinkStart	125415738
5	BlinkEnd	125420904
5	NoFeedLowProb	125420984
2,8	BlinkStart	125421214
2,8	BlinkEnd	125425351
2	Feed	125425432
5	BlinkStart	125425662
5	BlinkEnd	125433782
5	NoFeedLowProb	125433862
2,8	BlinkStart	125434093
2,8	BlinkEnd	125437746
2	Feed	125437826
5	BlinkStart	125438056
5	BlinkEnd	125444242
5	NoFeedLowProb	125444322
2,8	BlinkStart	125444552
2,8	BlinkEnd	125447620
8	Feed	125447700
5	BlinkStart	125447930
5	BlinkEnd	125452913
5	NoFeedLowProb	125452993
2,8	BlinkStart	125453223
2,8	BlinkEnd	125456463
2	Feed	125456543
5	BlinkStart	125456774
5	BlinkEnd	125463615
5	NoFeedLowProb	125463695
2,8	BlinkStart	125463925
2,8	BlinkEnd	125467049
8	Feed	125467129
5	BlinkStart	125467360
5	BlinkEnd	125476129
5	NoFeedLowProb	125476209
1	BlinkStart	125476440
1	BlinkEnd	125479563
1	NoFeedLowProb	125479643
4	BlinkStart	125479874
4	BlinkEnd	125482869
4	Feed	125482949
1	BlinkStart	125483180
1	BlinkEnd	125488107
1	NoFeedLowProb	125488187
4	BlinkStart	125488417
4	BlinkEnd	125492682
4	Feed	125492763
1	BlinkStart	125492994
1	BlinkEnd	125509412
1	NoFeedLowProb	125509492
4	BlinkStart	125509723
4	BlinkEnd	125512949
