Thursday, May 21, 2020	5:29:11 PM	Game1.txt	747856310
Cued	Now	747864257
9	BlinkStart	747864307
9	BlinkEnd	748119221
0	NoFeedLowProb	748119301
1	BlinkStart	748119501
1	BlinkEnd	748128185
1	NoFeedLowProb	748128265
6	BlinkStart	748128465
6	BlinkEnd	748132195
6	Feed	748132275
1	BlinkStart	748132476
1	BlinkEnd	748138884
1	NoFeedLowProb	748138964
6	BlinkStart	748139164
6	BlinkEnd	748157060
6	Feed	748157141
1	BlinkStart	748157341
1	BlinkEnd	748167622
1	NoFeedLowProb	748167702
4,6	BlinkStart	748167902
4,6	BlinkEnd	748171236
4	Feed	748171317
1	BlinkStart	748171517
1	BlinkEnd	748182266
1	NoFeedLowProb	748182346
5	BlinkStart	748182546
5	BlinkEnd	748186001
5	NoFeedLowProb	748186081
8	BlinkStart	748186281
8	BlinkEnd	748219759
8	Feed	748219839
5	BlinkStart	748220039
5	BlinkEnd	748232187
5	NoFeedLowProb	748232267
8	BlinkStart	748232467
8	BlinkEnd	748235134
8	Feed	748235214
5	BlinkStart	748235414
5	BlinkEnd	748245833
5	NoFeedLowProb	748245913
8,2	BlinkStart	748246114
8,2	BlinkEnd	748248436
8	Feed	748248517
5	BlinkStart	748248717
5	BlinkEnd	748258863
5	NoFeedLowProb	748258943
8,2	BlinkStart	748259143
8,2	BlinkEnd	748261398
8	Feed	748261478
5	BlinkStart	748261678
5	BlinkEnd	748272026
5	NoFeedLowProb	748272106
8,2	BlinkStart	748272306
8,2	BlinkEnd	748274500
8	Feed	748274580
5	BlinkStart	748274780
5	BlinkEnd	748287936
5	NoFeedLowProb	748288016
8,2	BlinkStart	748288217
8,2	BlinkEnd	748290607
8	Feed	748290688
5	BlinkStart	748290888
5	BlinkEnd	748300767
5	NoFeedLowProb	748300847
8,2	BlinkStart	748301048
8,2	BlinkEnd	748303107
8	Feed	748303187
5	BlinkStart	748303388
5	BlinkEnd	748313743
5	NoFeedLowProb	748313823
8,2	BlinkStart	748314025
8,2	BlinkEnd	748316215
8	Feed	748316295
5	BlinkStart	748316495
5	BlinkEnd	748330244
5	NoFeedLowProb	748330324
1	BlinkStart	748330525
1	BlinkEnd	748333184
1	NoFeedLowProb	748333264
6	BlinkStart	748333464
6	BlinkEnd	748335926
6	Feed	748336006
1	BlinkStart	748336206
1	BlinkEnd	748343146
1	NoFeedLowProb	748343226
6,4	BlinkStart	748343426
6,4	BlinkEnd	748346027
4	Feed	748346107
1	BlinkStart	748346332
1	BlinkEnd	748354508
1	NoFeedLowProb	748354588
5	BlinkStart	748354796
5	BlinkEnd	748358591
5	NoFeedLowProb	748358671
8	BlinkStart	748358892
8	BlinkEnd	748361325
8	Feed	748361405
5	BlinkStart	748361633
5	BlinkEnd	748371353
5	NoFeedLowProb	748371433
2,8	BlinkStart	748371657
2,8	BlinkEnd	748373824
8	Feed	748373904
5	BlinkStart	748374147
5	BlinkEnd	748383851
5	NoFeedLowProb	748383931
2,8	BlinkStart	748384144
2,8	BlinkEnd	748386189
8	Feed	748386269
5	BlinkStart	748386497
5	BlinkEnd	748395080
5	NoFeedLowProb	748395160
2,8	BlinkStart	748395407
2,8	BlinkEnd	748397552
8	Feed	748397632
5	BlinkStart	748397868
5	BlinkEnd	748407448
5	NoFeedLowProb	748407528
2,8	BlinkStart	748407778
2,8	BlinkEnd	748410194
8	Feed	748410274
5	BlinkStart	748410503
5	BlinkEnd	748420549
5	NoFeedLowProb	748420629
2,8	BlinkStart	748420837
2,8	BlinkEnd	748438404
8	Feed	748438484
5	BlinkStart	748438711
5	BlinkEnd	748443675
5	NoFeedLowProb	748443755
2,8	BlinkStart	748443982
2,8	BlinkEnd	748447223
8	Feed	748447303
5	BlinkStart	748447528
5	BlinkEnd	748466272
5	NoFeedLowProb	748466353
1	BlinkStart	748466579
1	BlinkEnd	748469816
1	NoFeedLowProb	748469896
4	BlinkStart	748470123
4	BlinkEnd	748472623
4	Feed	748472704
1	BlinkStart	748472940
1	BlinkEnd	748483577
1	NoFeedLowProb	748483657
4	BlinkStart	748483888
4	BlinkEnd	748485985
4	Feed	748486065
1	BlinkStart	748486319
1	BlinkEnd	748495478
1	NoFeedLowProb	748495558
4	BlinkStart	748495781
4	BlinkEnd	748497686
4	Feed	748497766
1	BlinkStart	748498016
1	BlinkEnd	748511450
1	NoFeedLowProb	748511530
4,6	BlinkStart	748511762
4,6	BlinkEnd	748514132
4	Feed	748514212
1	BlinkStart	748514436
1	BlinkEnd	748521411
1	NoFeedLowProb	748521491
5	BlinkStart	748521720
5	BlinkEnd	748524552
5	NoFeedLowProb	748524632
8	BlinkStart	748524882
8	BlinkEnd	748535311
8	Feed	748535392
5	BlinkStart	748535617
5	BlinkEnd	748546075
5	NoFeedLowProb	748546155
8	BlinkStart	748546360
