Monday, May 25, 2020	9:55:59 AM	Game1.txt	1066263700
Cued	Now	1066286937
9	BlinkStart	1066286987
9	BlinkEnd	1066569294
0	NoFeedLowProb	1066569375
5	BlinkStart	1066569575
5	BlinkEnd	1066575291
5	NoFeedLowProb	1066575371
8,2	BlinkStart	1066575571
8,2	BlinkEnd	1066580225
2	Feed	1066580305
5	BlinkStart	1066580505
5	BlinkEnd	1066586601
5	NoFeedLowProb	1066586681
8,2	BlinkStart	1066586881
8,2	BlinkEnd	1066590988
8	Feed	1066591068
5	BlinkStart	1066591268
5	BlinkEnd	1066603805
5	NoFeedLowProb	1066603885
1	BlinkStart	1066604085
1	BlinkEnd	1066607473
1	NoFeedLowProb	1066607554
6	BlinkStart	1066607754
6	BlinkEnd	1066612946
6	Feed	1066613026
1	BlinkStart	1066613227
1	BlinkEnd	1066625648
1	NoFeedLowProb	1066625728
6	BlinkStart	1066625928
6	BlinkEnd	1066630099
6	Feed	1066630179
1	BlinkStart	1066630379
1	BlinkEnd	1066639187
1	NoFeedLowProb	1066639267
6	BlinkStart	1066639468
6	BlinkEnd	1066643336
6	Feed	1066643416
1	BlinkStart	1066643617
1	BlinkEnd	1066652900
1	NoFeedLowProb	1066652980
6,4	BlinkStart	1066653180
6,4	BlinkEnd	1066656811
4	Feed	1066656891
1	BlinkStart	1066657091
1	BlinkEnd	1066664335
1	NoFeedLowProb	1066664415
6,4	BlinkStart	1066664615
6,4	BlinkEnd	1066670952
6	Feed	1066671032
1	BlinkStart	1066671232
1	BlinkEnd	1066677025
1	NoFeedLowProb	1066677105
6,4	BlinkStart	1066677307
6,4	BlinkEnd	1066680517
4	Feed	1066680597
1	BlinkStart	1066680798
1	BlinkEnd	1066686956
1	NoFeedLowProb	1066687036
6,4	BlinkStart	1066687236
6,4	BlinkEnd	1066690269
4	Feed	1066690349
1	BlinkStart	1066690549
1	BlinkEnd	1066697420
1	NoFeedLowProb	1066697500
6,4	BlinkStart	1066697700
6,4	BlinkEnd	1066700554
4	Feed	1066700634
1	BlinkStart	1066700835
1	BlinkEnd	1066709211
1	NoFeedLowProb	1066709291
6,4	BlinkStart	1066709492
6,4	BlinkEnd	1066712223
4	Feed	1066712303
1	BlinkStart	1066712503
1	BlinkEnd	1066719140
1	NoFeedLowProb	1066719220
5	BlinkStart	1066719420
5	BlinkEnd	1066722391
5	NoFeedLowProb	1066722471
2	BlinkStart	1066722671
2	BlinkEnd	1066725818
2	Feed	1066725899
5	BlinkStart	1066726099
5	BlinkEnd	1066737072
5	NoFeedLowProb	1066737152
8,2	BlinkStart	1066737352
8,2	BlinkEnd	1066740259
8	Feed	1066740339
5	BlinkStart	1066740539
5	BlinkEnd	1066747664
5	NoFeedLowProb	1066747744
1	BlinkStart	1066747988
1	BlinkEnd	1066751690
1	NoFeedLowProb	1066751770
4	BlinkStart	1066751970
4	BlinkEnd	1066756505
4	Feed	1066756585
1	BlinkStart	1066756786
1	BlinkEnd	1066763124
1	NoFeedLowProb	1066763204
4	BlinkStart	1066763415
4	BlinkEnd	1066766187
4	Feed	1066766267
1	BlinkStart	1066766467
1	BlinkEnd	1066773768
1	NoFeedLowProb	1066773848
4	BlinkStart	1066774092
4	BlinkEnd	1066776725
4	Feed	1066776805
1	BlinkStart	1066777005
1	BlinkEnd	1066783336
1	NoFeedLowProb	1066783416
6,4	BlinkStart	1066783644
6,4	BlinkEnd	1066786110
4	Feed	1066786190
1	BlinkStart	1066786391
1	BlinkEnd	1066793210
1	NoFeedLowProb	1066793291
6,4	BlinkStart	1066793516
6,4	BlinkEnd	1066796211
4	Feed	1066796292
1	BlinkStart	1066796492
1	BlinkEnd	1066803257
1	NoFeedLowProb	1066803337
6,4	BlinkStart	1066803565
6,4	BlinkEnd	1066806262
4	Feed	1066806342
1	BlinkStart	1066806542
1	BlinkEnd	1066812578
1	NoFeedLowProb	1066812658
6,4	BlinkStart	1066812879
6,4	BlinkEnd	1066815707
4	Feed	1066815787
1	BlinkStart	1066815987
1	BlinkEnd	1066822383
1	NoFeedLowProb	1066822463
6,4	BlinkStart	1066822673
6,4	BlinkEnd	1066825881
6	Feed	1066825961
1	BlinkStart	1066826162
1	BlinkEnd	1066832732
1	NoFeedLowProb	1066832812
6,4	BlinkStart	1066833014
6,4	BlinkEnd	1066836402
6	Feed	1066836482
1	BlinkStart	1066836682
1	BlinkEnd	1066843624
1	NoFeedLowProb	1066843704
5	BlinkStart	1066843920
5	BlinkEnd	1066846931
5	NoFeedLowProb	1066847011
8	BlinkStart	1066847217
8	BlinkEnd	1066850243
8	Feed	1066850323
5	BlinkStart	1066850523
5	BlinkEnd	1066859145
5	NoFeedLowProb	1066859225
8,2	BlinkStart	1066859466
8,2	BlinkEnd	1066862881
8	Feed	1066862961
5	BlinkStart	1066863162
5	BlinkEnd	1066870100
5	NoFeedLowProb	1066870180
1	BlinkStart	1066870381
1	BlinkEnd	1066873593
1	NoFeedLowProb	1066873673
4	BlinkStart	1066873873
4	BlinkEnd	1066876534
4	Feed	1066876615
1	BlinkStart	1066876816
1	BlinkEnd	1066882976
1	NoFeedLowProb	1066883057
4	BlinkStart	1066883257
4	BlinkEnd	1066885324
4	Feed	1066885404
1	BlinkStart	1066885605
1	BlinkEnd	1066893747
1	NoFeedLowProb	1066893827
4	BlinkStart	1066894027
4	BlinkEnd	1066896693
4	Feed	1066896773
1	BlinkStart	1066896974
1	BlinkEnd	1066903190
1	NoFeedLowProb	1066903270
4,6	BlinkStart	1066903470
4,6	BlinkEnd	1066906083
4	Feed	1066906163
1	BlinkStart	1066906363
1	BlinkEnd	1066913661
1	NoFeedLowProb	1066913741
4,6	BlinkStart	1066913969
4,6	BlinkEnd	1066916422
4	Feed	1066916502
1	BlinkStart	1066916702
1	BlinkEnd	1066922624
1	NoFeedLowProb	1066922704
4,6	BlinkStart	1066922925
4,6	BlinkEnd	1066925390
4	Feed	1066925470
1	BlinkStart	1066925672
1	BlinkEnd	1066931772
1	NoFeedLowProb	1066931852
4,6	BlinkStart	1066932078
4,6	BlinkEnd	1066935204
4	Feed	1066935284
1	BlinkStart	1066935489
1	BlinkEnd	1066941934
1	NoFeedLowProb	1066942014
4,6	BlinkStart	1066942258
4,6	BlinkEnd	1066944827
4	Feed	1066944907
1	BlinkStart	1066945113
1	BlinkEnd	1066951387
1	NoFeedLowProb	1066951468
4,6	BlinkStart	1066951675
4,6	BlinkEnd	1066954152
4	Feed	1066954232
1	BlinkStart	1066954435
1	BlinkEnd	1066960470
1	NoFeedLowProb	1066960551
5	BlinkStart	1066960760
5	BlinkEnd	1066963483
5	NoFeedLowProb	1066963563
8	BlinkStart	1066963765
8	BlinkEnd	1066967089
8	Feed	1066967170
5	BlinkStart	1066967370
5	BlinkEnd	1066973104
5	NoFeedLowProb	1066973184
8	BlinkStart	1066973384
8	BlinkEnd	1066976348
8	Feed	1066976428
5	BlinkStart	1066976628
5	BlinkEnd	1066982668
5	NoFeedLowProb	1066982749
8	BlinkStart	1066982972
8	BlinkEnd	1066985681
8	Feed	1066985761
5	BlinkStart	1066985962
5	BlinkEnd	1066993202
5	NoFeedLowProb	1066993282
2,8	BlinkStart	1066993498
2,8	BlinkEnd	1066996031
8	Feed	1066996111
5	BlinkStart	1066996312
5	BlinkEnd	1067005109
5	NoFeedLowProb	1067005189
1	BlinkStart	1067005399
1	BlinkEnd	1067008596
1	NoFeedLowProb	1067008676
6	BlinkStart	1067008876
6	BlinkEnd	1067012214
6	Feed	1067012294
1	BlinkStart	1067012494
1	BlinkEnd	1067018703
1	NoFeedLowProb	1067018783
6	BlinkStart	1067018983
6	BlinkEnd	1067021597
6	Feed	1067021677
1	BlinkStart	1067021877
1	BlinkEnd	1067028331
1	NoFeedLowProb	1067028411
6,4	BlinkStart	1067028644
6,4	BlinkEnd	1067031222
6	Feed	1067031302
1	BlinkStart	1067031502
1	BlinkEnd	1067037175
1	NoFeedLowProb	1067037255
6,4	BlinkStart	1067037465
6,4	BlinkEnd	1067040007
4	Feed	1067040087
1	BlinkStart	1067040287
1	BlinkEnd	1067048795
1	NoFeedLowProb	1067048875
6,4	BlinkStart	1067049086
6,4	BlinkEnd	1067051442
4	Feed	1067051522
1	BlinkStart	1067051723
1	BlinkEnd	1067061543
1	NoFeedLowProb	1067061623
6,4	BlinkStart	1067061823
6,4	BlinkEnd	1067064553
4	Feed	1067064633
1	BlinkStart	1067064834
1	BlinkEnd	1067071353
1	NoFeedLowProb	1067071433
6,4	BlinkStart	1067071633
6,4	BlinkEnd	1067074121
4	Feed	1067074201
1	BlinkStart	1067074401
1	BlinkEnd	1067081343
1	NoFeedLowProb	1067081424
6,4	BlinkStart	1067081624
6,4	BlinkEnd	1067084109
4	Feed	1067084189
1	BlinkStart	1067084389
1	BlinkEnd	1067090965
1	NoFeedLowProb	1067091046
5	BlinkStart	1067091262
5	BlinkEnd	1067094093
5	NoFeedLowProb	1067094173
8,2	BlinkStart	1067094385
8,2	BlinkEnd	1067096925
8	Feed	1067097005
5	BlinkStart	1067097205
5	BlinkEnd	1067105530
5	NoFeedLowProb	1067105610
8,2	BlinkStart	1067105821
8,2	BlinkEnd	1067108543
8	Feed	1067108623
5	BlinkStart	1067108823
5	BlinkEnd	1067118227
5	NoFeedLowProb	1067118307
1	BlinkStart	1067118527
1	BlinkEnd	1067121830
1	NoFeedLowProb	1067121910
6,4	BlinkStart	1067122121
6,4	BlinkEnd	1067124599
4	Feed	1067124679
1	BlinkStart	1067124879
1	BlinkEnd	1067130138
1	NoFeedLowProb	1067130218
6,4	BlinkStart	1067130436
6,4	BlinkEnd	1067133874
4	Feed	1067133954
1	BlinkStart	1067134154
1	BlinkEnd	1067138619
1	NoFeedLowProb	1067138699
6,4	BlinkStart	1067138899
6,4	BlinkEnd	1067142774
6	Feed	1067142854
1	BlinkStart	1067143054
1	BlinkEnd	1067149631
1	NoFeedLowProb	1067149711
6,4	BlinkStart	1067149917
6,4	BlinkEnd	1067152640
4	Feed	1067152720
1	BlinkStart	1067152920
1	BlinkEnd	1067157870
1	NoFeedLowProb	1067157950
6,4	BlinkStart	1067158174
6,4	BlinkEnd	1067161126
6	Feed	1067161207
1	BlinkStart	1067161407
1	BlinkEnd	1067168942
1	NoFeedLowProb	1067169022
6,4	BlinkStart	1067169232
6,4	BlinkEnd	1067171706
4	Feed	1067171787
1	BlinkStart	1067171988
1	BlinkEnd	1067176582
1	NoFeedLowProb	1067176662
6,4	BlinkStart	1067176880
6,4	BlinkEnd	1067179958
6	Feed	1067180038
1	BlinkStart	1067180238
1	BlinkEnd	1067188555
1	NoFeedLowProb	1067188636
5	BlinkStart	1067188874
5	BlinkEnd	1067192168
5	NoFeedLowProb	1067192248
2	BlinkStart	1067192449
2	BlinkEnd	1067195419
2	Feed	1067195500
5	BlinkStart	1067195701
5	BlinkEnd	1067207873
5	NoFeedLowProb	1067207953
2	BlinkStart	1067208153
2	BlinkEnd	1067210880
2	Feed	1067210961
5	BlinkStart	1067211161
5	BlinkEnd	1067223095
5	NoFeedLowProb	1067223176
2	BlinkStart	1067223406
2	BlinkEnd	1067225865
2	Feed	1067225945
5	BlinkStart	1067226145
5	BlinkEnd	1067238433
5	NoFeedLowProb	1067238513
2,8	BlinkStart	1067238718
2,8	BlinkEnd	1067241197
2	Feed	1067241277
5	BlinkStart	1067241477
5	BlinkEnd	1067254080
5	NoFeedLowProb	1067254160
1	BlinkStart	1067254382
1	BlinkEnd	1067257863
1	NoFeedLowProb	1067257943
4	BlinkStart	1067258152
4	BlinkEnd	1067260755
4	Feed	1067260835
1	BlinkStart	1067261042
1	BlinkEnd	1067267371
1	NoFeedLowProb	1067267451
4,6	BlinkStart	1067267678
4,6	BlinkEnd	1067270385
4	Feed	1067270465
1	BlinkStart	1067270665
1	BlinkEnd	1067275862
1	NoFeedLowProb	1067275942
4,6	BlinkStart	1067276143
4,6	BlinkEnd	1067279282
4	Feed	1067279362
1	BlinkStart	1067279562
1	BlinkEnd	1067286325
1	NoFeedLowProb	1067286405
4,6	BlinkStart	1067286605
4,6	BlinkEnd	1067290718
6	Feed	1067290798
1	BlinkStart	1067290999
1	BlinkEnd	1067301069
1	NoFeedLowProb	1067301149
4,6	BlinkStart	1067301349
4,6	BlinkEnd	1067304253
4	Feed	1067304333
1	BlinkStart	1067304538
1	BlinkEnd	1067311298
1	NoFeedLowProb	1067311378
4,6	BlinkStart	1067311588
4,6	BlinkEnd	1067314600
4	Feed	1067314680
1	BlinkStart	1067314880
1	BlinkEnd	1067320925
1	NoFeedLowProb	1067321005
4,6	BlinkStart	1067321213
4,6	BlinkEnd	1067324227
6	Feed	1067324307
1	BlinkStart	1067324507
1	BlinkEnd	1067333861
1	NoFeedLowProb	1067333942
5	BlinkStart	1067334142
5	BlinkEnd	1067337530
5	NoFeedLowProb	1067337610
8	BlinkStart	1067337811
8	BlinkEnd	1067340720
8	Feed	1067340800
5	BlinkStart	1067341000
5	BlinkEnd	1067351791
5	NoFeedLowProb	1067351871
8,2	BlinkStart	1067352072
8,2	BlinkEnd	1067355640
2	Feed	1067355720
5	BlinkStart	1067355921
5	BlinkEnd	1067365746
5	NoFeedLowProb	1067365826
1	BlinkStart	1067366040
1	BlinkEnd	1067369412
1	NoFeedLowProb	1067369492
4	BlinkStart	1067369693
4	BlinkEnd	1067371938
4	Feed	1067372019
1	BlinkStart	1067372232
1	BlinkEnd	1067382354
1	NoFeedLowProb	1067382434
4	BlinkStart	1067382634
4	BlinkEnd	1067385356
4	Feed	1067385436
1	BlinkStart	1067385637
1	BlinkEnd	1067395103
1	NoFeedLowProb	1067395183
6,4	BlinkStart	1067395392
6,4	BlinkEnd	1067398048
4	Feed	1067398128
1	BlinkStart	1067398336
1	BlinkEnd	1067407500
1	NoFeedLowProb	1067407580
6,4	BlinkStart	1067407820
6,4	BlinkEnd	1067412190
4	Feed	1067412270
1	BlinkStart	1067412470
1	BlinkEnd	1067425668
1	NoFeedLowProb	1067425748
6,4	BlinkStart	1067425949
6,4	BlinkEnd	1067431993
4	Feed	1067432073
1	BlinkStart	1067432273
1	BlinkEnd	1067445401
1	NoFeedLowProb	1067445481
6,4	BlinkStart	1067445712
6,4	BlinkEnd	1067448408
4	Feed	1067448488
1	BlinkStart	1067448688
1	BlinkEnd	1067457199
1	NoFeedLowProb	1067457280
6,4	BlinkStart	1067457511
6,4	BlinkEnd	1067460207
4	Feed	1067460287
1	BlinkStart	1067460488
1	BlinkEnd	1067468807
1	NoFeedLowProb	1067468887
6,4	BlinkStart	1067469093
6,4	BlinkEnd	1067471697
4	Feed	1067471777
1	BlinkStart	1067471978
1	BlinkEnd	1067480183
1	NoFeedLowProb	1067480263
5	BlinkStart	1067480495
5	BlinkEnd	1067483852
5	NoFeedLowProb	1067483932
8	BlinkStart	1067484138
8	BlinkEnd	1067487098
8	Feed	1067487178
5	BlinkStart	1067487378
5	BlinkEnd	1067494199
5	NoFeedLowProb	1067494279
2,8	BlinkStart	1067494490
2,8	BlinkEnd	1067497929
8	Feed	1067498009
5	BlinkStart	1067498217
5	BlinkEnd	1067505871
5	NoFeedLowProb	1067505952
1	BlinkStart	1067506153
1	BlinkEnd	1067509600
1	NoFeedLowProb	1067509680
4,6	BlinkStart	1067509902
4,6	BlinkEnd	1067512672
6	Feed	1067512752
1	BlinkStart	1067512953
1	BlinkEnd	1067518688
1	NoFeedLowProb	1067518769
4,6	BlinkStart	1067518990
4,6	BlinkEnd	1067522114
4	Feed	1067522194
1	BlinkStart	1067522395
1	BlinkEnd	1067528618
1	NoFeedLowProb	1067528698
4,6	BlinkStart	1067528900
4,6	BlinkEnd	1067531866
4	Feed	1067531946
1	BlinkStart	1067532146
1	BlinkEnd	1067539085
1	NoFeedLowProb	1067539165
4,6	BlinkStart	1067539365
4,6	BlinkEnd	1067542516
4	Feed	1067542596
1	BlinkStart	1067542796
