Thursday, June 4, 2020	11:51:53 AM	Game1.txt	167041577
Cued	Now	167069469
9	BlinkStart	167069492
9	BlinkEnd	167389863
15,1	BlinkStart	167389956
15,1	BlinkEnd	167394644
1	0DropFeed	167394724
15	NoFeedAbort	167394804
31,5	BlinkStart	167404817
31,5	BlinkEnd	167411022
5	0DropFeed	167411102
31	Feed	167411182
8,2	BlinkStart	167411274
8,2	BlinkEnd	167414430
2	0DropFeed	167414510
30,5	BlinkStart	167414606
30,5	BlinkEnd	167424188
5	0DropFeed	167424268
30	Feed	167424348
8,2	BlinkStart	167424446
8,2	BlinkEnd	167427865
8	Feed	167427945
29,5	BlinkStart	167428041
29,5	BlinkEnd	167441973
5	0DropFeed	167442053
29	Feed	167442133
8,2	BlinkStart	167442231
8,2	BlinkEnd	167445252
8	Feed	167445333
28,5	BlinkStart	167445432
28,5	BlinkEnd	167456613
5	0DropFeed	167456693
28	Feed	167456773
8,2	BlinkStart	167456866
8,2	BlinkEnd	167459614
8	Feed	167459695
27,5	BlinkStart	167459794
27,5	BlinkEnd	167470509
5	0DropFeed	167470589
27	Feed	167470669
8,2	BlinkStart	167470760
8,2	BlinkEnd	167473717
8	Feed	167473797
26,5	BlinkStart	167473896
26,5	BlinkEnd	167484612
5	0DropFeed	167484692
26	Feed	167484772
8,2	BlinkStart	167484858
8,2	BlinkEnd	167487421
8	Feed	167487502
25,5	BlinkStart	167487599
25,5	BlinkEnd	167497580
5	0DropFeed	167497661
25	Feed	167497742
8,2	BlinkStart	167497827
8,2	BlinkEnd	167500393
8	Feed	167500473
23,5	BlinkStart	167500575
23,5	BlinkEnd	167510481
5	0DropFeed	167510561
23	NoFeedAbort	167510641
17,1	BlinkStart	167520654
17,1	BlinkEnd	167526121
1	0DropFeed	167526201
17	Feed	167526281
4,6	BlinkStart	167526363
4,6	BlinkEnd	167529798
4	Feed	167529879
16,1	BlinkStart	167529962
16,1	BlinkEnd	167538353
1	0DropFeed	167538434
16	Feed	167538514
4,6	BlinkStart	167538596
4,6	BlinkEnd	167541093
4	Feed	167541173
15,1	BlinkStart	167541255
15,1	BlinkEnd	167549048
1	0DropFeed	167549128
15	NoFeedAbort	167549208
31,5	BlinkStart	167559217
31,5	BlinkEnd	167560950
5	0DropFeed	167561031
31	Feed	167561111
8,2	BlinkStart	167561192
8,2	BlinkEnd	167563819
8	Feed	167563899
30,5	BlinkStart	167563981
30,5	BlinkEnd	167571239
5	0DropFeed	167571319
30	Feed	167571399
8,2	BlinkStart	167571481
8,2	BlinkEnd	167574246
8	Feed	167574326
29,5	BlinkStart	167574408
29,5	BlinkEnd	167582401
5	0DropFeed	167582481
29	Feed	167582561
8,2	BlinkStart	167582643
8,2	BlinkEnd	167585742
8	Feed	167585822
28,5	BlinkStart	167585906
28,5	BlinkEnd	167598509
5	0DropFeed	167598589
28	Feed	167598669
8,2	BlinkStart	167598808
8,2	BlinkEnd	167601851
2	Feed	167601931
27,5	BlinkStart	167602049
27,5	BlinkEnd	167609472
5	0DropFeed	167609552
27	Feed	167609632
8,2	BlinkStart	167609763
8,2	BlinkEnd	167612679
2	Feed	167612759
26,5	BlinkStart	167612877
26,5	BlinkEnd	167619632
5	0DropFeed	167619712
26	Feed	167619792
8,2	BlinkStart	167619933
8,2	BlinkEnd	167623374
8	Feed	167623454
25,5	BlinkStart	167623601
25,5	BlinkEnd	167638881
5	0DropFeed	167638961
25	Feed	167639042
8,2	BlinkStart	167639200
8,2	BlinkEnd	167642762
8	Feed	167642842
23,5	BlinkStart	167642981
23,5	BlinkEnd	167650244
5	0DropFeed	167650325
23	NoFeedAbort	167650405
17,1	BlinkStart	167660452
17,1	BlinkEnd	167662276
1	0DropFeed	167662356
17	Feed	167662436
4,6	BlinkStart	167662560
4,6	BlinkEnd	167665750
4	Feed	167665831
16,1	BlinkStart	167665996
16,1	BlinkEnd	167676646
1	0DropFeed	167676726
16	Feed	167676806
