Saturday, June 13, 2020	8:24:12 PM	Game1.txt	349610631
Cued	Now	349622370
9	BlinkStart	349622409
9	BlinkEnd	349658847
23,5	BlinkStart	349658940
23,5	BlinkEnd	349666248
5	0DropFeed	349666328
23	NoFeedAbort	349666408
17,1	BlinkStart	349676421
17,1	BlinkEnd	349679547
1	0DropFeed	349679627
17	Feed	349679708
4,6	BlinkStart	349679814
4,6	BlinkEnd	349685080
4	Feed	349685160
16,1	BlinkStart	349685252
16,1	BlinkEnd	349697601
1	0DropFeed	349697681
16	Feed	349697761
4,6	BlinkStart	349697847
4,6	BlinkEnd	349701505
4	Feed	349701585
15,1	BlinkStart	349701684
15,1	BlinkEnd	349709326
1	0DropFeed	349709407
15	NoFeedAbort	349709487
31,5	BlinkStart	349719500
31,5	BlinkEnd	349741455
5	0DropFeed	349741535
31	Feed	349741616
8,2	BlinkStart	349741718
8,2	BlinkEnd	349745727
8	Feed	349745807
30,5	BlinkStart	349745897
30,5	BlinkEnd	349757039
5	0DropFeed	349757119
30	Feed	349757199
8,2	BlinkStart	349757302
8,2	BlinkEnd	349760106
2	0DropFeed	349760186
29,5	BlinkStart	349760286
29,5	BlinkEnd	349765348
5	0DropFeed	349765428
29	Feed	349765508
8,2	BlinkStart	349765606
8,2	BlinkEnd	349769914
2	0DropFeed	349769994
28,5	BlinkStart	349770094
28,5	BlinkEnd	349775268
5	0DropFeed	349775348
28	Feed	349775429
8,2	BlinkStart	349775519
8,2	BlinkEnd	349778758
8	Feed	349778838
27,5	BlinkStart	349778938
27,5	BlinkEnd	349788985
5	0DropFeed	349789065
27	Feed	349789145
8,2	BlinkStart	349789252
8,2	BlinkEnd	349793378
2	0DropFeed	349793458
26,5	BlinkStart	349793558
26,5	BlinkEnd	349798673
5	0DropFeed	349798753
26	Feed	349798833
8,2	BlinkStart	349798925
8,2	BlinkEnd	349802944
8	Feed	349803024
25,5	BlinkStart	349803123
25,5	BlinkEnd	349819972
5	0DropFeed	349820052
25	Feed	349820132
8,2	BlinkStart	349820236
8,2	BlinkEnd	349823340
8	Feed	349823420
23,5	BlinkStart	349823520
23,5	BlinkEnd	349829477
5	0DropFeed	349829558
23	NoFeedAbort	349829638
17,1	BlinkStart	349839648
17,1	BlinkEnd	349848370
1	0DropFeed	349848450
17	Feed	349848531
6,4	BlinkStart	349848637
6,4	BlinkEnd	349851688
4	Feed	349851768
16,1	BlinkStart	349851870
16,1	BlinkEnd	349861064
1	0DropFeed	349861145
16	Feed	349861225
6,4	BlinkStart	349861332
6,4	BlinkEnd	349864254
4	Feed	349864334
15,1	BlinkStart	349864433
15,1	BlinkEnd	349872017
1	0DropFeed	349872097
15	NoFeedAbort	349872177
31,5	BlinkStart	349882187
31,5	BlinkEnd	349886348
5	0DropFeed	349886429
31	Feed	349886509
8,2	BlinkStart	349886613
8,2	BlinkEnd	349889462
2	0DropFeed	349889543
30,5	BlinkStart	349889708
30,5	BlinkEnd	349895359
5	0DropFeed	349895439
30	Feed	349895519
8,2	BlinkStart	349895678
8,2	BlinkEnd	349898609
8	Feed	349898689
29,5	BlinkStart	349898855
29,5	BlinkEnd	349909559
5	0DropFeed	349909639
29	Feed	349909719
8,2	BlinkStart	349909877
8,2	BlinkEnd	349912334
8	Feed	349912414
28,5	BlinkStart	349912569
28,5	BlinkEnd	349923997
5	0DropFeed	349924077
28	Feed	349924157
8,2	BlinkStart	349924333
8,2	BlinkEnd	349993973
2	0DropFeed	349994053
27,5	BlinkStart	349994217
27,5	BlinkEnd	350000469
5	0DropFeed	350000549
27	Feed	350000629
8,2	BlinkStart	350000787
8,2	BlinkEnd	350003778
8	Feed	350003858
26,5	BlinkStart	350004017
26,5	BlinkEnd	350013826
5	0DropFeed	350013906
26	Feed	350013986
8,2	BlinkStart	350014146
8,2	BlinkEnd	350016413
8	Feed	350016493
25,5	BlinkStart	350016645
25,5	BlinkEnd	350026710
5	0DropFeed	350026790
25	Feed	350026870
8,2	BlinkStart	350027015
8,2	BlinkEnd	350029108
8	Feed	350029189
23,5	BlinkStart	350029342
23,5	BlinkEnd	350038801
5	0DropFeed	350038881
23	NoFeedAbort	350038962
17,1	BlinkStart	350049034
17,1	BlinkEnd	350054016
1	0DropFeed	350054096
17	Feed	350054176
6,4	BlinkStart	350054322
6,4	BlinkEnd	350056242
4	Feed	350056322
16,1	BlinkStart	350056474
16,1	BlinkEnd	350065809
1	0DropFeed	350065889
16	Feed	350065969
6,4	BlinkStart	350066143
6,4	BlinkEnd	350068997
4	Feed	350069077
15,1	BlinkStart	350069245
15,1	BlinkEnd	350077182
1	0DropFeed	350077262
15	NoFeedAbort	350077342
31,5	BlinkStart	350087403
31,5	BlinkEnd	350118816
5	0DropFeed	350118896
31	Feed	350118977
2,8	BlinkStart	350119122
2,8	BlinkEnd	350122005
2	Feed	350122086
30,5	BlinkStart	350122242
30,5	BlinkEnd	350130306
5	0DropFeed	350130386
30	Feed	350130467
2,8	BlinkStart	350130626
2,8	BlinkEnd	350133014
2	Feed	350133094
29,5	BlinkStart	350133246
29,5	BlinkEnd	350144385
5	0DropFeed	350144465
29	Feed	350144545
2,8	BlinkStart	350144711
2,8	BlinkEnd	350147033
2	Feed	350147113
28,5	BlinkStart	350147273
28,5	BlinkEnd	350157020
5	0DropFeed	350157100
28	Feed	350157180
2,8	BlinkStart	350157324
2,8	BlinkEnd	350159667
2	Feed	350159747
27,5	BlinkStart	350159911
27,5	BlinkEnd	350167007
5	0DropFeed	350167087
27	Feed	350167167
2,8	BlinkStart	350167324
2,8	BlinkEnd	350169474
2	Feed	350169554
26,5	BlinkStart	350169708
26,5	BlinkEnd	350176454
5	0DropFeed	350176534
26	Feed	350176615
2,8	BlinkStart	350176775
2,8	BlinkEnd	350179704
8	Feed	350179784
25,5	BlinkStart	350179950
25,5	BlinkEnd	350190413
5	0DropFeed	350190494
25	Feed	350190575
2,8	BlinkStart	350190727
2,8	BlinkEnd	350193067
8	Feed	350193147
23,5	BlinkStart	350193304
23,5	BlinkEnd	350205033
5	0DropFeed	350205114
23	NoFeedAbort	350205194
17,1	BlinkStart	350215256
17,1	BlinkEnd	350228437
1	0DropFeed	350228517
17	Feed	350228597
4,6	BlinkStart	350228738
4,6	BlinkEnd	350231390
4	Feed	350231470
16,1	BlinkStart	350231643
16,1	BlinkEnd	350237162
1	0DropFeed	350237242
16	Feed	350237322
4,6	BlinkStart	350237460
4,6	BlinkEnd	350240530
4	Feed	350240611
15,1	BlinkStart	350240764
15,1	BlinkEnd	350246848
1	0DropFeed	350246929
15	NoFeedAbort	350247009
31,5	BlinkStart	350257085
31,5	BlinkEnd	350264478
5	0DropFeed	350264559
31	Feed	350264639
2,8	BlinkStart	350264777
2,8	BlinkEnd	350267786
8	Feed	350267866
30,5	BlinkStart	350268003
30,5	BlinkEnd	350276393
5	0DropFeed	350276473
30	Feed	350276553
2,8	BlinkStart	350276712
2,8	BlinkEnd	350279398
8	Feed	350279478
29,5	BlinkStart	350279649
29,5	BlinkEnd	350288062
5	0DropFeed	350288142
29	Feed	350288223
2,8	BlinkStart	350288377
2,8	BlinkEnd	350290590
8	Feed	350290670
28,5	BlinkStart	350290826
28,5	BlinkEnd	350300577
5	0DropFeed	350300657
28	Feed	350300737
2,8	BlinkStart	350300874
2,8	BlinkEnd	350302922
8	Feed	350303002
27,5	BlinkStart	350303157
27,5	BlinkEnd	350312249
5	0DropFeed	350312329
27	Feed	350312409
2,8	BlinkStart	350312549
2,8	BlinkEnd	350314776
8	Feed	350314857
26,5	BlinkStart	350315022
26,5	BlinkEnd	350324643
5	0DropFeed	350324723
26	Feed	350324803
2,8	BlinkStart	350324967
2,8	BlinkEnd	350326990
8	Feed	350327071
25,5	BlinkStart	350327232
25,5	BlinkEnd	350336254
5	0DropFeed	350336334
25	Feed	350336414
2,8	BlinkStart	350336589
2,8	BlinkEnd	350338963
8	Feed	350339043
23,5	BlinkStart	350339197
23,5	BlinkEnd	350347987
5	0DropFeed	350348068
23	NoFeedAbort	350348149
17,1	BlinkStart	350358220
17,1	BlinkEnd	350366638
1	0DropFeed	350366718
17	Feed	350366799
6,4	BlinkStart	350366956
6,4	BlinkEnd	350369526
4	0DropFeed	350369606
16,1	BlinkStart	350369784
16,1	BlinkEnd	350376205
1	0DropFeed	350376285
16	Feed	350376365
6,4	BlinkStart	350376519
6,4	BlinkEnd	350380055
6	Feed	350380135
15,1	BlinkStart	350380292
15,1	BlinkEnd	350390525
1	0DropFeed	350390605
15	NoFeedAbort	350390685
31,5	BlinkStart	350400744
31,5	BlinkEnd	350404664
5	0DropFeed	350404744
31	Feed	350404824
8,2	BlinkStart	350404984
8,2	BlinkEnd	350407671
8	Feed	350407751
30,5	BlinkStart	350407935
30,5	BlinkEnd	350414891
5	0DropFeed	350414972
30	Feed	350415052
8,2	BlinkStart	350415207
8,2	BlinkEnd	350417718
8	Feed	350417798
29,5	BlinkStart	350417943
29,5	BlinkEnd	350424765
5	0DropFeed	350424845
29	Feed	350424925
8,2	BlinkStart	350425076
8,2	BlinkEnd	350427407
8	Feed	350427488
28,5	BlinkStart	350427662
28,5	BlinkEnd	350435298
5	0DropFeed	350435378
28	Feed	350435459
8,2	BlinkStart	350435629
8,2	BlinkEnd	350437935
8	Feed	350438015
27,5	BlinkStart	350438195
27,5	BlinkEnd	350446538
