Monday, June 22, 2020	11:20:23 AM	Game1.txt	1094582259
Cued	Now	1094606530
9	BlinkStart	1094606614
9	BlinkEnd	1094791400
23,5	BlinkStart	1094791486
23,5	BlinkEnd	1094793047
5	0DropFeed	1094793127
23	NoFeedAbort	1094793207
17,1	BlinkStart	1094803221
17,1	BlinkEnd	1094979734
1	0DropFeed	1094979814
17	Feed	1094979894
4,6	BlinkStart	1094979980
4,6	BlinkEnd	1094998659
4	Feed	1094998739
16,1	BlinkStart	1094998832
16,1	BlinkEnd	1095184468
1	0DropFeed	1095184549
16	Feed	1095184629
4,6	BlinkStart	1095184726
4,6	BlinkEnd	1095190151
4	Feed	1095190232
15,1	BlinkStart	1095190338
15,1	BlinkEnd	1095200389
1	0DropFeed	1095200470
15	NoFeedAbort	1095200550
31,5	BlinkStart	1095210562
31,5	BlinkEnd	1095212274
5	0DropFeed	1095212354
31	Feed	1095212434
2,8	BlinkStart	1095212527
2,8	BlinkEnd	1095217688
8	Feed	1095217768
30,5	BlinkStart	1095217863
30,5	BlinkEnd	1095231657
5	0DropFeed	1095231737
30	Feed	1095231817
2,8	BlinkStart	1095231910
2,8	BlinkEnd	1095236402
8	Feed	1095236482
29,5	BlinkStart	1095236583
29,5	BlinkEnd	1095245092
5	0DropFeed	1095245172
29	Feed	1095245253
2,8	BlinkStart	1095245353
2,8	BlinkEnd	1095249505
8	Feed	1095249585
28,5	BlinkStart	1095249691
28,5	BlinkEnd	1095257658
5	0DropFeed	1095257738
28	Feed	1095257818
2,8	BlinkStart	1095257916
2,8	BlinkEnd	1095262270
8	Feed	1095262350
27,5	BlinkStart	1095262433
27,5	BlinkEnd	1095270037
5	0DropFeed	1095270117
27	Feed	1095270198
2,8	BlinkStart	1095270279
2,8	BlinkEnd	1095274035
8	Feed	1095274116
26,5	BlinkStart	1095274203
26,5	BlinkEnd	1095280787
5	0DropFeed	1095280867
26	Feed	1095280947
2,8	BlinkStart	1095281030
2,8	BlinkEnd	1095285198
8	Feed	1095285278
25,5	BlinkStart	1095285360
25,5	BlinkEnd	1095293219
5	0DropFeed	1095293300
25	Feed	1095293381
2,8	BlinkStart	1095293463
2,8	BlinkEnd	1095297628
8	Feed	1095297709
23,5	BlinkStart	1095297799
23,5	BlinkEnd	1095304983
5	0DropFeed	1095305063
23	NoFeedAbort	1095305143
17,1	BlinkStart	1095315147
17,1	BlinkEnd	1095317214
1	0DropFeed	1095317294
17	Feed	1095317374
6,4	BlinkStart	1095317457
6,4	BlinkEnd	1095321492
4	0DropFeed	1095321572
16,1	BlinkStart	1095321655
16,1	BlinkEnd	1095328442
1	0DropFeed	1095328523
16	Feed	1095328604
6,4	BlinkStart	1095328686
6,4	BlinkEnd	1095332520
6	Feed	1095332600
15,1	BlinkStart	1095332682
15,1	BlinkEnd	1095340810
1	0DropFeed	1095340890
15	NoFeedAbort	1095340970
31,5	BlinkStart	1095350974
31,5	BlinkEnd	1095356717
5	0DropFeed	1095356797
31	Feed	1095356878
2,8	BlinkStart	1095356959
2,8	BlinkEnd	1095360593
8	0DropFeed	1095360673
30,5	BlinkStart	1095360817
30,5	BlinkEnd	1095366140
5	0DropFeed	1095366221
30	Feed	1095366301
2,8	BlinkStart	1095366417
2,8	BlinkEnd	1095370553
2	Feed	1095370633
29,5	BlinkStart	1095370757
29,5	BlinkEnd	1095382651
5	0DropFeed	1095382731
29	Feed	1095382811
2,8	BlinkStart	1095382925
2,8	BlinkEnd	1095386461
8	0DropFeed	1095386541
28,5	BlinkStart	1095386699
28,5	BlinkEnd	1095391474
5	0DropFeed	1095391554
28	Feed	1095391634
2,8	BlinkStart	1095391747
2,8	BlinkEnd	1095395819
2	Feed	1095395899
27,5	BlinkStart	1095396050
27,5	BlinkEnd	1095408251
5	0DropFeed	1095408331
27	Feed	1095408411
2,8	BlinkStart	1095408538
2,8	BlinkEnd	1095411927
8	0DropFeed	1095412007
26,5	BlinkStart	1095412134
26,5	BlinkEnd	1095416874
5	0DropFeed	1095416954
26	Feed	1095417034
2,8	BlinkStart	1095417171
2,8	BlinkEnd	1095422020
2	Feed	1095422100
25,5	BlinkStart	1095422253
25,5	BlinkEnd	1095437594
5	0DropFeed	1095437674
25	Feed	1095437754
2,8	BlinkStart	1095437898
2,8	BlinkEnd	1095446819
8	0DropFeed	1095446899
23,5	BlinkStart	1095447020
23,5	BlinkEnd	1095452834
5	0DropFeed	1095452914
23	NoFeedAbort	1095452994
17,1	BlinkStart	1095463044
17,1	BlinkEnd	1095475760
1	0DropFeed	1095475840
17	Feed	1095475920
4,6	BlinkStart	1095476040
4,6	BlinkEnd	1095479503
6	Feed	1095479583
16,1	BlinkStart	1095479705
16,1	BlinkEnd	1095489063
1	0DropFeed	1095489143
16	Feed	1095489223
4,6	BlinkStart	1095489348
4,6	BlinkEnd	1095497817
4	Feed	1095497898
15,1	BlinkStart	1095498025
15,1	BlinkEnd	1095505638
1	0DropFeed	1095505718
15	NoFeedAbort	1095505798
31,5	BlinkStart	1095515857
31,5	BlinkEnd	1095516122
5	0DropFeed	1095516202
31	Feed	1095516282
2,8	BlinkStart	1095516392
2,8	BlinkEnd	1095520142
8	Feed	1095520222
30,5	BlinkStart	1095520353
30,5	BlinkEnd	1095529233
5	0DropFeed	1095529314
30	Feed	1095529394
2,8	BlinkStart	1095529522
2,8	BlinkEnd	1095532708
8	Feed	1095532788
29,5	BlinkStart	1095532935
29,5	BlinkEnd	1095540663
5	0DropFeed	1095540744
29	Feed	1095540824
2,8	BlinkStart	1095540950
2,8	BlinkEnd	1095543938
8	Feed	1095544018
28,5	BlinkStart	1095544145
28,5	BlinkEnd	1095552494
5	0DropFeed	1095552574
28	Feed	1095552654
2,8	BlinkStart	1095552792
2,8	BlinkEnd	1095555636
8	Feed	1095555717
27,5	BlinkStart	1095555846
27,5	BlinkEnd	1095563522
5	0DropFeed	1095563602
27	Feed	1095563682
2,8	BlinkStart	1095563798
2,8	BlinkEnd	1095566730
8	Feed	1095566810
26,5	BlinkStart	1095566953
26,5	BlinkEnd	1095575019
5	0DropFeed	1095575099
26	Feed	1095575179
2,8	BlinkStart	1095575342
2,8	BlinkEnd	1095578164
8	Feed	1095578244
25,5	BlinkStart	1095578362
25,5	BlinkEnd	1095586251
5	0DropFeed	1095586332
25	Feed	1095586412
2,8	BlinkStart	1095586537
2,8	BlinkEnd	1095589724
8	Feed	1095589805
23,5	BlinkStart	1095589928
23,5	BlinkEnd	1095597880
5	0DropFeed	1095597960
23	NoFeedAbort	1095598041
17,1	BlinkStart	1095608096
17,1	BlinkEnd	1095622342
1	0DropFeed	1095622422
17	Feed	1095622502
4,6	BlinkStart	1095622641
4,6	BlinkEnd	1095626152
4	Feed	1095626232
16,1	BlinkStart	1095626344
16,1	BlinkEnd	1095635978
1	0DropFeed	1095636058
16	Feed	1095636138
4,6	BlinkStart	1095636275
4,6	BlinkEnd	1095639387
4	Feed	1095639467
15,1	BlinkStart	1095639598
15,1	BlinkEnd	1095649815
1	0DropFeed	1095649895
15	NoFeedAbort	1095649976
31,5	BlinkStart	1095660023
31,5	BlinkEnd	1095660288
5	0DropFeed	1095660368
31	Feed	1095660448
8,2	BlinkStart	1095660589
8,2	BlinkEnd	1095664051
8	Feed	1095664132
30,5	BlinkStart	1095664296
30,5	BlinkEnd	1095675616
5	0DropFeed	1095675696
30	Feed	1095675776
8,2	BlinkStart	1095675901
8,2	BlinkEnd	1095678689
8	Feed	1095678769
29,5	BlinkStart	1095678873
29,5	BlinkEnd	1095689123
5	0DropFeed	1095689204
29	Feed	1095689284
8,2	BlinkStart	1095689408
8,2	BlinkEnd	1095691991
8	Feed	1095692071
28,5	BlinkStart	1095692213
28,5	BlinkEnd	1095702893
5	0DropFeed	1095702973
28	Feed	1095703053
8,2	BlinkStart	1095703185
8,2	BlinkEnd	1095705960
8	Feed	1095706040
27,5	BlinkStart	1095706181
27,5	BlinkEnd	1095717792
5	0DropFeed	1095717872
27	Feed	1095717952
8,2	BlinkStart	1095718091
8,2	BlinkEnd	1095720599
8	Feed	1095720679
26,5	BlinkStart	1095720808
26,5	BlinkEnd	1095732899
5	0DropFeed	1095732979
26	Feed	1095733059
8,2	BlinkStart	1095733183
8,2	BlinkEnd	1095735772
8	Feed	1095735852
25,5	BlinkStart	1095735990
25,5	BlinkEnd	1095745808
5	0DropFeed	1095745888
25	Feed	1095745968
