Ver1.3	1094554092	StartFile	6/22/2020	11:19:55 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\062220\SoundData.txt	1094554092
1094979734	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1094979734
1094979935	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1094979935
1094998659	Triggered	4,	 NoSound	40	2	1094998659
1095184469	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1095184469
1095184669	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1095184669
1095190152	Triggered	4,	 NoSound	40	2	1095190152
1095200389	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1095200389
1095200589	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1095200589
1095212274	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095212274
1095212477	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1095212477
1095217689	Triggered	8,	 NoSound	40	2	1095217689
1095231658	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095231658
1095231858	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1095231858
1095236402	Triggered	8,	 NoSound	40	2	1095236402
1095245093	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095245093
1095245293	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1095245293
1095249505	Triggered	8,	 NoSound	40	2	1095249505
1095257658	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095257658
1095257871	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1095257871
1095262270	Triggered	8,	 NoSound	40	2	1095262270
1095270037	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095270037
1095270237	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1095270237
1095274035	Triggered	8,	 NoSound	40	2	1095274035
1095280787	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095280787
1095280988	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1095280988
1095285199	Triggered	8,	 NoSound	40	2	1095285199
1095293219	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095293219
1095293419	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1095293419
1095297629	Triggered	8,	 NoSound	40	2	1095297629
1095304983	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095304983
1095305184	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1095305184
1095317214	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1095317214
1095317417	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1095317417
1095321492	Triggered	4,	 NoSound	40	2	1095321492
1095328442	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1095328442
1095328643	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1095328643
1095332520	Triggered	6,	 NoSound	40	2	1095332520
1095340810	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1095340810
1095341010	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1095341010
1095356718	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095356718
1095356922	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	1095356922
1095360594	Triggered	8,	 NoSound	40	2	1095360594
1095366141	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095366141
1095366353	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1095366353
1095370554	Triggered	2,	 NoSound	40	2	1095370554
1095382651	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095382651
1095382851	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1095382851
1095386461	Triggered	8,	 NoSound	40	2	1095386461
1095391474	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095391474
1095391675	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1095391675
1095395819	Triggered	2,	 NoSound	40	2	1095395819
1095408252	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1095408252
1095408452	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1095408452
