Tuesday, June 30, 2020	12:01:40 PM	Game2.txt	132156935
Cued	Now	132170925
9	BlinkStart	132170944
9	BlinkEnd	132253714
23,5	BlinkStart	132253831
23,5	BlinkEnd	132269690
5	0DropFeed	132269770
23	NoFeedAbort	132269850
1	BlinkStart	132279868
1	BlinkEnd	132284041
1	NoFeedLowProb	132284121
4,42	BlinkStart	132284165
4,42	BlinkEnd	132289425
4	Feed	132289505
42	Feed	132289585
1	BlinkStart	132289677
1	BlinkEnd	132298750
1	NoFeedLowProb	132298830
4,42	BlinkStart	132298856
4,42	BlinkEnd	132303864
4	Feed	132303944
42	Feed	132304024
1	BlinkStart	132304117
1	BlinkEnd	132313973
1	NoFeedLowProb	132314053
6,49	BlinkStart	132314087
6,49	BlinkEnd	132319867
6	Feed	132319947
49	Feed	132320028
1	BlinkStart	132320137
1	BlinkEnd	132332871
1	NoFeedLowProb	132332951
4,42	BlinkStart	132332973
4,42	BlinkEnd	132341412
4	Feed	132341492
42	Feed	132341572
16,1	BlinkStart	132341672
16,1	BlinkEnd	132349951
1	0DropFeed	132350031
16	Feed	132350112
6,49,4,42	BlinkStart	132350260
6,49,4,42	BlinkEnd	132355846
6	Feed	132355926
49	Feed	132356006
15,1	BlinkStart	132356098
15,1	BlinkEnd	132365173
1	0DropFeed	132365253
15	NoFeedAbort	132365333
5	BlinkStart	132375352
5	BlinkEnd	132383764
5	NoFeedLowProb	132383844
8,52	BlinkStart	132383862
8,52	BlinkEnd	132387495
8	Feed	132387575
52	Feed	132387656
5	BlinkStart	132387738
5	BlinkEnd	132399649
5	NoFeedLowProb	132399729
2,41	BlinkStart	132399731
2,41	BlinkEnd	132403980
2	Feed	132404061
41	Feed	132404142
5	BlinkStart	132404224
5	BlinkEnd	132416435
5	NoFeedLowProb	132416515
8,52	BlinkStart	132416517
8,52	BlinkEnd	132447179
8	Feed	132447259
52	Feed	132447339
5	BlinkStart	132447421
5	BlinkEnd	132483278
5	NoFeedLowProb	132483358
8,52	BlinkStart	132483371
8,52	BlinkEnd	132487672
8	Feed	132487752
52	Feed	132487832
30,5	BlinkStart	132487914
30,5	BlinkEnd	132506203
5	0DropFeed	132506283
30	Feed	132506363
8,52,2,41	BlinkStart	132506444
8,52,2,41	BlinkEnd	132510954
2	Feed	132511034
41	Feed	132511114
29,5	BlinkStart	132511196
29,5	BlinkEnd	132524192
5	0DropFeed	132524272
29	Feed	132524352
8,52,2,41	BlinkStart	132524437
8,52,2,41	BlinkEnd	132527801
8	Feed	132527881
52	Feed	132527961
28,5	BlinkStart	132528044
28,5	BlinkEnd	132535984
5	0DropFeed	132536064
28	Feed	132536144
8,52,2,41	BlinkStart	132536253
8,52,2,41	BlinkEnd	132539593
8	Feed	132539673
52	Feed	132539753
27,5	BlinkStart	132539834
27,5	BlinkEnd	132548378
5	0DropFeed	132548458
27	Feed	132548538
8,52,2,41	BlinkStart	132548620
8,52,2,41	BlinkEnd	132552288
2	Feed	132552368
41	Feed	132552448
26,5	BlinkStart	132552530
26,5	BlinkEnd	132565585
5	0DropFeed	132565665
26	Feed	132565745
8,52,2,41	BlinkStart	132565827
8,52,2,41	BlinkEnd	132569194
8	Feed	132569275
52	Feed	132569355
25,5	BlinkStart	132569436
25,5	BlinkEnd	132577861
5	0DropFeed	132577941
25	Feed	132578022
8,52,2,41	BlinkStart	132578103
8,52,2,41	BlinkEnd	132581769
8	Feed	132581849
52	Feed	132581930
23,5	BlinkStart	132582013
23,5	BlinkEnd	132592239
5	0DropFeed	132592319
23	NoFeedAbort	132592399
1	BlinkStart	132602422
1	BlinkEnd	132611432
1	NoFeedLowProb	132611512
6,51	BlinkStart	132611514
6,51	BlinkEnd	132615162
6	Feed	132615242
51	Feed	132615322
1	BlinkStart	132615405
1	BlinkEnd	132627495
1	NoFeedLowProb	132627575
4	BlinkStart	132627582
4	BlinkEnd	132631046
4	0DropFeed	132631126
1	BlinkStart	132631207
1	BlinkEnd	132642658
1	NoFeedLowProb	132642738
4	BlinkStart	132642747
4	BlinkEnd	132649458
4	0DropFeed	132649538
1	BlinkStart	132649620
1	BlinkEnd	132660045
1	NoFeedLowProb	132660125
4	BlinkStart	132660133
4	BlinkEnd	132673222
4	0DropFeed	132673303
16,1	BlinkStart	132673385
16,1	BlinkEnd	132679779
1	0DropFeed	132679859
16	Feed	132679939
6,51,4	BlinkStart	132680021
6,51,4	BlinkEnd	132684894
6	Feed	132684974
51	Feed	132685054
15,1	BlinkStart	132685137
15,1	BlinkEnd	132695912
1	0DropFeed	132695992
15	NoFeedAbort	132696072
5	BlinkStart	132706081
5	BlinkEnd	132712872
5	NoFeedLowProb	132712953
2,41	BlinkStart	132712955
2,41	BlinkEnd	132716608
2	Feed	132716689
41	Feed	132716769
5	BlinkStart	132716857
5	BlinkEnd	132730141
5	NoFeedLowProb	132730221
2,41	BlinkStart	132730237
2,41	BlinkEnd	132733570
2	Feed	132733650
41	Feed	132733730
5	BlinkStart	132733813
5	BlinkEnd	132749030
5	NoFeedLowProb	132749110
2,41	BlinkStart	132749126
2,41	BlinkEnd	132753123
2	Feed	132753203
41	Feed	132753283
5	BlinkStart	132753365
5	BlinkEnd	132767803
5	NoFeedLowProb	132767883
8,53	BlinkStart	132767897
8,53	BlinkEnd	132772195
8	Feed	132772275
53	Feed	132772356
30,5	BlinkStart	132772438
30,5	BlinkEnd	132782911
5	0DropFeed	132782991
30	Feed	132783071
2,41,8,53	BlinkStart	132783153
2,41,8,53	BlinkEnd	132786816
2	Feed	132786897
41	Feed	132786977
29,5	BlinkStart	132787059
29,5	BlinkEnd	132800593
5	0DropFeed	132800673
29	Feed	132800753
2,41,8,53	BlinkStart	132800835
2,41,8,53	BlinkEnd	132803962
2	Feed	132804042
41	Feed	132804123
28,5	BlinkStart	132804205
28,5	BlinkEnd	132817320
5	0DropFeed	132817400
28	Feed	132817480
2,41,8,53	BlinkStart	132817584
2,41,8,53	BlinkEnd	132820870
2	Feed	132820950
41	Feed	132821031
27,5	BlinkStart	132821113
27,5	BlinkEnd	132835670
5	0DropFeed	132835750
27	Feed	132835831
2,41,8,53	BlinkStart	132835912
2,41,8,53	BlinkEnd	132839167
2	Feed	132839247
41	Feed	132839327
26,5	BlinkStart	132839412
26,5	BlinkEnd	132852937
5	0DropFeed	132853017
26	Feed	132853098
2,41,8,53	BlinkStart	132853179
2,41,8,53	BlinkEnd	132856187
2	Feed	132856267
41	Feed	132856347
25,5	BlinkStart	132856428
25,5	BlinkEnd	132871468
5	0DropFeed	132871548
25	Feed	132871629
2,41,8,53	BlinkStart	132871711
2,41,8,53	BlinkEnd	132875258
2	Feed	132875338
41	Feed	132875418
23,5	BlinkStart	132875499
23,5	BlinkEnd	132891323
5	0DropFeed	132891404
23	NoFeedAbort	132891484
1	BlinkStart	132901488
1	BlinkEnd	132901757
1	NoFeedLowProb	132901837
4,43	BlinkStart	132901839
4,43	BlinkEnd	132906785
4	Feed	132906865
43	Feed	132906945
1	BlinkStart	132907026
1	BlinkEnd	132915449
1	NoFeedLowProb	132915529
4,43	BlinkStart	132915546
4,43	BlinkEnd	132923993
