Monday, July 13, 2020	3:02:38 PM	Game1.txt	1266214471
Cued	Now	1266277229
9	BlinkStart	1266277258
9	BlinkEnd	1266511772
23,5	BlinkStart	1266511872
23,5	BlinkEnd	1266523857
5	0DropFeed	1266523937
23	NoFeedAbort	1266524017
1	BlinkStart	1266534046
1	BlinkEnd	1266542975
1	NoFeedLowProb	1266543055
4,43	BlinkStart	1266543096
4,43	BlinkEnd	1266551062
4	Feed	1266551143
43	Feed	1266551223
1	BlinkStart	1266551326
1	BlinkEnd	1266562759
1	NoFeedLowProb	1266562839
4,43	BlinkStart	1266562869
4,43	BlinkEnd	1266567839
4	Feed	1266567919
43	Feed	1266568000
1	BlinkStart	1266568101
1	BlinkEnd	1266580138
1	NoFeedLowProb	1266580218
4,43	BlinkStart	1266580252
4,43	BlinkEnd	1266583883
4	Feed	1266583963
43	Feed	1266584043
16,1	BlinkStart	1266584132
16,1	BlinkEnd	1266593305
1	0DropFeed	1266593386
16	Feed	1266593466
4,43,6,50	BlinkStart	1266593581
4,43,6,50	BlinkEnd	1266596983
4	Feed	1266597063
43	Feed	1266597143
15,1	BlinkStart	1266597246
15,1	BlinkEnd	1266605137
1	0DropFeed	1266605217
15	NoFeedAbort	1266605297
5	BlinkStart	1266615326
5	BlinkEnd	1266637762
5	NoFeedLowProb	1266637842
8,55	BlinkStart	1266637869
8,55	BlinkEnd	1266643371
8	Feed	1266643451
55	Feed	1266643531
5	BlinkStart	1266643620
5	BlinkEnd	1266668101
5	NoFeedLowProb	1266668181
8,55	BlinkStart	1266668220
8,55	BlinkEnd	1266671510
8	Feed	1266671590
55	Feed	1266671670
5	BlinkStart	1266671756
5	BlinkEnd	1266683208
5	NoFeedLowProb	1266683288
8,55	BlinkStart	1266683324
8,55	BlinkEnd	1266686416
8	Feed	1266686496
55	Feed	1266686576
30,5	BlinkStart	1266686657
30,5	BlinkEnd	1266697042
5	0DropFeed	1266697123
30	Feed	1266697203
8,55,2,41	BlinkStart	1266697284
8,55,2,41	BlinkEnd	1266699987
8	Feed	1266700067
55	Feed	1266700147
29,5	BlinkStart	1266700229
29,5	BlinkEnd	1266711413
5	0DropFeed	1266711493
29	Feed	1266711573
8,55,2,41	BlinkStart	1266711655
8,55,2,41	BlinkEnd	1266714221
8	Feed	1266714301
55	Feed	1266714381
28,5	BlinkStart	1266714462
28,5	BlinkEnd	1266726052
5	0DropFeed	1266726132
28	Feed	1266726212
8,55,2,41	BlinkStart	1266726294
8,55,2,41	BlinkEnd	1266728794
8	Feed	1266728874
55	Feed	1266728954
27,5	BlinkStart	1266729037
27,5	BlinkEnd	1266740490
5	0DropFeed	1266740570
27	Feed	1266740650
8,55,2,41	BlinkStart	1266740732
8,55,2,41	BlinkEnd	1266743898
8	Feed	1266743978
55	Feed	1266744058
26,5	BlinkStart	1266744139
26,5	BlinkEnd	1266769298
5	0DropFeed	1266769378
26	Feed	1266769458
8,55,2,41	BlinkStart	1266769540
8,55,2,41	BlinkEnd	1266773710
8	Feed	1266773790
55	Feed	1266773870
25,5	BlinkStart	1266773952
25,5	BlinkEnd	1266791088
5	0DropFeed	1266791168
25	Feed	1266791248
8,55,2,41	BlinkStart	1266791330
8,55,2,41	BlinkEnd	1266795166
8	Feed	1266795246
55	Feed	1266795326
23,5	BlinkStart	1266795464
23,5	BlinkEnd	1266805726
5	0DropFeed	1266805806
23	NoFeedAbort	1266805886
1	BlinkStart	1266815932
1	BlinkEnd	1266830726
1	NoFeedLowProb	1266830806
6,47	BlinkStart	1266830901
6,47	BlinkEnd	1267023494
6	Feed	1267023574
47	Feed	1267023654
1	BlinkStart	1267023795
1	BlinkEnd	1267036996
1	NoFeedLowProb	1267037076
6,47	BlinkStart	1267037138
6,47	BlinkEnd	1267072890
6	Feed	1267072970
47	Feed	1267073051
1	BlinkStart	1267073197
1	BlinkEnd	1267083452
1	NoFeedLowProb	1267083532
6,47	BlinkStart	1267083593
6,47	BlinkEnd	1267159114
6	Feed	1267159194
47	Feed	1267159274
16,1	BlinkStart	1267159439
16,1	BlinkEnd	1267170477
1	0DropFeed	1267170557
16	Feed	1267170637
