Tuesday, July 14, 2020	11:12:05 AM	Game1.txt	1338781820
Cued	Now	1338801066
9	BlinkStart	1338801152
9	BlinkEnd	1339119691
24,5	BlinkStart	1339119776
24,5	BlinkEnd	1339148510
5	0DropFeed	1339148590
24	NoFeedAbort	1339148670
1	BlinkStart	1339158683
1	BlinkEnd	1339173170
1	NoFeedLowProb	1339173250
6,48	BlinkStart	1339173269
6,48	BlinkEnd	1339177918
6	Feed	1339177998
48	Feed	1339178078
1	BlinkStart	1339178172
1	BlinkEnd	1339187142
1	NoFeedLowProb	1339187222
6,48	BlinkStart	1339187229
6,48	BlinkEnd	1339190950
6	Feed	1339191030
48	Feed	1339191111
1	BlinkStart	1339191198
1	BlinkEnd	1339199506
1	NoFeedLowProb	1339199586
6,48	BlinkStart	1339199604
6,48	BlinkEnd	1339202447
6	Feed	1339202527
48	Feed	1339202607
21,1	BlinkStart	1339202693
21,1	BlinkEnd	1339211670
1	0DropFeed	1339211750
21	Feed	1339211830
6,48,4,46	BlinkStart	1339211916
6,48,4,46	BlinkEnd	1339214546
6	Feed	1339214626
48	Feed	1339214706
20,1	BlinkStart	1339214795
20,1	BlinkEnd	1339223902
1	0DropFeed	1339223983
20	Feed	1339224063
6,48,4,46	BlinkStart	1339224149
6,48,4,46	BlinkEnd	1339226916
6	Feed	1339226997
48	Feed	1339227077
19,1	BlinkStart	1339227169
19,1	BlinkEnd	1339236267
1	0DropFeed	1339236347
19	Feed	1339236427
6,48,4,46	BlinkStart	1339236535
6,48,4,46	BlinkEnd	1339239143
6	Feed	1339239223
48	Feed	1339239304
18,1	BlinkStart	1339239394
18,1	BlinkEnd	1339248099
1	0DropFeed	1339248179
18	Feed	1339248259
6,48,4,46	BlinkStart	1339248346
6,48,4,46	BlinkEnd	1339250705
6	Feed	1339250785
48	Feed	1339250865
17,1	BlinkStart	1339250955
17,1	BlinkEnd	1339259329
1	0DropFeed	1339259409
17	Feed	1339259490
6,48,4,46	BlinkStart	1339259648
6,48,4,46	BlinkEnd	1339262069
6	Feed	1339262149
48	Feed	1339262229
16,1	BlinkStart	1339262311
16,1	BlinkEnd	1339270157
1	0DropFeed	1339270237
16	Feed	1339270317
6,48,4,46	BlinkStart	1339270399
6,48,4,46	BlinkEnd	1339273369
6	Feed	1339273450
48	Feed	1339273530
14,1	BlinkStart	1339273612
14,1	BlinkEnd	1339281052
1	0DropFeed	1339281132
14	NoFeedAbort	1339281212
5	BlinkStart	1339291216
5	BlinkEnd	1339299700
5	NoFeedLowProb	1339299780
2,41	BlinkStart	1339299803
2,41	BlinkEnd	1339303577
2	Feed	1339303657
41	Feed	1339303737
5	BlinkStart	1339303818
5	BlinkEnd	1339314940
5	NoFeedLowProb	1339315020
2,41	BlinkStart	1339315023
2,41	BlinkEnd	1339317948
2	Feed	1339318028
41	Feed	1339318108
5	BlinkStart	1339318193
5	BlinkEnd	1339329646
5	NoFeedLowProb	1339329726
2,41	BlinkStart	1339329728
2,41	BlinkEnd	1339332518
2	Feed	1339332598
41	Feed	1339332678
25,5	BlinkStart	1339332760
25,5	BlinkEnd	1339343481
5	0DropFeed	1339343561
25	Feed	1339343641
2,41,8	BlinkStart	1339343723
2,41,8	BlinkEnd	1339346088
2	Feed	1339346168
41	Feed	1339346248
24,5	BlinkStart	1339346402
24,5	BlinkEnd	1339357250
5	0DropFeed	1339357330
24	NoFeedAbort	1339357410
1	BlinkStart	1339367474
1	BlinkEnd	1339369950
1	NoFeedLowProb	1339370030
6	BlinkStart	1339370082
6	BlinkEnd	1339372965
6	0DropFeed	1339373045
1	BlinkStart	1339373173
1	BlinkEnd	1339378973
1	NoFeedLowProb	1339379053
6	BlinkStart	1339379114
