Thursday, July 23, 2020	9:36:17 AM	Game1.txt	88795433
Cued	Now	88807382
9	BlinkStart	88807402
9	BlinkEnd	88978020
24,5	BlinkStart	88978107
24,5	BlinkEnd	88984489
5	0DropFeed	88984569
24	NoFeedAbort	88984649
1	BlinkStart	88994683
1	BlinkEnd	89013249
1	NoFeedLowProb	89013329
6,47	BlinkStart	89013351
6,47	BlinkEnd	89017279
6	Feed	89017359
47	Feed	89017439
21,1	BlinkStart	89017550
21,1	BlinkEnd	89024921
1	0DropFeed	89025001
21	Feed	89025081
6,47,4,42	BlinkStart	89025194
6,47,4,42	BlinkEnd	89029615
6	Feed	89029695
47	Feed	89029775
20,1	BlinkStart	89029877
20,1	BlinkEnd	89035810
1	0DropFeed	89035891
20	Feed	89035971
6,47,4,42	BlinkStart	89036087
6,47,4,42	BlinkEnd	89039901
4	Feed	89039981
42	Feed	89040062
19,1	BlinkStart	89040161
19,1	BlinkEnd	89047673
1	0DropFeed	89047753
19	Feed	89047833
6,47,4,42	BlinkStart	89047922
6,47,4,42	BlinkEnd	89051874
6	Feed	89051954
47	Feed	89052034
18,1	BlinkStart	89052148
18,1	BlinkEnd	89057952
1	0DropFeed	89058032
18	Feed	89058113
6,47,4,42	BlinkStart	89058228
6,47,4,42	BlinkEnd	89061684
4	Feed	89061764
42	Feed	89061844
17,1	BlinkStart	89061954
17,1	BlinkEnd	89068845
1	0DropFeed	89068925
17	Feed	89069005
6,47,4,42	BlinkStart	89069105
6,47,4,42	BlinkEnd	89073235
6	Feed	89073315
47	Feed	89073395
16,1	BlinkStart	89073500
16,1	BlinkEnd	89079310
1	0DropFeed	89079390
16	Feed	89079470
6,47,4,42	BlinkStart	89079581
6,47,4,42	BlinkEnd	89084665
4	Feed	89084745
42	Feed	89084825
14,1	BlinkStart	89084921
14,1	BlinkEnd	89092607
1	0DropFeed	89092687
14	NoFeedAbort	89092767
5	BlinkStart	89102786
5	BlinkEnd	89103048
5	NoFeedLowProb	89103128
2	BlinkStart	89103141
2	BlinkEnd	89106754
2	0DropFeed	89106834
25,5	BlinkStart	89106934
25,5	BlinkEnd	89113364
5	0DropFeed	89113444
25	Feed	89113524
8,56,2	BlinkStart	89113636
8,56,2	BlinkEnd	89117816
2	0DropFeed	89117896
24,5	BlinkStart	89117983
24,5	BlinkEnd	89123231
5	0DropFeed	89123311
24	NoFeedAbort	89123392
1	BlinkStart	89133408
1	BlinkEnd	89134002
1	NoFeedLowProb	89134082
4,44	BlinkStart	89134111
4,44	BlinkEnd	89137430
4	Feed	89137510
44	Feed	89137590
21,1	BlinkStart	89137688
21,1	BlinkEnd	89147659
1	0DropFeed	89147739
21	Feed	89147820
4,44,6,49	BlinkStart	89147906
4,44,6,49	BlinkEnd	89150548
4	Feed	89150628
44	Feed	89150708
20,1	BlinkStart	89150794
20,1	BlinkEnd	89161017
1	0DropFeed	89161097
20	Feed	89161178
4,44,6,49	BlinkStart	89161263
4,44,6,49	BlinkEnd	89164025
4	Feed	89164105
44	Feed	89164185
19,1	BlinkStart	89164292
19,1	BlinkEnd	89174433
1	0DropFeed	89174513
19	Feed	89174594
4,44,6,49	BlinkStart	89174751
4,44,6,49	BlinkEnd	89176964
4	Feed	89177044
44	Feed	89177125
18,1	BlinkStart	89177279
18,1	BlinkEnd	89187549
1	0DropFeed	89187629
18	Feed	89187709
4,44,6,49	BlinkStart	89187884
4,44,6,49	BlinkEnd	89190136
4	Feed	89190216
44	Feed	89190296
17,1	BlinkStart	89190498
17,1	BlinkEnd	89202289
1	0DropFeed	89202369
17	Feed	89202449
4,44,6,49	BlinkStart	89202617
4,44,6,49	BlinkEnd	89206500
4	Feed	89206580
44	Feed	89206660
16,1	BlinkStart	89206832
16,1	BlinkEnd	89216011
1	0DropFeed	89216091
16	Feed	89216171
4,44,6,49	BlinkStart	89216328
4,44,6,49	BlinkEnd	89220579
4	Feed	89220659
44	Feed	89220739
14,1	BlinkStart	89220916
14,1	BlinkEnd	89232312
1	0DropFeed	89232392
14	NoFeedAbort	89232472
5	BlinkStart	89242549
5	BlinkEnd	89247474
5	NoFeedLowProb	89247554
2,39	BlinkStart	89247635
2,39	BlinkEnd	89250361
2	Feed	89250441
39	Feed	89250521
25,5	BlinkStart	89250675
25,5	BlinkEnd	89259266
5	0DropFeed	89259346
25	Feed	89259426
2,39,8	BlinkStart	89259598
2,39,8	BlinkEnd	89262936
2	Feed	89263016
39	Feed	89263096
24,5	BlinkStart	89263255
24,5	BlinkEnd	89272383
5	0DropFeed	89272463
24	NoFeedAbort	89272543
1	BlinkStart	89282607
1	BlinkEnd	89294884
1	NoFeedLowProb	89294964
6,51	BlinkStart	89295053
6,51	BlinkEnd	89297832
6	Feed	89297912
51	Feed	89297992
21,1	BlinkStart	89298149
21,1	BlinkEnd	89308842
1	0DropFeed	89308922
21	Feed	89309002
