Sunday, July 26, 2020	7:10:12 PM	Game1.txt	111953501
Cued	Now	111962374
9	BlinkStart	111962392
9	BlinkEnd	112060614
23,5	BlinkStart	112060711
23,5	BlinkEnd	112063862
5	0DropFeed	112063942
23	NoFeedAbort	112064023
1	BlinkStart	112074080
1	BlinkEnd	112074342
1	NoFeedLowProb	112074422
4	BlinkStart	112074467
4	BlinkEnd	112080172
4	0DropFeed	112080253
22,1	BlinkStart	112080339
22,1	BlinkEnd	112089603
1	0DropFeed	112089684
22	Feed	112089764
6,49,4	BlinkStart	112089851
6,49,4	BlinkEnd	112095352
6	Feed	112095433
49	Feed	112095513
22,1	BlinkStart	112095603
22,1	BlinkEnd	112107446
1	0DropFeed	112107526
22	Feed	112107607
6,49,4	BlinkStart	112107693
6,49,4	BlinkEnd	112111654
6	Feed	112111734
49	Feed	112111814
22,1	BlinkStart	112111902
22,1	BlinkEnd	112123952
1	0DropFeed	112124032
22	Feed	112124112
6,49,4	BlinkStart	112124206
6,49,4	BlinkEnd	112127896
6	Feed	112127976
49	Feed	112128056
22,1	BlinkStart	112128149
22,1	BlinkEnd	112139793
1	0DropFeed	112139873
22	Feed	112139953
6,49,4	BlinkStart	112140047
6,49,4	BlinkEnd	112143135
6	Feed	112143215
49	Feed	112143295
22,1	BlinkStart	112143384
22,1	BlinkEnd	112154565
1	0DropFeed	112154645
22	Feed	112154725
6,49,4	BlinkStart	112154813
6,49,4	BlinkEnd	112157974
6	Feed	112158054
49	Feed	112158134
22,1	BlinkStart	112158233
22,1	BlinkEnd	112169806
1	0DropFeed	112169886
22	Feed	112169966
6,49,4	BlinkStart	112170058
6,49,4	BlinkEnd	112173147
6	Feed	112173228
49	Feed	112173309
22,1	BlinkStart	112173395
22,1	BlinkEnd	112184910
1	0DropFeed	112184990
22	Feed	112185070
6,49,4	BlinkStart	112185163
6,49,4	BlinkEnd	112188254
6	Feed	112188334
49	Feed	112188414
22,1	BlinkStart	112188503
22,1	BlinkEnd	112200619
1	0DropFeed	112200699
22	Feed	112200779
6,49,4	BlinkStart	112200874
6,49,4	BlinkEnd	112203969
6	Feed	112204049
49	Feed	112204129
22,1	BlinkStart	112204215
22,1	BlinkEnd	112211981
1	0DropFeed	112212061
22	Feed	112212141
6,49,4	BlinkStart	112212228
6,49,4	BlinkEnd	112215397
6	Feed	112215477
49	Feed	112215558
22,1	BlinkStart	112215645
22,1	BlinkEnd	112226151
1	0DropFeed	112226231
22	Feed	112226311
6,49,4	BlinkStart	112226404
6,49,4	BlinkEnd	112229360
6	Feed	112229441
49	Feed	112229522
22,1	BlinkStart	112229620
22,1	BlinkEnd	112241457
1	0DropFeed	112241537
22	Feed	112241617
6,49,4	BlinkStart	112241710
6,49,4	BlinkEnd	112244672
6	Feed	112244752
49	Feed	112244833
22,1	BlinkStart	112244922
22,1	BlinkEnd	112255494
1	0DropFeed	112255574
22	Feed	112255654
6,49,4	BlinkStart	112255746
6,49,4	BlinkEnd	112258904
6	Feed	112258984
49	Feed	112259064
22,1	BlinkStart	112259153
22,1	BlinkEnd	112270401
1	0DropFeed	112270481
22	Feed	112270561
6,49,4	BlinkStart	112270713
6,49,4	BlinkEnd	112273675
6	Feed	112273755
49	Feed	112273836
22,1	BlinkStart	112273996
22,1	BlinkEnd	112281299
1	0DropFeed	112281379
22	Feed	112281459
6,49,4	BlinkStart	112281616
6,49,4	BlinkEnd	112284838
6	Feed	112284918
49	Feed	112284998
21,1	BlinkStart	112285143
21,1	BlinkEnd	112297136
1	0DropFeed	112297216
21	Feed	112297296
6,49,4	BlinkStart	112297450
6,49,4	BlinkEnd	112300478
6	Feed	112300558
49	Feed	112300638
20,1	BlinkStart	112300794
20,1	BlinkEnd	112308700
1	0DropFeed	112308780
20	Feed	112308860
6,49,4	BlinkStart	112309016
6,49,4	BlinkEnd	112312845
4	0DropFeed	112312925
19,1	BlinkStart	112313074
19,1	BlinkEnd	112318592
1	0DropFeed	112318672
19	Feed	112318752
6,49,4	BlinkStart	112318909
6,49,4	BlinkEnd	112323739
6	Feed	112323819
49	Feed	112323899
18,1	BlinkStart	112324041
18,1	BlinkEnd	112332896
1	0DropFeed	112332976
18	Feed	112333056
6,49,4	BlinkStart	112333209
6,49,4	BlinkEnd	112336038
6	Feed	112336118
49	Feed	112336198
