Ver1.3	111972973	StartFile	7/26/2020	7:10:31 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072620B\SoundData.txt	111972973
112063863	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112063863
112064064	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	112064064
112080172	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112080172
112089603	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112089603
112089806	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112089806
112095353	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112095353
112095555	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112095555
112107446	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112107446
112107649	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112107649
112111655	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112111655
112111858	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112111858
112123953	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112123953
112124171	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112124171
112127896	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112127896
112128098	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112128098
112139794	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112139794
112139996	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112139996
112143136	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112143136
112143338	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	112143338
112154565	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112154565
112154781	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112154781
112157975	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112157975
