Tuesday, July 28, 2020	4:02:06 PM	Game1.txt	273467919
Cued	Now	273484589
9	BlinkStart	273484638
9	BlinkEnd	274037678
23,5	BlinkStart	274037778
23,5	BlinkEnd	274057466
5	0DropFeed	274057546
23	NoFeedAbort	274057626
1	BlinkStart	274067646
1	BlinkEnd	274083538
1	NoFeedLowProb	274083618
4,46	BlinkStart	274083655
4,46	BlinkEnd	274089483
4	Feed	274089563
46	Feed	274089643
22,1	BlinkStart	274089732
22,1	BlinkEnd	274105059
1	0DropFeed	274105139
22	Feed	274105219
4,46,6,48	BlinkStart	274105325
4,46,6,48	BlinkEnd	274109002
6	Feed	274109083
48	Feed	274109164
22,1	BlinkStart	274109253
22,1	BlinkEnd	274116756
1	0DropFeed	274116836
22	Feed	274116916
4,46,6,48	BlinkStart	274117021
4,46,6,48	BlinkEnd	274121567
6	Feed	274121647
48	Feed	274121727
22,1	BlinkStart	274121816
22,1	BlinkEnd	274129656
1	0DropFeed	274129736
22	Feed	274129816
4,46,6,48	BlinkStart	274129921
4,46,6,48	BlinkEnd	274133667
4	Feed	274133748
46	Feed	274133828
22,1	BlinkStart	274133917
22,1	BlinkEnd	274145299
1	0DropFeed	274145379
22	Feed	274145459
4,46,6,48	BlinkStart	274145570
4,46,6,48	BlinkEnd	274148436
4	Feed	274148516
46	Feed	274148597
22,1	BlinkStart	274148700
22,1	BlinkEnd	274159732
1	0DropFeed	274159812
22	Feed	274159892
4,46,6,48	BlinkStart	274159979
4,46,6,48	BlinkEnd	274162741
4	Feed	274162821
46	Feed	274162901
22,1	BlinkStart	274162995
22,1	BlinkEnd	274175240
1	0DropFeed	274175320
22	Feed	274175401
4,46,6,48	BlinkStart	274175522
4,46,6,48	BlinkEnd	274178047
4	Feed	274178127
46	Feed	274178207
22,1	BlinkStart	274178310
22,1	BlinkEnd	274190412
1	0DropFeed	274190492
22	Feed	274190572
4,46,6,48	BlinkStart	274190698
4,46,6,48	BlinkEnd	274193086
4	Feed	274193166
46	Feed	274193246
22,1	BlinkStart	274193348
22,1	BlinkEnd	274203648
1	0DropFeed	274203728
22	Feed	274203808
4,46,6,48	BlinkStart	274203916
4,46,6,48	BlinkEnd	274206588
4	Feed	274206668
46	Feed	274206748
22,1	BlinkStart	274206840
22,1	BlinkEnd	274218151
1	0DropFeed	274218231
22	Feed	274218312
4,46,6,48	BlinkStart	274218418
4,46,6,48	BlinkEnd	274221025
4	Feed	274221106
46	Feed	274221187
22,1	BlinkStart	274221281
22,1	BlinkEnd	274232857
1	0DropFeed	274232937
22	Feed	274233017
4,46,6,48	BlinkStart	274233151
4,46,6,48	BlinkEnd	274235663
4	Feed	274235743
46	Feed	274235823
22,1	BlinkStart	274235928
22,1	BlinkEnd	274246231
1	0DropFeed	274246311
22	Feed	274246391
4,46,6,48	BlinkStart	274246519
4,46,6,48	BlinkEnd	274248837
4	Feed	274248917
46	Feed	274248998
22,1	BlinkStart	274249098
22,1	BlinkEnd	274260199
1	0DropFeed	274260279
22	Feed	274260359
4,46,6,48	BlinkStart	274260469
4,46,6,48	BlinkEnd	274263002
4	Feed	274263082
46	Feed	274263162
22,1	BlinkStart	274263263
22,1	BlinkEnd	274273107
1	0DropFeed	274273187
22	Feed	274273267
4,46,6,48	BlinkStart	274273440
4,46,6,48	BlinkEnd	274275768
4	Feed	274275848
46	Feed	274275928
22,1	BlinkStart	274276097
22,1	BlinkEnd	274285794
1	0DropFeed	274285874
22	Feed	274285954
4,46,6,48	BlinkStart	274286102
4,46,6,48	BlinkEnd	274288536
4	Feed	274288616
46	Feed	274288696
21,1	BlinkStart	274288865
21,1	BlinkEnd	274298629
1	0DropFeed	274298709
21	Feed	274298789
4,46,6,48	BlinkStart	274298968
4,46,6,48	BlinkEnd	274301168
4	Feed	274301248
46	Feed	274301328
20,1	BlinkStart	274301490
20,1	BlinkEnd	274311596
1	0DropFeed	274311676
20	Feed	274311756
4,46,6,48	BlinkStart	274311920
4,46,6,48	BlinkEnd	274314337
4	Feed	274314417
46	Feed	274314497
19,1	BlinkStart	274314638
19,1	BlinkEnd	274324896
1	0DropFeed	274324976
19	Feed	274325056
4,46,6,48	BlinkStart	274325220
4,46,6,48	BlinkEnd	274327437
4	Feed	274327517
46	Feed	274327597
18,1	BlinkStart	274327739
18,1	BlinkEnd	274336600
1	0DropFeed	274336680
18	Feed	274336760
4,46,6,48	BlinkStart	274336937
4,46,6,48	BlinkEnd	274339401
4	Feed	274339482
46	Feed	274339562
17,1	BlinkStart	274339702
17,1	BlinkEnd	274348563
1	0DropFeed	274348644
17	Feed	274348724
4,46,6,48	BlinkStart	274348887
4,46,6,48	BlinkEnd	274351232
4	Feed	274351312
46	Feed	274351392
16,1	BlinkStart	274351532
16,1	BlinkEnd	274361391
1	0DropFeed	274361471
16	Feed	274361551
4,46,6,48	BlinkStart	274361705
4,46,6,48	BlinkEnd	274364065
4	Feed	274364145
46	Feed	274364225
14,1	BlinkStart	274364363
14,1	BlinkEnd	274373423
1	0DropFeed	274373504
14	NoFeedAbort	274373584
5	BlinkStart	274383647
5	BlinkEnd	274386390
5	NoFeedLowProb	274386470
2,41	BlinkStart	274386559
2,41	BlinkEnd	274389533
2	Feed	274389613
41	Feed	274389694
31,5	BlinkStart	274389861
31,5	BlinkEnd	274402099
5	0DropFeed	274402179
31	Feed	274402259
2,41,8,52	BlinkStart	274402433
2,41,8,52	BlinkEnd	274405040
2	Feed	274405121
41	Feed	274405201
31,5	BlinkStart	274405364
31,5	BlinkEnd	274417938
5	0DropFeed	274418018
31	Feed	274418098
2,41,8,52	BlinkStart	274418267
2,41,8,52	BlinkEnd	274420747
2	Feed	274420827
41	Feed	274420907
31,5	BlinkStart	274421073
