Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
430415679	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430415679
430415881	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	430415881
430429986	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430429986
430430188	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430430188
430452308	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430452308
430452511	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430452511
430457137	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430457137
430457337	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430457337
430465278	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430465278
430465481	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430465481
430468819	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430468819
430469020	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430469020
430475637	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430475637
430475840	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430475840
430478778	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430478778
430478979	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430478979
430486399	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430486399
430486602	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430486602
430490275	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430490275
430490476	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430490476
430497628	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430497628
430497831	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430497831
430501037	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430501037
430501237	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430501237
430507588	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430507588
430507805	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430507805
430510529	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430510529
430510730	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430510730
430516944	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430516944
430517149	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430517149
430519820	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430519820
430520020	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430520020
430527171	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430527171
430527373	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430527373
430530516	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430530516
430530716	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430530716
430537197	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430537197
430537400	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430537400
430540340	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430540340
430540553	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430540553
430546888	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430546888
430547091	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430547091
430549496	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430549496
430549696	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430549696
430556114	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430556114
430556318	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430556318
430559054	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430559054
430559255	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430559255
430565804	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430565804
430566006	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430566006
430568691	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430568691
430568892	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430568892
430576766	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430576766
430576970	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430576970
430579707	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430579707
430579908	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430579908
430586258	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430586258
430586462	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430586462
430589407	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430589407
430589607	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430589607
430595415	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430595415
430595617	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	430595617
430598289	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430598289
430598503	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430598503
430605107	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430605107
430605310	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	430605310
430608315	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430608315
430608516	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430608516
430614131	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430614131
430614333	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	430614333
430616939	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430616939
430617140	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	430617140
430622956	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430622956
430623159	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	430623159
430627032	Triggered	6,47,48,49,50,51,	 NoSound	40	2	430627032
430627236	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	430627236
430635586	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430635586
430635787	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	430635787
430638400	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430638400
