Thursday, July 30, 2020	3:52:43 PM	Game1.txt	445704485
Cued	Now	445719947
9	BlinkStart	445719973
9	BlinkEnd	446022031
23,5	BlinkStart	446022117
23,5	BlinkEnd	446040991
5	0DropFeed	446041071
23	NoFeedAbort	446041151
1	BlinkStart	446051170
1	BlinkEnd	446060425
1	NoFeedLowProb	446060505
4,46	BlinkStart	446060520
4,46	BlinkEnd	446064156
4	Feed	446064236
46	Feed	446064316
22,1	BlinkStart	446064409
22,1	BlinkEnd	446077646
1	0DropFeed	446077726
22	Feed	446077807
4,46,6,50	BlinkStart	446077907
4,46,6,50	BlinkEnd	446080280
4	Feed	446080360
46	Feed	446080440
22,1	BlinkStart	446080535
22,1	BlinkEnd	446092856
1	0DropFeed	446092936
22	Feed	446093016
4,46,6,50	BlinkStart	446093119
4,46,6,50	BlinkEnd	446095562
4	Feed	446095642
46	Feed	446095722
22,1	BlinkStart	446095808
22,1	BlinkEnd	446106514
1	0DropFeed	446106594
22	Feed	446106674
4,46,6,50	BlinkStart	446106775
4,46,6,50	BlinkEnd	446109357
4	Feed	446109437
46	Feed	446109517
22,1	BlinkStart	446109603
22,1	BlinkEnd	446119931
1	0DropFeed	446120011
22	Feed	446120091
4,46,6,50	BlinkStart	446120179
4,46,6,50	BlinkEnd	446122638
4	Feed	446122718
46	Feed	446122798
22,1	BlinkStart	446122891
22,1	BlinkEnd	446133528
1	0DropFeed	446133608
22	Feed	446133688
4,46,6,50	BlinkStart	446133774
4,46,6,50	BlinkEnd	446135994
4	Feed	446136074
46	Feed	446136154
22,1	BlinkStart	446136248
22,1	BlinkEnd	446148148
1	0DropFeed	446148228
22	Feed	446148308
4,46,6,50	BlinkStart	446148410
4,46,6,50	BlinkEnd	446150735
4	Feed	446150815
46	Feed	446150895
22,1	BlinkStart	446150989
22,1	BlinkEnd	446161443
1	0DropFeed	446161523
22	Feed	446161603
4,46,6,50	BlinkStart	446161689
4,46,6,50	BlinkEnd	446164032
4	Feed	446164112
46	Feed	446164193
22,1	BlinkStart	446164279
22,1	BlinkEnd	446174801
1	0DropFeed	446174881
22	Feed	446174961
4,46,6,50	BlinkStart	446175066
4,46,6,50	BlinkEnd	446177327
4	Feed	446177407
46	Feed	446177487
22,1	BlinkStart	446177573
22,1	BlinkEnd	446189429
1	0DropFeed	446189510
22	Feed	446189590
4,46,6,50	BlinkStart	446189690
4,46,6,50	BlinkEnd	446191949
4	Feed	446192029
46	Feed	446192109
22,1	BlinkStart	446192195
22,1	BlinkEnd	446203501
1	0DropFeed	446203581
22	Feed	446203661
4,46,6,50	BlinkStart	446203765
4,46,6,50	BlinkEnd	446205968
4	Feed	446206048
46	Feed	446206128
22,1	BlinkStart	446206228
22,1	BlinkEnd	446217278
1	0DropFeed	446217359
22	Feed	446217439
4,46,6,50	BlinkStart	446217525
4,46,6,50	BlinkEnd	446219684
4	Feed	446219764
46	Feed	446219844
22,1	BlinkStart	446219941
22,1	BlinkEnd	446231058
1	0DropFeed	446231138
22	Feed	446231218
4,46,6,50	BlinkStart	446231303
4,46,6,50	BlinkEnd	446233462
4	Feed	446233542
46	Feed	446233622
22,1	BlinkStart	446233711
22,1	BlinkEnd	446243750
1	0DropFeed	446243831
22	Feed	446243911
4,46,6,50	BlinkStart	446244071
4,46,6,50	BlinkEnd	446246278
4	Feed	446246358
46	Feed	446246438
22,1	BlinkStart	446246592
22,1	BlinkEnd	446258071
1	0DropFeed	446258151
22	Feed	446258231
4,46,6,50	BlinkStart	446258403
4,46,6,50	BlinkEnd	446260727
4	Feed	446260807
46	Feed	446260887
21,1	BlinkStart	446261043
21,1	BlinkEnd	446271246
1	0DropFeed	446271326
21	Feed	446271406
4,46,6,50	BlinkStart	446271564
4,46,6,50	BlinkEnd	446273832
4	Feed	446273912
46	Feed	446273992
20,1	BlinkStart	446274166
20,1	BlinkEnd	446284723
1	0DropFeed	446284803
20	Feed	446284883
4,46,6,50	BlinkStart	446285048
4,46,6,50	BlinkEnd	446287370
4	Feed	446287450
46	Feed	446287530
19,1	BlinkStart	446287678
19,1	BlinkEnd	446297181
1	0DropFeed	446297262
19	Feed	446297342
4,46,6,50	BlinkStart	446297505
4,46,6,50	BlinkEnd	446299704
4	Feed	446299784
46	Feed	446299864
18,1	BlinkStart	446300028
18,1	BlinkEnd	446310352
1	0DropFeed	446310432
18	Feed	446310512
4,46,6,50	BlinkStart	446310702
4,46,6,50	BlinkEnd	446312940
4	Feed	446313021
46	Feed	446313101
17,1	BlinkStart	446313273
17,1	BlinkEnd	446323349
1	0DropFeed	446323429
17	Feed	446323509
4,46,6,50	BlinkStart	446323684
4,46,6,50	BlinkEnd	446325877
4	Feed	446325957
46	Feed	446326037
16,1	BlinkStart	446326206
16,1	BlinkEnd	446336232
1	0DropFeed	446336313
16	Feed	446336393
4,46,6,50	BlinkStart	446336558
4,46,6,50	BlinkEnd	446338632
4	Feed	446338712
46	Feed	446338792
14,1	BlinkStart	446338937
14,1	BlinkEnd	446349220
1	0DropFeed	446349300
14	NoFeedAbort	446349380
5	BlinkStart	446359449
5	BlinkEnd	446367933
5	NoFeedLowProb	446368013
2,37	BlinkStart	446368084
2,37	BlinkEnd	446370640
2	Feed	446370720
37	Feed	446370800
31,5	BlinkStart	446370948
31,5	BlinkEnd	446380145
5	0DropFeed	446380225
31	Feed	446380305
2,37,8,54	BlinkStart	446380470
2,37,8,54	BlinkEnd	446383154
2	Feed	446383234
37	Feed	446383314
31,5	BlinkStart	446383467
31,5	BlinkEnd	446388871
5	0DropFeed	446388951
31	Feed	446389032
2,37,8,54	BlinkStart	446389185
2,37,8,54	BlinkEnd	446392841
8	Feed	446392921
54	Feed	446393001
31,5	BlinkStart	446393153
31,5	BlinkEnd	446401445
5	0DropFeed	446401525
31	Feed	446401605
2,37,8,54	BlinkStart	446401776
2,37,8,54	BlinkEnd	446404333
2	Feed	446404413
37	Feed	446404493
31,5	BlinkStart	446404641
31,5	BlinkEnd	446409265
5	0DropFeed	446409345
31	Feed	446409425
2,37,8,54	BlinkStart	446409583
2,37,8,54	BlinkEnd	446413177
8	Feed	446413257
54	Feed	446413337
31,5	BlinkStart	446413519
