Monday, August 17, 2020	10:46:24 AM	Game1.txt	1982526289
Cued	Now	1982537158
9	BlinkStart	1982537181
9	BlinkEnd	1982860863
24,5	BlinkStart	1982860959
24,5	BlinkEnd	1982869902
5	0DropFeed	1982869983
24	NoFeedAbort	1982870064
1	BlinkStart	1982880080
1	BlinkEnd	1982880597
1	NoFeedLowProb	1982880677
4,43	BlinkStart	1982880692
4,43	BlinkEnd	1982884206
4	Feed	1982884287
43	Feed	1982884367
21,1	BlinkStart	1982884455
21,1	BlinkEnd	1982899914
1	0DropFeed	1982899994
21	Feed	1982900074
4,43,6,49	BlinkStart	1982900173
4,43,6,49	BlinkEnd	1982903925
6	Feed	1982904005
49	Feed	1982904085
20,1	BlinkStart	1982904175
20,1	BlinkEnd	1982916425
1	0DropFeed	1982916505
20	Feed	1982916585
4,43,6,49	BlinkStart	1982916686
4,43,6,49	BlinkEnd	1982920836
6	Feed	1982920916
49	Feed	1982920996
19,1	BlinkStart	1982921086
19,1	BlinkEnd	1982935007
1	0DropFeed	1982935087
19	Feed	1982935167
4,43,6,49	BlinkStart	1982935264
4,43,6,49	BlinkEnd	1982938761
6	Feed	1982938841
49	Feed	1982938921
18,1	BlinkStart	1982939007
18,1	BlinkEnd	1982953388
1	0DropFeed	1982953468
18	Feed	1982953548
4,43,6,49	BlinkStart	1982953645
4,43,6,49	BlinkEnd	1982956796
6	Feed	1982956876
49	Feed	1982956956
17,1	BlinkStart	1982957045
17,1	BlinkEnd	1982972712
1	0DropFeed	1982972792
17	Feed	1982972872
4,43,6,49	BlinkStart	1982972976
4,43,6,49	BlinkEnd	1982976648
6	Feed	1982976728
49	Feed	1982976808
16,1	BlinkStart	1982976896
16,1	BlinkEnd	1982990217
1	0DropFeed	1982990298
16	Feed	1982990378
4,43,6,49	BlinkStart	1982990475
4,43,6,49	BlinkEnd	1982993558
6	Feed	1982993639
49	Feed	1982993719
14,1	BlinkStart	1982993816
14,1	BlinkEnd	1983008464
1	0DropFeed	1983008544
14	NoFeedAbort	1983008624
5	BlinkStart	1983018639
