Wednesday, August 19, 2020	4:03:42 PM	Game1.txt	2174363599
Cued	Now	2174378031
9	BlinkStart	2174378059
9	BlinkEnd	2174681722
23,5	BlinkStart	2174681817
23,5	BlinkEnd	2174685589
5	0DropFeed	2174685669
23	NoFeedAbort	2174685749
22,1	BlinkStart	2174695766
22,1	BlinkEnd	2174701297
1	0DropFeed	2174701377
22	Feed	2174701457
6,47,4,43	BlinkStart	2174701543
6,47,4,43	BlinkEnd	2174704571
6	Feed	2174704651
47	Feed	2174704731
22,1	BlinkStart	2174704819
22,1	BlinkEnd	2174710860
1	0DropFeed	2174710940
22	Feed	2174711020
6,47,4,43	BlinkStart	2174711107
6,47,4,43	BlinkEnd	2174715065
4	Feed	2174715145
43	Feed	2174715225
22,1	BlinkStart	2174715313
22,1	BlinkEnd	2174722819
1	0DropFeed	2174722899
22	Feed	2174722979
6,47,4,43	BlinkStart	2174723065
6,47,4,43	BlinkEnd	2174726295
4	Feed	2174726376
43	Feed	2174726456
22,1	BlinkStart	2174726542
22,1	BlinkEnd	2174734049
1	0DropFeed	2174734129
22	Feed	2174734209
6,47,4,43	BlinkStart	2174734306
6,47,4,43	BlinkEnd	2174736923
4	Feed	2174737003
43	Feed	2174737083
22,1	BlinkStart	2174737172
22,1	BlinkEnd	2174743140
1	0DropFeed	2174743220
22	Feed	2174743300
6,47,4,43	BlinkStart	2174743398
6,47,4,43	BlinkEnd	2174746347
4	Feed	2174746427
43	Feed	2174746507
22,1	BlinkStart	2174746595
22,1	BlinkEnd	2174754567
1	0DropFeed	2174754648
22	Feed	2174754728
6,47,4,43	BlinkStart	2174754815
6,47,4,43	BlinkEnd	2174757315
4	Feed	2174757395
43	Feed	2174757475
22,1	BlinkStart	2174757562
22,1	BlinkEnd	2174766533
1	0DropFeed	2174766613
22	Feed	2174766693
6,47,4,43	BlinkStart	2174766807
6,47,4,43	BlinkEnd	2174769484
4	Feed	2174769566
43	Feed	2174769646
22,1	BlinkStart	2174769759
22,1	BlinkEnd	2174775890
1	0DropFeed	2174775970
22	Feed	2174776050
6,47,4,43	BlinkStart	2174776165
6,47,4,43	BlinkEnd	2174778831
4	Feed	2174778911
43	Feed	2174778991
22,1	BlinkStart	2174779081
22,1	BlinkEnd	2174785047
1	0DropFeed	2174785127
22	Feed	2174785208
6,47,4,43	BlinkStart	2174785308
6,47,4,43	BlinkEnd	2174788189
4	Feed	2174788269
43	Feed	2174788349
22,1	BlinkStart	2174788450
22,1	BlinkEnd	2174794472
1	0DropFeed	2174794552
22	Feed	2174794632
6,47,4,43	BlinkStart	2174794750
6,47,4,43	BlinkEnd	2174797212
4	Feed	2174797292
43	Feed	2174797372
21,1	BlinkStart	2174797459
21,1	BlinkEnd	2174803495
1	0DropFeed	2174803575
21	Feed	2174803655
6,47,4,43	BlinkStart	2174803752
6,47,4,43	BlinkEnd	2174806303
4	Feed	2174806383
43	Feed	2174806463
20,1	BlinkStart	2174806565
20,1	BlinkEnd	2174812386
1	0DropFeed	2174812466
20	Feed	2174812546
6,47,4,43	BlinkStart	2174812643
6,47,4,43	BlinkEnd	2174815326
4	Feed	2174815406
43	Feed	2174815486
19,1	BlinkStart	2174815582
19,1	BlinkEnd	2174821877
1	0DropFeed	2174821957
19	Feed	2174822037
6,47,4,43	BlinkStart	2174822153
6,47,4,43	BlinkEnd	2174825085
4	Feed	2174825165
43	Feed	2174825245
18,1	BlinkStart	2174825347
18,1	BlinkEnd	2174831446
1	0DropFeed	2174831526
18	Feed	2174831606
6,47,4,43	BlinkStart	2174831762
6,47,4,43	BlinkEnd	2174834442
4	Feed	2174834523
43	Feed	2174834603
17,1	BlinkStart	2174834759
17,1	BlinkEnd	2174841060
1	0DropFeed	2174841140
17	Feed	2174841221
6,47,4,43	BlinkStart	2174841386
6,47,4,43	BlinkEnd	2174844201
4	Feed	2174844281
43	Feed	2174844361
16,1	BlinkStart	2174844502
16,1	BlinkEnd	2174849616
1	0DropFeed	2174849697
16	Feed	2174849777
6,47,4,43	BlinkStart	2174849924
6,47,4,43	BlinkEnd	2174852962
4	Feed	2174853042
43	Feed	2174853122
14,1	BlinkStart	2174853283
14,1	BlinkEnd	2174860912
1	0DropFeed	2174860992
14	NoFeedAbort	2174861072
31,5	BlinkStart	2174871130
31,5	BlinkEnd	2174876953
5	0DropFeed	2174877033
31	Feed	2174877113
2,39,8	BlinkStart	2174877282
2,39,8	BlinkEnd	2174880162
2	Feed	2174880242
39	Feed	2174880322
31,5	BlinkStart	2174880469
31,5	BlinkEnd	2174887780
5	0DropFeed	2174887861
31	Feed	2174887942
2,39,8	BlinkStart	2174888112
2,39,8	BlinkEnd	2174890723
2	Feed	2174890803
39	Feed	2174890883
31,5	BlinkStart	2174891030
31,5	BlinkEnd	2174899278
5	0DropFeed	2174899358
31	Feed	2174899439
2,39,8	BlinkStart	2174899622
2,39,8	BlinkEnd	2174902019
2	Feed	2174902099
39	Feed	2174902179
31,5	BlinkStart	2174902340
31,5	BlinkEnd	2174910841
5	0DropFeed	2174910921
31	Feed	2174911002
2,39,8	BlinkStart	2174911175
2,39,8	BlinkEnd	2174913515
2	Feed	2174913595
39	Feed	2174913675
31,5	BlinkStart	2174913863
31,5	BlinkEnd	2174922204
5	0DropFeed	2174922284
31	Feed	2174922365
2,39,8	BlinkStart	2174922515
2,39,8	BlinkEnd	2174924745
2	Feed	2174924826
39	Feed	2174924907
31,5	BlinkStart	2174925111
31,5	BlinkEnd	2174933902
5	0DropFeed	2174933982
31	Feed	2174934062
2,39,8	BlinkStart	2174934212
2,39,8	BlinkEnd	2174936312
2	Feed	2174936392
39	Feed	2174936472
31,5	BlinkStart	2174936615
31,5	BlinkEnd	2174945934
5	0DropFeed	2174946014
31	Feed	2174946094
2,39,8	BlinkStart	2174946257
2,39,8	BlinkEnd	2174948474
2	Feed	2174948554
39	Feed	2174948635
31,5	BlinkStart	2174948785
31,5	BlinkEnd	2174955693
5	0DropFeed	2174955773
31	Feed	2174955853
2,39,8	BlinkStart	2174956006
2,39,8	BlinkEnd	2174957965
2	Feed	2174958045
39	Feed	2174958125
31,5	BlinkStart	2174958270
31,5	BlinkEnd	2174966929
5	0DropFeed	2174967009
31	Feed	2174967089
2,39,8	BlinkStart	2174967238
2,39,8	BlinkEnd	2174969260
2	Feed	2174969340
39	Feed	2174969421
31,5	BlinkStart	2174969589
31,5	BlinkEnd	2174977348
5	0DropFeed	2174977428
31	Feed	2174977508
2,39,8	BlinkStart	2174977662
2,39,8	BlinkEnd	2174979754
2	Feed	2174979834
39	Feed	2174979914
30,5	BlinkStart	2174980089
30,5	BlinkEnd	2174986972
5	0DropFeed	2174987052
30	Feed	2174987132
2,39,8	BlinkStart	2174987288
2,39,8	BlinkEnd	2174989513
2	Feed	2174989593
39	Feed	2174989673
29,5	BlinkStart	2174989855
29,5	BlinkEnd	2174997868
5	0DropFeed	2174997949
29	Feed	2174998029
2,39,8	BlinkStart	2174998199
2,39,8	BlinkEnd	2175000278
2	Feed	2175000358
39	Feed	2175000438
28,5	BlinkStart	2175000623
28,5	BlinkEnd	2175007025
5	0DropFeed	2175007105
28	Feed	2175007185
2,39,8	BlinkStart	2175007334
2,39,8	BlinkEnd	2175009566
2	Feed	2175009646
39	Feed	2175009726
27,5	BlinkStart	2175009872
27,5	BlinkEnd	2175018856
5	0DropFeed	2175018936
27	Feed	2175019016
2,39,8	BlinkStart	2175019188
2,39,8	BlinkEnd	2175021262
2	Feed	2175021342
39	Feed	2175021422
26,5	BlinkStart	2175021574
26,5	BlinkEnd	2175030687
5	0DropFeed	2175030767
26	Feed	2175030847
2,39,8	BlinkStart	2175031012
2,39,8	BlinkEnd	2175033296
2	Feed	2175033377
39	Feed	2175033457
25,5	BlinkStart	2175033606
25,5	BlinkEnd	2175042525
5	0DropFeed	2175042605
25	Feed	2175042685
2,39,8	BlinkStart	2175042852
2,39,8	BlinkEnd	2175045259
2	Feed	2175045339
39	Feed	2175045420
23,5	BlinkStart	2175045599
